indexnummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated
02036,0,0,11748,3928,68823,12722.5,11176,1096,7751.3,-42139.72,51699,-21733.59,50306.42,72065.02,-21733.59,50331.43,NA
02038,13525,18541,43141,22476,5769,7052,0,264,11121,-675,122827,-1027,121800,123374,-1027,122346,NA
02042,4518,1318,8154,303,27482.5,4504,19193,3845,1981,-552.75,71309.35,-552.75,70756.6,71309.35,-552.75,70756.6,NA
02043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
02044,0,0,10021,51,0,343,0,502,3114,-835.35,14236.97,-835.35,13401.12,14236.97,-835.35,13401.12,NA
02046,16100,0,7983.31,1390,0,50,0,928,5943,-1106.67,32400.51,-1106.67,31293.84,32400.51,-1106.67,31293.84,NA
02048,8001,17412,7036,9179,250,17054,9170,2358,2508,-651.58,36663.57,-710.9,35957.67,36663.57,-710.9,35957.67,NA
02051,42302,1145,43149,389,2355,69560.89,5220,1370,8714,-1724.47,174222.63,-1228.47,86000.78,87111.31,-1110.53,86000.7,NA
02054,30000,248394,72890.5,14600,8796,30602,15337,3051,2055,-338493.48,70215.97,-606,73209.97,73815.97,-606,73209.97,NA
02058,0,68601,18203,94681,6154,36288,0,1450,1884,-31475.68,227274.31,-31475.68,98291.54,117211.99,-18420.19,98781.2,NA
02060,657000,94613,42215,29917,110831,68001,88752,917,48201,-360683.51,1000396.65,-343866.095,656530.555,1000396.65,-343866.095,656530.555,NA
02061,89591,1418,103488,0,0,35975,1115,5033,10637,-2404.77,224195.6,-2404.77,221790.82,224195.6,-2404.77,221790.82,NA
02062,10450,146,70,3036,1740,4034,1125,44,13499,-1452.98,34147.7,-1452.98,32694.72,34147.7,-1452.98,32694.72,NA
02064,14000,492.5,23665,19006,5940,130,0,2623,3081,-5246.85,11168,-2893,2758,28884,-2067,26817,NA
02066,47167,4584,63270,30929,35198,12246,24375,1512,53,-931.61,219275.35,-931.61,108130.57,109637.67,-1507.1,108130.57,NA
02067,100,6142,53045,3007,0,0,4945,2144,1590,-939.3,70978.9,-939.3,70039.6,70987.9,-939.3,70039.6,NA
02068,87000,38721,577997,111524,183028,425599,219553,241,86113,-6582.13,1731571.8,-6582.13,861761.43,865479.2,-4024.46,861454.73,NA
02072,0,13781,15277,13,153,1770,12245,4340,336,-1969.59,48829.7,-1969.59,46860.11,48829.7,-1969.54,46860.11,NA
02075,44000,14706,25471,166896,22415,39684,11990,806,15440,-9170.26,273152.29,9170.26,271385.59,277737.93,-6351.83,271386.1,NA
02078,0,10095,0,6617,95,22207,0,727,14489,-48742.18,58033.11,-48742.18,9252.73,58033.11,-48742.18,9290.82,NA
02079,89558,7436,1815,36336,7510,97907,7600,14025,18196,-3423.99,277637.84,-3423.99,137106.92,139822.16,-2695.76,137126.4,NA
02082,49000,3148,45403,6417,17738,0,0,4494,16743,-14458,110907.595,-6663.365,104244.23,110907.595,-6663.365,104244.23,NA
02083,55000,16265,15070,52954,12380,208579,5466,76,23765,-12728.18,385419.52,-12728.18,372691.4,391319.92,-12712.14,378607.78,NA
02084,0,0,525,4363,0,26040,812,665,1718,-1540.71,34132.78,-1540.71,32591.91,34132.78,-1540.71,32591.98,NA
02085,167260.34,41687,763,66211,5345,92070,2436,633,40694,-8258.25,418347.95,-8258.25,204655.05,209473.34,-4518.92,204954.47,NA
02088,15000,0,8486,13654,23217,17970,0,413,3322,-1587.2,81633.91,-1587.2,81633.91,81633.91,-1439.66,80194.25,NA
02089,36000,0,0,145341.78,0,0,0,439.24,22310.64,-2289.98,102046.27,-2289.98,99756.28,102046.27,-2289.98,99756.28,NA
02090,35000,13582,572,63648.8,21132,66918,0,579,12801,-15668.5,214262.7,-15668.5,198594.2,215711.74,-15732.84,199978.9,NA
02095,0,902,175,6838,0,1173,0,700,1939,-521.55,11731.65,-521.55,5344.27,5865.82,-521.55,5344.27,NA
02098,18400,2514,2615,1337,45,880,0,1859,5489,-9477.75,33142.99,-9477.75,22643.13,33142.99,-10499.85,22643.14,NA
02105,0,11765,21701,34996,982,33327,0,400,9625,-4703.64,112301.36,-4703.64,53291.03,56150.67,-2852.65,53298.02,NA
02107,238971.25,184415,13683.02,238828.9,11901.1,337974.2,0,466,44858,-7867.67,1071117.88,-7867.67,1063250.21,1071117.88,-7367.67,1063750.21,NA
02110,34000,208,82547,114044,111142,244317,0,6987,376798,-24463,644014.95,-24268.65,619746.3,644014.95,-24268.65,619856.3,NA
