indexnummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated
G26,0,0,3169,5342,14479,10144,0,261,13304.45,-2458.56,46706.58,-2458.56,44248.02,46706.58,-2458.56,44248.02,NA
G260,98000,83827,300,33643,2210,129716,5243,0,20461,-2000,372821.42,-2000,370821.42,377495.47,-6664.05,370821.42,NA
G261,131800,9070,3289,84251,8834,26870,0,138,5098,-60394.36,279121.84,-60394.36,218727.48,283569.59,-9035.06,274534.53,NA
G264,992619.04,2200,1818,96281,1256,194211,3825,923,3579,-41891.47,1106090.8,-23195,1089740.01,1117294.9,-28366.85,1088920.05,NA
G266,13000,0,0,10702,0,13024,0,452,4293,-1901.8,42477.35,-1901.8,11836.8,21238.67,-9401.87,11836.8,NA
G267,928.4,0,0,0,0,0,0,0,0,-169.11,928.4,-169.11,759.29,928.4,-169.11,759.29,NA
G268,193605,0,0,119465.83,0,112837.13,5866,400,5585.26,-275579.93,437759.22,-275579.93,162179.29,637759.22,-275492.1,362267.12,NA
G269,0,0,0,1341,0,9459,0,24.7,1696,-547.5,12521.04,-547.5,11402.83,12521.04,-1118.21,11402.83,NA
G270,300,1039,0,37702,0,22058,0,584,4175,-78080.79,64791.6,-77008.99,12217.38,64791.6,-77008.99,-12127.19,NA
G272,5239,13519,7381,16590.5,20001.5,25960.765,7287,1161.82,1852.5,-8748.88,102290.62,-8748.88,93541.74,109840.24,-16248.5,93541.74,NA
G276,13000,9341,0,13025,1810,6027,1024,618,6399,-10204,51240,-13744,18014,25620,-7606,18014,NA
G277,8000,29670,9373,63635,998,4019,1827,1655,3398,-65379,73953,-65434,8519,55707,-47220,8487,NA
G278,233066.5,289.5,0,34919.55,0,46869.7,0,407.5,21858,-15265.49,337410.75,-15265.49,322145.26,337410.75,-14744.24,322666.51,NA
G285,257637.78,5000,4,78990,0,149961.64,0,20753,9342,-203602.83,521617.37,-201310.83,157861.27,266021,-102947,163074,NA
G291,0,2805,0,3386,1355.6,20072,681,1025,450,-34660.69,29781.4,-34660.69,-4879.3,29781.4,-34660.69,-4879.29,NA
G295,26710,5530,42,11972,1022,30632,0,50,1569,-70049.7,72026.35,-70049.7,1977.9,72026.35,-70049.7,1976.65,NA
G296,6863,0,0,0,0,0,0,0,5000,-21510,11863,-21510,-9647,11863,-21510,-9647,NA
G36,43260,85141,3930,77531,16800,2956,0,4485,7784,-1528.53,248969.19,-1528.53,247440.65,248969.19,-1528.53,247440.65,NA
G37,69459,0,0,9633,0,2500,0,400,12547,-15246.28,94991.45,-15246.28,79745.17,65694.58,-2962.15,62732.48,NA
G42,92415,20459,0,628,0,30610,0,445,9631,-211035.57,278638.78,-211035.57,67603.21,279638.78,-211035.57,67603.21,NA
G43,119151,7289,18903,31660,3193,26981,2287,461,8739,-7040.5,219528.9,-7040.5,212488.4,219658.58,-7316.9,212341.67,NA
G44,340486,4530,168743.75,36635.37,60185,0,90325,0,5325.65,-270139.6,268819,-135069,181749,268819,-135069,181749,NA
G46,24000,14667,60375,0,0,2131,0,2000,6673,-4898,104846.015,-5495.925,99350.09,104846.015,-5495.925,99350.09,NA
G47,34573,29204,94768,37617,112917,102081,51072,0,9404,7981,117354.09,-2593.505,114760.585,117354.09,-2593.505,114760.585,NA
G48,60424,52730,26713,35070,40092,42344,0,2844,5829,-2334.52,265746.33,-2334.52,263411.82,265746.33,-2334.5,263411.82,NA
G49,371169,0,151901,36424,57428,19779,10519,13143,45455,-1438,692744.92,-2123.83,690621.09,692784.92,-2123.09,690621.09,NA
G51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
G52,1267339,249678.05,226316.73,565943.05,4017.35,133607.56,34735,1079.64,185346.42,-412877.59,1903059.37,-24476.47,1888856.48,1903059.37,-24476.47,1888592.9,NA
G53,167525,580,0,23596,0,891,0,3442,14320,-18009.16,211372.95,-18009.16,193363.79,211372.95,-26209.46,185163.49,NA
G56,254544,34826,15608,15547.5,14731,56261,31010,214,24484.5,-19153,497817.72,-29117.14,359547.455,389605.845,-30053.39,359547.455,NA
G57,191573,0,0,1660,0,0,0,715,3516,-108307.97,204348.44,-108308,96040.41,204348.44,-108307.97,96040.47,NA
G6,2905,0,0,0,0,0,0,0,0,0,2905,0,2905,2905,0,2905,NA
G61,65426,0,0,17935,0,57448,0,186,4212,-83381.72,130667.3,-83381.72,61835.58,130667.3,-68831.72,61835.58,NA
G63,141000,93809,129874,400624,130714,171405,70160,8546,26202,-4594,1159381.28,-4631.7,1154749.58,1162581.28,-4631.7,1157949.58,NA
G64,0,100,19618,2435,26515,5562,0,987,1840,-671,57987,-671,57223,59941.68,-638.08,59303.6,NA
G65,50000,1500,92966.77,85202.99,21276.25,40695,0,528.21,5648.87,-1108.73,296718.095,-1108.73,313383.405,314492.14,-1108.785,313383.405,NA
G67,167834.48,0,196929.6,150477.4,131286.4,133841.4,65643.2,0,27105,-3624.66,674041.34,-3624.66,670416.68,674041.34,-3624.66,670416.68,NA
G70,24470,11000,194540,10165,38780,7815,1746,327,8010,-1387.57,307885.14,-1387.57,306497.54,307885.14,-1387.59,306497.54,NA
G71,64000,0,52507,11718,5511,6553.36,0,824,5675,-1191.49,148168.29,-1194.49,73088.4,74115.29,-995.74,73119.55,NA
G72,54018,0,0,1515,0,0,0,290,170,-4675,55995.6,-4675,51320.6,55995.6,-4675,51320.6,NA
G75,86472.07,5480,0,79280.4,0,460,0,3047.45,4789.89,-2735.15,192899.825,-2829.32,190000.5,192899.825,-2829.32,190000.5,NA
G76,4000,148228.36,12420.62,1792.5,7811.25,5020,303,5675,86619.05,-21329.31,34805.76,-16566.39,18239.37,34805.76,-16566.39,18001.22,NA
G77,306662.5,26384.5,68051.16,172136.57,137179.75,43986.875,40591.75,6752.4,15555.36,-16852.525,723519.715,-16852.525,706667.195,723519.715,-16852.525,706667.19,NA
G8,47485,0,0,0,0,0,0,0,6587.3,-677.3,54072.52,-677.5,53395.02,54072.52,-677.5,53395.02,NA
G80,118000,0,667079,151483,85907,275082,219043,899,19369,-398913,1531703.08,-397771.903,1133931.177,1542139.51,-39771.905,1144367.605,NA
G83,12200,915,6462,12908,2484,10683,0,200,3208,-44106.7,20722.53,-594,20128.53,20722.53,-594,20128.53,NA
G84,168400,1170,23298.625,21368.275,304.3,44865.3,0,4500,4579.795,-3705.71,21621.67,-2522.855,19098.815,21621.67,-2522.855,19098.815,NA
G85,123189,4087,33119,22643,10650,2065,2130,2000,7541,-75532.21,208699.47,-75532.21,133167.26,208699.47,-75532.21,133167.26,NA
G86,19387,15492,50199,14867,0,0,0,6535,10225,-2291,38063.81,-920.02,70952.72,74193.89,-3211.09,70952.72,NA
G87,12150,3446,93456,4116,7770,47134,5537,0,6034,-4121.62,181166.48,-4121.62,177044.86,181166.48,-4121.62,177044.86,NA
G88,1396281,0,94350,254516,163915,15484,218200,263,1897330,33675.78,4040112.47,33675.78,4006436.68,4040112.47,-33675.78,4006436.68,NA
G89,59750,0,38257,2280,4382,10897,0,954,4757,-43757.44,138498.92,-43757.44,106430,150187.75,-43787.44,106430,NA
G9,26956.05,9697.5,110535.2,47445,0,19319.6,0,2736.7,23501.83,-87720.67,109405.51,-10743.91,98661.6,109405.51,-10745.91,98661.6,NA
G90,1293479.3,624410,923945,1321995,77975,390939,56530,148218,25857,-33298,4758703.9,-33298,4694405.71,4758706.9,-33298.19,4725410.71,NA
G91,221849,212,9730,121993,26976,9357,0,1960,22556,-2700,414637.455,-2850.33,411787.125,414637.435,-2829.88,411807.555,NA
G94,190000,0,0,0,0,0,0,2932,5309,-13331.87,89820.76,-13331.87,75713.3,89820.76,-13331.87,75713.3,NA
G97,82280,0,23,1356,0,60,0,625,7498,-84766.92,94005.08,-84766.92,9238.16,94005.08,-84766.92,9238.16,NA
00102,197395,0,0,33568,0,1675,0,1330,3685,-174825,238046,-174825,63706,238084,174957,63082,56492.79956677377
00152,0,0,5500,13276,1600,91850,6710,1160,590,-310851,120795,-310851,-190059,120795,-310851,-190059,-100168.40280634987
00520,406257,351752,27647,127669,79952,224401,0,3000,31835,-368456,1784358,-368456,1415907,1784358,-368456,1415907,823677.1771825426
00702,0,1360,0,1000,0,3336,0,0,12,0,5708,0,5708,5708,0,5708,3087.5022569494968
00787,834819,56180,14732,42465,17747,308749,39592,3245,28688,-6915,1364416,-6915,1334467,1364416,-19948,1334467,875403.2515554798
00822,45000,11631,12659,48980,11032,72395,8773,5187,10099,-12418,230313,-12418,217895,230313,-12418,217895,142937.9606222419
00840,124462,66232,97526,360938,89091,481663,100615,55000,38720,-28077,1463218,-28077,713608,732860,-17155,705754,462970.8688175025
01113,18000,15434,921,33059,18724,123553,6779,10582,3407,-2238,224545,-2238,2238,220695,-2238,220457,144618.61899032828
01215,0,750,0,646,0,182,0,2629,100,-1526,4281,-1526,2754,4281,-1526,2754,1806.6093464909895
01224,336479,91587,79666,208767,135770,1750,0,2083,9800,0,868775,0,868775,868778,0,868778,824176.6171678938
01245,152305,0,0,0,0,57167,0,0,829,-12103,209921,-12103,197438,209541,-12103,197438,183278.00670574268
01258,0,0,0,0,0,25000,0,0,0,0,25000,0,25000,25000,0,25000,16399.866979765702
01295,0,0,0,0,0,28350,0,0,0,-10000,28350,-10000,12004,28350,10000,12004,9252.608151580052
01451,13500,1200,0,5587,0,2840,0,251,808,-1099,24197,-1099,22277,24095,-1817,22299,9106.187931036799
01517,168000,16111,0,524384,7550,217483,9720,5416,97320,-45057,1056072,-45057,1011034,1056073,-45057,1011015,751117.1499254935
