district,gemeentenaam,year,belong_to_district
Groningen,Adorp,1848,1
Groningen,Adorp,1850,0
Groningen,Adorp,1888,0
Groningen,Adorp,1897,0
Groningen,Bedum,1848,0
Groningen,Bedum,1850,0
Groningen,Bedum,1888,1
Groningen,Bedum,1897,0
Groningen,Groningen,1848,1
Groningen,Groningen,1850,1
Groningen,Groningen,1888,1
Groningen,Groningen,1897,1
Groningen,"Haren
Haren",1848,1
Groningen,"Haren
Haren",1850,1
Groningen,"Haren
Haren",1888,1
Groningen,"Haren
Haren",1897,0
Groningen,Hoogezand,1848,1
Groningen,Hoogezand,1850,1
Groningen,Hoogezand,1888,1
Groningen,Hoogezand,1897,0
Groningen,Hoogkerk,1848,1
Groningen,Hoogkerk,1850,0
Groningen,Hoogkerk,1888,0
Groningen,Hoogkerk,1897,0
Groningen,Noorddijk,1848,1
Groningen,Noorddijk,1850,0
Groningen,Noorddijk,1888,1
Groningen,Noorddijk,1897,0
Groningen,Sappemeer,1848,0
Groningen,Sappemeer,1850,1
Groningen,Sappemeer,1888,0
Groningen,Sappemeer,1897,0
Groningen,Slochteren,1848,0
Groningen,Slochteren,1850,0
Groningen,Slochteren,1888,1
Groningen,Slochteren,1897,0
Groningen,Ten Boer,1848,0
Groningen,Ten Boer,1850,0
Groningen,Ten Boer,1888,1
Groningen,Ten Boer,1897,0
Onderdendam,Aduard,1848,1
Onderdendam,Aduard,1850,0
Onderdendam,Aduard,1888,0
Onderdendam,Aduard,1897,0
Onderdendam,Baflo,1848,1
Onderdendam,Baflo,1850,0
Onderdendam,Baflo,1888,0
Onderdendam,Baflo,1897,0
Onderdendam,Bedum,1848,1
Onderdendam,Bedum,1850,0
Onderdendam,Bedum,1888,0
Onderdendam,Bedum,1897,0
Onderdendam,Eenrum,1848,1
Onderdendam,Eenrum,1850,0
Onderdendam,Eenrum,1888,0
Onderdendam,Eenrum,1897,0
Onderdendam,Ezinge,1848,1
Onderdendam,Ezinge,1850,0
Onderdendam,Ezinge,1888,0
Onderdendam,Ezinge,1897,0
Onderdendam,Grijpskerk,1848,1
Onderdendam,Grijpskerk,1850,0
Onderdendam,Grijpskerk,1888,0
Onderdendam,Grijpskerk,1897,0
Onderdendam,Grootegast,1848,1
Onderdendam,Grootegast,1850,0
Onderdendam,Grootegast,1888,0
Onderdendam,Grootegast,1897,0
Onderdendam,Kantens,1848,1
Onderdendam,Kantens,1850,0
Onderdendam,Kantens,1888,0
Onderdendam,Kantens,1897,0
Onderdendam,Kloosterburen,1848,1
Onderdendam,Kloosterburen,1850,0
Onderdendam,Kloosterburen,1888,0
Onderdendam,Kloosterburen,1897,0
Onderdendam,Leek,1848,1
Onderdendam,Leek,1850,0
Onderdendam,Leek,1888,0
Onderdendam,Leek,1897,0
Onderdendam,Leens,1848,1
Onderdendam,Leens,1850,0
Onderdendam,Leens,1888,0
Onderdendam,Leens,1897,0
Onderdendam,Marum,1848,1
Onderdendam,Marum,1850,0
Onderdendam,Marum,1888,0
Onderdendam,Marum,1897,0
Onderdendam,Middelstum,1848,1
Onderdendam,Middelstum,1850,0
Onderdendam,Middelstum,1888,0
Onderdendam,Middelstum,1897,0
Onderdendam,Oldehove,1848,1
Onderdendam,Oldehove,1850,0
Onderdendam,Oldehove,1888,0
Onderdendam,Oldehove,1897,0
Onderdendam,Oldekerk,1848,1
Onderdendam,Oldekerk,1850,0
Onderdendam,Oldekerk,1888,0
Onderdendam,Oldekerk,1897,0
Onderdendam,Ulrum,1848,1
Onderdendam,Ulrum,1850,0
Onderdendam,Ulrum,1888,0
Onderdendam,Ulrum,1897,0
Onderdendam,Usquert,1848,1
Onderdendam,Usquert,1850,0
Onderdendam,Usquert,1888,0
Onderdendam,Usquert,1897,0
Onderdendam,Warffum,1848,1
Onderdendam,Warffum,1850,0
Onderdendam,Warffum,1888,0
Onderdendam,Warffum,1897,0
Onderdendam,Winsum,1848,1
Onderdendam,Winsum,1850,0
Onderdendam,Winsum,1888,0
Onderdendam,Winsum,1897,0
Onderdendam,Zuidhorn,1848,1
Onderdendam,Zuidhorn,1850,0
Onderdendam,Zuidhorn,1888,0
Onderdendam,Zuidhorn,1897,0
Appingedam,'t Zandt,1848,1
Appingedam,'t Zandt,1850,1
Appingedam,'t Zandt,1888,1
Appingedam,'t Zandt,1897,1
Appingedam,Appingedam,1848,1
Appingedam,Appingedam,1850,1
Appingedam,Appingedam,1888,1
Appingedam,Appingedam,1897,1
Appingedam,Baflo,1848,0
Appingedam,Baflo,1850,0
Appingedam,Baflo,1888,1
Appingedam,Baflo,1897,1
Appingedam,Beerta,1848,0
Appingedam,Beerta,1850,1
Appingedam,Beerta,1888,0
Appingedam,Beerta,1897,0
Appingedam,Bellingwolde,1848,0
Appingedam,Bellingwolde,1850,1
Appingedam,Bellingwolde,1888,0
Appingedam,Bellingwolde,1897,0
Appingedam,Bierum,1848,1
Appingedam,Bierum,1850,1
Appingedam,Bierum,1888,1
Appingedam,Bierum,1897,1
Appingedam,Delfzijl,1848,1
Appingedam,Delfzijl,1850,1
Appingedam,Delfzijl,1888,1
Appingedam,Delfzijl,1897,1
Appingedam,Eenrum,1848,0
Appingedam,Eenrum,1850,0
Appingedam,Eenrum,1888,1
Appingedam,Eenrum,1897,1
Appingedam,Finsterwolde,1848,0
Appingedam,Finsterwolde,1850,1
Appingedam,Finsterwolde,1888,0
Appingedam,Finsterwolde,1897,0
Appingedam,Kantens,1848,0
Appingedam,Kantens,1850,1
Appingedam,Kantens,1888,1
Appingedam,Kantens,1897,1
Appingedam,Loppersum,1848,1
Appingedam,Loppersum,1850,1
Appingedam,Loppersum,1888,1
Appingedam,Loppersum,1897,1
Appingedam,Meeden,1848,0
Appingedam,Meeden,1850,1
Appingedam,Meeden,1888,0
Appingedam,Meeden,1897,0
Appingedam,Middelstum,1848,0
Appingedam,Middelstum,1850,1
Appingedam,Middelstum,1888,1
Appingedam,Middelstum,1897,1
Appingedam,Midwolde,1848,1
Appingedam,Midwolde,1850,1
Appingedam,Midwolde,1888,0
Appingedam,Midwolde,1897,0
Appingedam,Muntendam,1848,0
Appingedam,Muntendam,1850,1
Appingedam,Muntendam,1888,0
Appingedam,Muntendam,1897,0
Appingedam,Nieuwe-Pekela,1848,0
Appingedam,Nieuwe-Pekela,1850,1
Appingedam,Nieuwe-Pekela,1888,0
Appingedam,Nieuwe-Pekela,1897,0
Appingedam,Nieuwe-Schans,1848,0
Appingedam,Nieuwe-Schans,1850,1
Appingedam,Nieuwe-Schans,1888,0
Appingedam,Nieuwe-Schans,1897,0
Appingedam,Nieuwolda,1848,1
Appingedam,Nieuwolda,1850,1
Appingedam,Nieuwolda,1888,0
Appingedam,Nieuwolda,1897,0
Appingedam,Noordbroek,1848,1
Appingedam,Noordbroek,1850,1
Appingedam,Noordbroek,1888,0
Appingedam,Noordbroek,1897,0
Appingedam,Oude-Pekela,1848,0
Appingedam,Oude-Pekela,1850,1
Appingedam,Oude-Pekela,1888,0
Appingedam,Oude-Pekela,1897,0
Appingedam,Sappemeer,1848,1
Appingedam,Sappemeer,1850,0
Appingedam,Sappemeer,1888,0
Appingedam,Sappemeer,1897,0
Appingedam,Scheemda,1848,0
Appingedam,Scheemda,1850,1
Appingedam,Scheemda,1888,0
Appingedam,Scheemda,1897,0
Appingedam,Slochteren,1848,1
Appingedam,Slochteren,1850,1
Appingedam,Slochteren,1888,0
Appingedam,Slochteren,1897,0
Appingedam,Stedum,1848,1
Appingedam,Stedum,1850,1
Appingedam,Stedum,1888,1
Appingedam,Stedum,1897,1
Appingedam,Ten Boer,1848,1
Appingedam,Ten Boer,1850,1
Appingedam,Ten Boer,1888,0
Appingedam,Ten Boer,1897,0
Winschoten,Beerta,1848,1
Winschoten,Beerta,1850,0
Winschoten,Beerta,1888,1
Winschoten,Beerta,1897,1
Winschoten,Bellingwolde,1848,1
Winschoten,Bellingwolde,1850,0
Winschoten,Bellingwolde,1888,1
Winschoten,Bellingwolde,1897,1
Winschoten,Finsterwolde,1848,1
Winschoten,Finsterwolde,1850,0
Winschoten,Finsterwolde,1888,1
Winschoten,Finsterwolde,1897,1
Winschoten,Meeden,1848,1
Winschoten,Meeden,1850,0
Winschoten,Meeden,1888,0
Winschoten,Meeden,1897,0
Winschoten,Midwolda,1848,0
Winschoten,Midwolda,1850,0
Winschoten,Midwolda,1888,1
Winschoten,Midwolda,1897,1
Winschoten,Muntendam,1848,1
Winschoten,Muntendam,1850,0
Winschoten,Muntendam,1888,0
Winschoten,Muntendam,1897,0
Winschoten,Nieuwe-Pekela,1848,1
Winschoten,Nieuwe-Pekela,1850,1
Winschoten,Nieuwe-Pekela,1888,0
Winschoten,Nieuwe-Pekela,1897,0
Winschoten,Nieuwe-Schans,1848,1
Winschoten,Nieuwe-Schans,1850,0
Winschoten,Nieuwe-Schans,1888,1
Winschoten,Nieuwe-Schans,1897,1
Winschoten,Nieuwolda,1848,0
Winschoten,Nieuwolda,1850,0
Winschoten,Nieuwolda,1888,1
Winschoten,Nieuwolda,1897,1
Winschoten,Noordbroek,1848,0
Winschoten,Noordbroek,1850,0
Winschoten,Noordbroek,1888,1
Winschoten,Noordbroek,1897,1
Winschoten,Onstwedde,1848,1
Winschoten,Onstwedde,1850,1
Winschoten,Onstwedde,1888,0
Winschoten,Onstwedde,1897,0
Winschoten,Oude-Pekela,1848,1
Winschoten,Oude-Pekela,1850,1
Winschoten,Oude-Pekela,1888,0
Winschoten,Oude-Pekela,1897,0
Winschoten,Scheemda,1848,1
Winschoten,Scheemda,1850,0
Winschoten,Scheemda,1888,1
Winschoten,Scheemda,1897,1
Winschoten,Termunten,1848,0
Winschoten,Termunten,1850,0
Winschoten,Termunten,1888,1
Winschoten,Termunten,1897,1
Winschoten,Veendam,1848,1
Winschoten,Veendam,1850,1
Winschoten,Veendam,1888,0
Winschoten,Veendam,1897,0
Winschoten,Vlagtwedde,1848,1
Winschoten,Vlagtwedde,1850,1
Winschoten,Vlagtwedde,1888,0
Winschoten,Vlagtwedde,1897,0
Winschoten,Wedde,1848,1
Winschoten,Wedde,1850,0
Winschoten,Wedde,1888,1
Winschoten,Wedde,1897,1
Winschoten,Wildervank,1848,1
Winschoten,Wildervank,1850,1
Winschoten,Wildervank,1888,0
Winschoten,Wildervank,1897,0
Winschoten,Winschoten,1848,1
Winschoten,Winschoten,1850,1
Winschoten,Winschoten,1888,1
Winschoten,Winschoten,1897,1
Winschoten,Zuidbroek,1848,0
Winschoten,Zuidbroek,1850,0
Winschoten,Zuidbroek,1888,1
Winschoten,Zuidbroek,1897,1
Leeuwarden,Barradeel,1848,0
Leeuwarden,Barradeel,1850,1
Leeuwarden,Barradeel,1888,0
Leeuwarden,Barradeel,1897,0
Leeuwarden,Bildt ('t),1848,0
Leeuwarden,Bildt ('t),1850,1
Leeuwarden,Bildt ('t),1888,0
Leeuwarden,Bildt ('t),1897,0
Leeuwarden,Bolsward,1848,0
Leeuwarden,Bolsward,1850,1
Leeuwarden,Bolsward,1888,0
Leeuwarden,Bolsward,1897,0
Leeuwarden,Franeker,1848,0
Leeuwarden,Franeker,1850,1
Leeuwarden,Franeker,1888,0
Leeuwarden,Franeker,1897,0
Leeuwarden,Franekeradeel,1848,0
Leeuwarden,Franekeradeel,1850,1
Leeuwarden,Franekeradeel,1888,0
Leeuwarden,Franekeradeel,1897,0
Leeuwarden,Harlingen,1848,0
Leeuwarden,Harlingen,1850,1
Leeuwarden,Harlingen,1888,0
Leeuwarden,Harlingen,1897,0
Leeuwarden,Idaarderadeel,1848,1
Leeuwarden,Idaarderadeel,1850,0
Leeuwarden,Idaarderadeel,1888,1
Leeuwarden,Idaarderadeel,1897,1
Leeuwarden,Leeuwarden,1848,1
Leeuwarden,Leeuwarden,1850,1
Leeuwarden,Leeuwarden,1888,1
Leeuwarden,Leeuwarden,1897,1
Leeuwarden,Leeuwarderadeel,1848,1
Leeuwarden,Leeuwarderadeel,1850,1
Leeuwarden,Leeuwarderadeel,1888,1
Leeuwarden,Leeuwarderadeel,1897,1
Leeuwarden,Menaldumadeel,1848,1
Leeuwarden,Menaldumadeel,1850,1
Leeuwarden,Menaldumadeel,1888,0
Leeuwarden,Menaldumadeel,1897,0
Leeuwarden,Tietjerksteradeel,1848,1
Leeuwarden,Tietjerksteradeel,1850,1
Leeuwarden,Tietjerksteradeel,1888,0
Leeuwarden,Tietjerksteradeel,1897,0
Leeuwarden,Wonseradeel,1848,0
Leeuwarden,Wonseradeel,1850,1
Leeuwarden,Wonseradeel,1888,0
Leeuwarden,Wonseradeel,1897,0
Dokkum,Achtkarspelen,1848,1
Dokkum,Achtkarspelen,1850,1
Dokkum,Achtkarspelen,1888,0
Dokkum,Achtkarspelen,1897,0
Dokkum,Ameland,1848,1
Dokkum,Ameland,1850,1
Dokkum,Ameland,1888,1
Dokkum,Ameland,1897,1
Dokkum,Dantumadeel,1848,1
Dokkum,Dantumadeel,1850,1
Dokkum,Dantumadeel,1888,1
Dokkum,Dantumadeel,1897,1
Dokkum,Dokkum,1848,1
Dokkum,Dokkum,1850,1
Dokkum,Dokkum,1888,1
Dokkum,Dokkum,1897,1
Dokkum,Ferwerderadeel,1848,1
Dokkum,Ferwerderadeel,1850,1
Dokkum,Ferwerderadeel,1888,1
Dokkum,Ferwerderadeel,1897,1
Dokkum,Kollumerland,1848,1
Dokkum,Kollumerland,1850,1
Dokkum,Kollumerland,1888,0
Dokkum,Kollumerland,1897,0
Dokkum,Oostdongeradeel,1848,1
Dokkum,Oostdongeradeel,1850,1
Dokkum,Oostdongeradeel,1888,1
Dokkum,Oostdongeradeel,1897,1
Dokkum,Schiermonnikoog,1848,1
Dokkum,Schiermonnikoog,1850,1
Dokkum,Schiermonnikoog,1888,1
Dokkum,Schiermonnikoog,1897,1
Dokkum,Westdongeradeel,1848,1
Dokkum,Westdongeradeel,1850,1
Dokkum,Westdongeradeel,1888,1
Dokkum,Westdongeradeel,1897,1
Heerenveen,Aengwirden,1848,1
Heerenveen,Aengwirden,1850,0
Heerenveen,Aengwirden,1888,0
Heerenveen,Aengwirden,1897,0
Heerenveen,Heerenveen,1848,1
Heerenveen,Heerenveen,1850,0
Heerenveen,Heerenveen,1888,0
Heerenveen,Heerenveen,1897,0
Heerenveen,Ooststellingwerf,1848,1
Heerenveen,Ooststellingwerf,1850,0
Heerenveen,Ooststellingwerf,1888,0
Heerenveen,Ooststellingwerf,1897,0
Heerenveen,Opsterland,1848,1
Heerenveen,Opsterland,1850,0
Heerenveen,Opsterland,1888,0
Heerenveen,Opsterland,1897,0
Heerenveen,Schoterland,1848,1
Heerenveen,Schoterland,1850,0
Heerenveen,Schoterland,1888,0
Heerenveen,Schoterland,1897,0
Heerenveen,Smallingerland,1848,1
Heerenveen,Smallingerland,1850,0
Heerenveen,Smallingerland,1888,0
Heerenveen,Smallingerland,1897,0
Heerenveen,Utingeradeel,1848,1
Heerenveen,Utingeradeel,1850,0
Heerenveen,Utingeradeel,1888,0
Heerenveen,Utingeradeel,1897,0
Heerenveen,Weststellingwerf,1848,1
Heerenveen,Weststellingwerf,1850,0
Heerenveen,Weststellingwerf,1888,0
Heerenveen,Weststellingwerf,1897,0
Sneek,Aengwirden,1848,0
Sneek,Aengwirden,1850,1
Sneek,Aengwirden,1888,0
Sneek,Aengwirden,1897,0
Sneek,Baarderadeel,1848,0
Sneek,Baarderadeel,1850,1
Sneek,Baarderadeel,1888,0
Sneek,Baarderadeel,1897,0
Sneek,Doniawerstal,1848,1
Sneek,Doniawerstal,1850,1
Sneek,Doniawerstal,1888,1
Sneek,Doniawerstal,1897,1
Sneek,Gaasterland,1848,1
Sneek,Gaasterland,1850,1
Sneek,Gaasterland,1888,1
Sneek,Gaasterland,1897,1
Sneek,Haskerland,1848,1
Sneek,Haskerland,1850,1
Sneek,Haskerland,1888,0
Sneek,Haskerland,1897,0
Sneek,Hemelumer Oldephaert,1848,1
Sneek,Hemelumer Oldephaert,1850,1
Sneek,Hemelumer Oldephaert,1888,1
Sneek,Hemelumer Oldephaert,1897,1
Sneek,Hennaarderadeel,1848,1
Sneek,Hennaarderadeel,1850,1
Sneek,Hennaarderadeel,1888,0
Sneek,Hennaarderadeel,1897,0
Sneek,Hindeloopen,1848,1
Sneek,Hindeloopen,1850,1
Sneek,Hindeloopen,1888,0
Sneek,Hindeloopen,1897,0
Sneek,Idaarderadeel,1848,0
Sneek,Idaarderadeel,1850,1
Sneek,Idaarderadeel,1888,0
Sneek,Idaarderadeel,1897,0
Sneek,Lemsterland,1848,1
Sneek,Lemsterland,1850,1
Sneek,Lemsterland,1888,0
Sneek,Lemsterland,1897,0
Sneek,Opsterland,1848,0
Sneek,Opsterland,1850,1
Sneek,Opsterland,1888,0
Sneek,Opsterland,1897,0
Sneek,Rauwerderhem,1848,1
Sneek,Rauwerderhem,1850,1
Sneek,Rauwerderhem,1888,1
Sneek,Rauwerderhem,1897,1
Sneek,Schoterland,1848,0
Sneek,Schoterland,1850,1
Sneek,Schoterland,1888,0
Sneek,Schoterland,1897,0
Sneek,Sloten,1848,1
Sneek,Sloten,1850,1
Sneek,Sloten,1888,1
Sneek,Sloten,1897,1
Sneek,Smallingerland,1848,0
Sneek,Smallingerland,1850,1
Sneek,Smallingerland,1888,0
Sneek,Smallingerland,1897,0
Sneek,Sneek,1848,1
Sneek,Sneek,1850,1
Sneek,Sneek,1888,1
Sneek,Sneek,1897,1
Sneek,Stavoren,1848,1
Sneek,Stavoren,1850,1
Sneek,Stavoren,1888,1
Sneek,Stavoren,1897,1
Sneek,Utingeradeel,1848,0
Sneek,Utingeradeel,1850,1
Sneek,Utingeradeel,1888,0
Sneek,Utingeradeel,1897,0
Sneek,Wijmbritseradeel,1848,1
Sneek,Wijmbritseradeel,1850,1
Sneek,Wijmbritseradeel,1888,1
Sneek,Wijmbritseradeel,1897,1
Sneek,Workum,1848,1
Sneek,Workum,1850,1
Sneek,Workum,1888,0
Sneek,Workum,1897,0
Sneek,Ylst,1848,1
Sneek,Ylst,1850,1
Sneek,Ylst,1888,1
Sneek,Ylst,1897,1
Franeker,Baarderadeel,1848,1
Franeker,Baarderadeel,1850,0
Franeker,Baarderadeel,1888,1
Franeker,Baarderadeel,1897,1
Franeker,Barradeel,1848,1
Franeker,Barradeel,1850,0
Franeker,Barradeel,1888,0
Franeker,Barradeel,1897,0
Franeker,Bildt ('t),1848,1
Franeker,Bildt ('t),1850,0
Franeker,Bildt ('t),1888,1
Franeker,Bildt ('t),1897,1
Franeker,Bolsward,1848,1
Franeker,Bolsward,1850,0
Franeker,Bolsward,1888,0
Franeker,Bolsward,1897,0
Franeker,Franeker,1848,1
Franeker,Franeker,1850,0
Franeker,Franeker,1888,1
Franeker,Franeker,1897,1
Franeker,Franekeradeel,1848,1
Franeker,Franekeradeel,1850,0
Franeker,Franekeradeel,1888,1
Franeker,Franekeradeel,1897,1
Franeker,Harlingen,1848,1
Franeker,Harlingen,1850,0
Franeker,Harlingen,1888,0
Franeker,Harlingen,1897,0
Franeker,Hennaarderadeel,1848,0
Franeker,Hennaarderadeel,1850,0
Franeker,Hennaarderadeel,1888,1
Franeker,Hennaarderadeel,1897,1
Franeker,Menaldumadeel,1848,0
Franeker,Menaldumadeel,1850,0
Franeker,Menaldumadeel,1888,1
Franeker,Menaldumadeel,1897,1
Franeker,Wonseradeel,1848,1
Franeker,Wonseradeel,1850,0
Franeker,Wonseradeel,1888,0
Franeker,Wonseradeel,1897,0
Assen,Anlo,1848,1
Assen,Anlo,1850,1
Assen,Anlo,1888,1
Assen,Anlo,1897,1
Assen,Assen,1848,1
Assen,Assen,1850,1
Assen,Assen,1888,1
Assen,Assen,1897,1
Assen,Beilen,1848,1
Assen,Beilen,1850,1
Assen,Beilen,1888,0
Assen,Beilen,1897,0
Assen,Borger,1848,1
Assen,Borger,1850,1
Assen,Borger,1888,0
Assen,Borger,1897,0
Assen,Coevorden,1848,0
Assen,Coevorden,1850,1
Assen,Coevorden,1888,0
Assen,Coevorden,1897,0
Assen,Dalen,1848,0
Assen,Dalen,1850,1
Assen,Dalen,1888,0
Assen,Dalen,1897,0
Assen,De Wijk,1848,0
Assen,De Wijk,1850,1
Assen,De Wijk,1888,0
Assen,De Wijk,1897,0
Assen,Diever,1848,1
Assen,Diever,1850,1
Assen,Diever,1888,0
Assen,Diever,1897,0
Assen,Dwingelo,1848,1
Assen,Dwingelo,1850,1
Assen,Dwingelo,1888,0
Assen,Dwingelo,1897,0
Assen,Eelde,1848,1
Assen,Eelde,1850,1
Assen,Eelde,1888,1
Assen,Eelde,1897,1
Assen,Emmen,1848,0
Assen,Emmen,1850,1
Assen,Emmen,1888,0
Assen,Emmen,1897,0
Assen,Gasselte,1848,1
Assen,Gasselte,1850,1
Assen,Gasselte,1888,1
Assen,Gasselte,1897,1
Assen,Gieten,1848,1
Assen,Gieten,1850,1
Assen,Gieten,1888,1
Assen,Gieten,1897,1
Assen,Havelte,1848,0
Assen,Havelte,1850,1
Assen,Havelte,1888,0
Assen,Havelte,1897,0
Assen,Hoogeveen,1848,0
Assen,Hoogeveen,1850,1
Assen,Hoogeveen,1888,0
Assen,Hoogeveen,1897,0
Assen,Meppel,1848,0
Assen,Meppel,1850,1
Assen,Meppel,1888,0
Assen,Meppel,1897,0
Assen,Nijeveen,1848,0
Assen,Nijeveen,1850,1
Assen,Nijeveen,1888,0
Assen,Nijeveen,1897,0
Assen,Norg,1848,1
Assen,Norg,1850,1
Assen,Norg,1888,1
Assen,Norg,1897,1
Assen,Odoorn,1848,1
Assen,Odoorn,1850,1
Assen,Odoorn,1888,0
Assen,Odoorn,1897,0
Assen,Onstwedde,1848,0
Assen,Onstwedde,1850,1
Assen,Onstwedde,1888,0
Assen,Onstwedde,1897,0
Assen,Oosterhesselen,1848,0
Assen,Oosterhesselen,1850,1
Assen,Oosterhesselen,1888,0
Assen,Oosterhesselen,1897,0
Assen,Peize,1848,1
Assen,Peize,1850,1
Assen,Peize,1888,1
Assen,Peize,1897,1
Assen,Roden,1848,1
Assen,Roden,1850,1
Assen,Roden,1888,1
Assen,Roden,1897,1
Assen,Rolde,1848,1
Assen,Rolde,1850,1
Assen,Rolde,1888,1
Assen,Rolde,1897,1
Assen,Ruinen,1848,0
Assen,Ruinen,1850,1
Assen,Ruinen,1888,0
Assen,Ruinen,1897,0
Hoogeveen,Coevorden,1848,1
Hoogeveen,Coevorden,1850,0
Hoogeveen,Coevorden,1888,0
Hoogeveen,Coevorden,1897,0
Hoogeveen,Dalen,1848,1
Hoogeveen,Dalen,1850,0
Hoogeveen,Dalen,1888,0
Hoogeveen,Dalen,1897,0
Hoogeveen,De Wijk,1848,1
Hoogeveen,De Wijk,1850,0
Hoogeveen,De Wijk,1888,0
Hoogeveen,De Wijk,1897,0
Hoogeveen,Emmen,1848,1
Hoogeveen,Emmen,1850,0
Hoogeveen,Emmen,1888,0
Hoogeveen,Emmen,1897,0
Hoogeveen,Havelte,1848,1
Hoogeveen,Havelte,1850,0
Hoogeveen,Havelte,1888,0
Hoogeveen,Havelte,1897,0
Hoogeveen,Hoogeveen,1848,1
Hoogeveen,Hoogeveen,1850,0
Hoogeveen,Hoogeveen,1888,0
Hoogeveen,Hoogeveen,1897,0
Hoogeveen,Meppel,1848,1
Hoogeveen,Meppel,1850,0
Hoogeveen,Meppel,1888,0
Hoogeveen,Meppel,1897,0
Hoogeveen,Nijeveen,1848,1
Hoogeveen,Nijeveen,1850,0
Hoogeveen,Nijeveen,1888,0
Hoogeveen,Nijeveen,1897,0
Hoogeveen,Oosterhesselen,1848,1
Hoogeveen,Oosterhesselen,1850,0
Hoogeveen,Oosterhesselen,1888,0
Hoogeveen,Oosterhesselen,1897,0
Hoogeveen,Ruinen,1848,1
Hoogeveen,Ruinen,1850,0
Hoogeveen,Ruinen,1888,0
Hoogeveen,Ruinen,1897,0
Hoogeveen,Ruinerwold,1848,1
Hoogeveen,Ruinerwold,1850,0
Hoogeveen,Ruinerwold,1888,0
Hoogeveen,Ruinerwold,1897,0
Hoogeveen,Sleen,1848,1
Hoogeveen,Sleen,1850,0
Hoogeveen,Sleen,1888,0
Hoogeveen,Sleen,1897,0
Hoogeveen,Zuidwolde,1848,1
Hoogeveen,Zuidwolde,1850,0
Hoogeveen,Zuidwolde,1888,0
Hoogeveen,Zuidwolde,1897,0
Hoogeveen,Zweelo,1848,1
Hoogeveen,Zweelo,1850,0
Hoogeveen,Zweelo,1888,0
Hoogeveen,Zweelo,1897,0
Zwolle,Avereest,1848,1
Zwolle,Avereest,1850,1
Zwolle,Avereest,1888,0
Zwolle,Avereest,1897,0
Zwolle,Dalfsen,1848,1
Zwolle,Dalfsen,1850,1
Zwolle,Dalfsen,1888,1
Zwolle,Dalfsen,1897,1
Zwolle,Doornspijk,1848,0
Zwolle,Doornspijk,1850,1
Zwolle,Doornspijk,1888,0
Zwolle,Doornspijk,1897,0
Zwolle,Elburg,1848,0
Zwolle,Elburg,1850,1
Zwolle,Elburg,1888,0
Zwolle,Elburg,1897,0
Zwolle,Genemuiden,1848,0
Zwolle,Genemuiden,1850,1
Zwolle,Genemuiden,1888,0
Zwolle,Genemuiden,1897,0
Zwolle,Grafhorst,1848,0
Zwolle,Grafhorst,1850,1
Zwolle,Grafhorst,1888,0
Zwolle,Grafhorst,1897,0
Zwolle,Hasselt,1848,1
Zwolle,Hasselt,1850,1
Zwolle,Hasselt,1888,0
Zwolle,Hasselt,1897,0
Zwolle,Hattem,1848,0
Zwolle,Hattem,1850,1
Zwolle,Hattem,1888,0
Zwolle,Hattem,1897,0
Zwolle,Heerde,1848,0
Zwolle,Heerde,1850,1
Zwolle,Heerde,1888,0
Zwolle,Heerde,1897,0
Zwolle,Heino,1848,0
Zwolle,Heino,1850,1
Zwolle,Heino,1888,1
Zwolle,Heino,1897,1
Zwolle,Hellendoorn,1848,0
Zwolle,Hellendoorn,1850,1
Zwolle,Hellendoorn,1888,0
Zwolle,Hellendoorn,1897,0
Zwolle,Kampen,1848,0
Zwolle,Kampen,1850,1
Zwolle,Kampen,1888,0
Zwolle,Kampen,1897,0
Zwolle,Kamperveen,1848,0
Zwolle,Kamperveen,1850,1
Zwolle,Kamperveen,1888,0
Zwolle,Kamperveen,1897,0
Zwolle,Nieuwleusen,1848,1
Zwolle,Nieuwleusen,1850,1
Zwolle,Nieuwleusen,1888,0
Zwolle,Nieuwleusen,1897,0
Zwolle,Oldebroek,1848,0
Zwolle,Oldebroek,1850,1
Zwolle,Oldebroek,1888,0
Zwolle,Oldebroek,1897,0
Zwolle,Olst,1848,0
Zwolle,Olst,1850,1
Zwolle,Olst,1888,0
Zwolle,Olst,1897,0
Zwolle,Raalte,1848,0
Zwolle,Raalte,1850,1
Zwolle,Raalte,1888,0
Zwolle,Raalte,1897,0
Zwolle,Schokland,1848,0
Zwolle,Schokland,1850,1
Zwolle,Schokland,1888,0
Zwolle,Schokland,1897,0
Zwolle,Staphorst,1848,1
Zwolle,Staphorst,1850,0
Zwolle,Staphorst,1888,0
Zwolle,Staphorst,1897,0
Zwolle,Wijhe,1848,0
Zwolle,Wijhe,1850,1
Zwolle,Wijhe,1888,1
Zwolle,Wijhe,1897,1
Zwolle,Wilsum,1848,0
Zwolle,Wilsum,1850,1
Zwolle,Wilsum,1888,0
Zwolle,Wilsum,1897,0
Zwolle,Ysselmuiden,1848,0
Zwolle,Ysselmuiden,1850,1
Zwolle,Ysselmuiden,1888,0
Zwolle,Ysselmuiden,1897,0
Zwolle,Zalk en Veecaten,1848,1
Zwolle,Zalk en Veecaten,1850,1
Zwolle,Zalk en Veecaten,1888,0
Zwolle,Zalk en Veecaten,1897,0
Zwolle,Zwolle,1848,1
Zwolle,Zwolle,1850,1
Zwolle,Zwolle,1888,1
Zwolle,Zwolle,1897,1
