b1_nummer;politician;vote;law;date;house;pdc_naam;category
00583;Hingst;1;Successiewet 1878;1878-05-24;Tweede Kamer;Hingst;fiscal
01479;de Vos van Steenwijk;1;Successiewet 1878;1878-05-24;Tweede Kamer;Vos van Steenwijk;fiscal
00138;Blussé van oud Alblas;1;Successiewet 1878;1878-05-24;Tweede Kamer;Blussé van Oud-Alblas;fiscal
00666;van der Kaay;1;Successiewet 1878;1878-05-24;Tweede Kamer;Kaay;fiscal
01168;Sandberg;1;Successiewet 1878;1878-05-24;Tweede Kamer;Sandberg;fiscal
01303;Stieltjes;1;Successiewet 1878;1878-05-24;Tweede Kamer;Stieltjes;fiscal
00889;Mees;1;Successiewet 1878;1878-05-24;Tweede Kamer;Mees;fiscal
01437;Viruly Verbrugge;1;Successiewet 1878;1878-05-24;Tweede Kamer;Viruly Verbrugge;fiscal
01522;van de Werk;1;Successiewet 1878;1878-05-24;Tweede Kamer;Werk;fiscal
01311;van Stolk;1;Successiewet 1878;1878-05-24;Tweede Kamer;Stolk;fiscal
00400;van der Feltz;1;Successiewet 1878;1878-05-24;Tweede Kamer;Feltz;fiscal
00520;van Harinxma thoe Slooten;1;Successiewet 1878;1878-05-24;Tweede Kamer;Harinxma thoe Slooten;fiscal
00998;Oldenhuis gratama;1;Successiewet 1878;1878-05-24;Tweede Kamer;Oldenhuis Gratama;fiscal
01246;Sickesz;1;Successiewet 1878;1878-05-24;Tweede Kamer;Sickesz;fiscal
00066;Bastert;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bastert;fiscal
00455;Gevers Deynoot;1;Successiewet 1878;1878-05-24;Tweede Kamer;Gevers Deynoot;fiscal
00851;Luyben;1;Successiewet 1878;1878-05-24;Tweede Kamer;Luyben;fiscal
00931;Moens;1;Successiewet 1878;1878-05-24;Tweede Kamer;Moens;fiscal
00202;Bredius;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bredius;fiscal
00299;van Delden;1;Successiewet 1878;1878-05-24;Tweede Kamer;Delden;fiscal
01191;Schepel;1;Successiewet 1878;1878-05-24;Tweede Kamer;Schepel;fiscal
00808;Lenting;1;Successiewet 1878;1878-05-24;Tweede Kamer;Lenting;fiscal
00464;Godefroi;1;Successiewet 1878;1878-05-24;Tweede Kamer;Godefroi;fiscal
00917;de Meijier;1;Successiewet 1878;1878-05-24;Tweede Kamer;Meijier;fiscal
00469;Goeman Borgesius;1;Successiewet 1878;1878-05-24;Tweede Kamer;Goeman Borgesius;fiscal
00102;Bergsma;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bergsma;fiscal
01142;de Ruiter Zylker;1;Successiewet 1878;1878-05-24;Tweede Kamer;Ruiter Zijlker;fiscal
01365;van Tienlioven;1;Successiewet 1878;1878-05-24;Tweede Kamer;Tienhoven;fiscal
00360;Dijckmeester;1;Successiewet 1878;1878-05-24;Tweede Kamer;Dijckmeester;fiscal
01118;Roell;1;Successiewet 1878;1878-05-24;Tweede Kamer;Röell;fiscal
01405;Vening Meinesz;1;Successiewet 1878;1878-05-24;Tweede Kamer;Vening Meinesz;fiscal
00607;van Houten;1;Successiewet 1878;1878-05-24;Tweede Kamer;Houten;fiscal
00280;Cremers;1;Successiewet 1878;1878-05-24;Tweede Kamer;Cremers;fiscal
00930;Mirandolle;1;Successiewet 1878;1878-05-24;Tweede Kamer;Mirandolle;fiscal
00421;Fransen van de Putte;1;Successiewet 1878;1878-05-24;Tweede Kamer;Fransen van de Putte;fiscal
00232;de Bruyn Kops;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bruijn Kops;fiscal
01572;Wybenga;1;Successiewet 1878;1878-05-24;Tweede Kamer;Wybenga;fiscal
00569;van Heukelom;1;Successiewet 1878;1878-05-24;Tweede Kamer;Heukelom;fiscal
00594;Holtzman;1;Successiewet 1878;1878-05-24;Tweede Kamer;Holtzman;fiscal
00368;D. van Eck;1;Successiewet 1878;1878-05-24;Tweede Kamer;Eck;fiscal
00349;Dullert;1;Successiewet 1878;1878-05-24;Tweede Kamer;Dullert;fiscal
00088;Cremer van den Berch van Heemstede;0;Successiewet 1878;1878-05-24;Tweede Kamer;Cremer van den Berch van Heemstede;fiscal
01203;Schimmelpenninck van der Oye;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schimmelpenninck van der Oye;fiscal
00112;Bichon van IJsselmonde;0;Successiewet 1878;1878-05-24;Tweede Kamer;Bichon van IJsselmonde;fiscal
01091;Reekers;0;Successiewet 1878;1878-05-24;Tweede Kamer;Reekers;fiscal
00041;van Asch van Wijck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Asch van Wijck;fiscal
00578;Heydenrijck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Heydenrijck;fiscal
00255;de Casembroot;0;Successiewet 1878;1878-05-24;Tweede Kamer;Casembroot;fiscal
00683;G.E.F.X.M. Kerens de Wylré;0;Successiewet 1878;1878-05-24;Tweede Kamer;Kerens de Wylré;fiscal
00684;van Kerkwijk;0;Successiewet 1878;1878-05-24;Tweede Kamer;Kerkwijk;fiscal
00113;de Bieberstein Rogalla Zawadsky;0;Successiewet 1878;1878-05-24;Tweede Kamer;Bieberstein Rogalla Zawadsky;fiscal
00973;van Nispen tot Sevenaer;0;Successiewet 1878;1878-05-24;Tweede Kamer;Nispen tot Sevenaer;fiscal
00273;Corver Hooft;0;Successiewet 1878;1878-05-24;Tweede Kamer;Corver Hooft;fiscal
00082;Begram;0;Successiewet 1878;1878-05-24;Tweede Kamer;Begram;fiscal
01229;van der Schrieck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schrieck;fiscal
01343;Teding van Berkhout;0;Successiewet 1878;1878-05-24;Tweede Kamer;Teding van Berkhout;fiscal
00508;Haffmans;0;Successiewet 1878;1878-05-24;Tweede Kamer;Haffmans;fiscal
00049;van Baar;0;Successiewet 1878;1878-05-24;Tweede Kamer;Baar;fiscal
00168;Borret;0;Successiewet 1878;1878-05-24;Tweede Kamer;Borret;fiscal
01414;Verheijen;0;Successiewet 1878;1878-05-24;Tweede Kamer;Verheijen;fiscal
00862;Mackay;0;Successiewet 1878;1878-05-24;Tweede Kamer;Mackay;fiscal
00778;Lambrechts;0;Successiewet 1878;1878-05-24;Tweede Kamer;Lambrechts;fiscal
01601;van Zinnicq Bergmann;0;Successiewet 1878;1878-05-24;Tweede Kamer;Zinnicq Bergmann;fiscal
01166;Saaymans Vader;0;Successiewet 1878;1878-05-24;Tweede Kamer;Saaymans Vader;fiscal
00628;Insinger;0;Successiewet 1878;1878-05-24;Tweede Kamer;Insinger;fiscal
01183;Schagen van Leeuwen;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schagen van Leeuwen;fiscal
00656;de Jonge;0;Successiewet 1878;1878-05-24;Tweede Kamer;Jonge;fiscal
01203;Schimmelpenninck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schimmelpenninck van der Oye;fiscal
00022;H.A. Amorie Hoeven;0;Successiewet 1878;1878-05-24;Tweede Kamer;Amorie van der Hoeven;fiscal
00031;Arnoldts;0;Successiewet 1878;1878-05-24;Tweede Kamer;Arnoldts;fiscal
00217;Brouwers;0;Successiewet 1878;1878-05-24;Tweede Kamer;Brouwers;fiscal
01509;van Wassenaer van Catwijck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Wassenaer van Catwijck;fiscal
01557;Wintgens;0;Successiewet 1878;1878-05-24;Tweede Kamer;Wintgens;fiscal
00376;Elhorst;1;Successiewet 1911;1911-03-10;Tweede Kamer;Elhorst;fiscal
00977;O.F.A.M. van Nispen tot Sevenaer;1;Successiewet 1911;1911-03-10;Tweede Kamer;Nispen tot Sevenaer;fiscal
00773;ter Laan;1;Successiewet 1911;1911-03-10;Tweede Kamer;Laan;fiscal
01023;Patijn;1;Successiewet 1911;1911-03-10;Tweede Kamer;Patijn;fiscal
00940;de Monte verLoren;1;Successiewet 1911;1911-03-10;Tweede Kamer;Monté VerLoren;fiscal
00689;Ketelaar;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ketelaar;fiscal
00517;van Hamel;1;Successiewet 1911;1911-03-10;Tweede Kamer;Hamel;fiscal
00404;Ferf;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ferf;fiscal
00325;Dolk;1;Successiewet 1911;1911-03-10;Tweede Kamer;Dolk;fiscal
01189;Schaper;1;Successiewet 1911;1911-03-10;Tweede Kamer;Schaper;fiscal
00001;Aalberse;1;Successiewet 1911;1911-03-10;Tweede Kamer;Aalberse;fiscal
01113;Rink;1;Successiewet 1911;1911-03-10;Tweede Kamer;Rink;fiscal
01451;Vliegen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vliegen;fiscal
01283;Snoeck Henkemans;1;Successiewet 1911;1911-03-10;Tweede Kamer;Snoeck Henkemans;fiscal
01125;Roodkuyzen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Roodhuyzen;fiscal
01271;Smidt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Smidt;fiscal
00704;de Klerk;1;Successiewet 1911;1911-03-10;Tweede Kamer;Klerk;fiscal
00540;Heemskerk;1;Successiewet 1911;1911-03-10;Tweede Kamer;Heemskerk;fiscal
00432;de Geer;1;Successiewet 1911;1911-03-10;Tweede Kamer;Geer;fiscal
00676;van Karnebeek;1;Successiewet 1911;1911-03-10;Tweede Kamer;Karnebeek;fiscal
01470;van der Voort van Zijp;1;Successiewet 1911;1911-03-10;Tweede Kamer;Voort van Zijp;fiscal
00975;J.W.J.C.M. van Nispen tot Sevenaer;1;Successiewet 1911;1911-03-10;Tweede Kamer;Nispen tot Sevenaer;fiscal
00822;Limburg;1;Successiewet 1911;1911-03-10;Tweede Kamer;Limburg;fiscal
01079;de Ram;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ram;fiscal
00029;Ankerman;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ankerman;fiscal
00175;D. Bos;1;Successiewet 1911;1911-03-10;Tweede Kamer;Bos;fiscal
01269;Smeenge;1;Successiewet 1911;1911-03-10;Tweede Kamer;Smeenge;fiscal
00613;Hubrecht;1;Successiewet 1911;1911-03-10;Tweede Kamer;Hubrecht;fiscal
01359;Thomson;1;Successiewet 1911;1911-03-10;Tweede Kamer;Thomson;fiscal
00815;Lieftinck;1;Successiewet 1911;1911-03-10;Tweede Kamer;Lieftinck;fiscal
00469;Goeman Borgesius;1;Successiewet 1911;1911-03-10;Tweede Kamer;Goeman Borgesius;fiscal
01446;de Visser;1;Successiewet 1911;1911-03-10;Tweede Kamer;Visser;fiscal
01456;de Vlugt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vlugt;fiscal
00672;de Kanter;1;Successiewet 1911;1911-03-10;Tweede Kamer;Kanter;fiscal
00766;Kuyper;1;Successiewet 1911;1911-03-10;Tweede Kamer;Kuyper;fiscal
00357;J.E.W. Duijs;1;Successiewet 1911;1911-03-10;Tweede Kamer;Duijs;fiscal
00104;van Best;1;Successiewet 1911;1911-03-10;Tweede Kamer;Best;fiscal
00354;Duymaer van Twist;1;Successiewet 1911;1911-03-10;Tweede Kamer;Duymaer van Twist;fiscal
01494;van Vuuren;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vuuren;fiscal
01583;van Wijnbergen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Wijnbergen;fiscal
00348;Drucker;1;Successiewet 1911;1911-03-10;Tweede Kamer;Drucker;fiscal
00408;Fleskens;1;Successiewet 1911;1911-03-10;Tweede Kamer;Fleskens;fiscal
00634;Jannink;1;Successiewet 1911;1911-03-10;Tweede Kamer;Jannink;fiscal
01172;van Sasse van Ysselt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Sasse van Ysselt;fiscal
01344;Teenstra;1;Successiewet 1911;1911-03-10;Tweede Kamer;Teenstra;fiscal
00417;van Foresst;1;Successiewet 1911;1911-03-10;Tweede Kamer;Foreest;fiscal
00806;van Lennep;1;Successiewet 1911;1911-03-10;Tweede Kamer;Lennep;fiscal
01580;de Wijkorslooth de Weerdesteyn;1;Successiewet 1911;1911-03-10;Tweede Kamer;Wijkerslooth de Weerdesteyn;fiscal
00374;Eland;1;Successiewet 1911;1911-03-10;Tweede Kamer;Eland;fiscal
00925;Middelberg;1;Successiewet 1911;1911-03-10;Tweede Kamer;Middelberg;fiscal
00662;de Jongh;1;Successiewet 1911;1911-03-10;Tweede Kamer;Jongh;fiscal
01177;de Savornin Lohman;1;Successiewet 1911;1911-03-10;Tweede Kamer;Savornin Lohman;fiscal
00557;Helsdingen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Helsdingen;fiscal
00733;Koolen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Koolen;fiscal
01454;van Vliet;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vliet;fiscal
01392;vau Veen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Veen;fiscal
00356;Duynstee;1;Successiewet 1911;1911-03-10;Tweede Kamer;Duynstee;fiscal
01120;Roessingh;1;Successiewet 1911;1911-03-10;Tweede Kamer;Roessingh;fiscal
01411;Verheij;1;Successiewet 1911;1911-03-10;Tweede Kamer;Verheij;fiscal
00071;de Beaufort;1;Successiewet 1911;1911-03-10;Tweede Kamer;Beaufort 2;fiscal
00835;Loeff;1;Successiewet 1911;1911-03-10;Tweede Kamer;Loeff;fiscal
00981;Nolens;1;Successiewet 1911;1911-03-10;Tweede Kamer;Nolens;fiscal
01375;Treub;1;Successiewet 1911;1911-03-10;Tweede Kamer;Treub;fiscal
00245;van Bylandt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Bylandt;fiscal
00624;van Idsinga;0;Successiewet 1911;1911-03-10;Tweede Kamer;Idsinga;fiscal
00293;van Dedem;0;Successiewet 1911;1911-03-10;Tweede Kamer;Dedem;fiscal
01510;van Wassenaer van Catwijck;0;Successiewet 1911;1911-03-10;Tweede Kamer;Wassenaer van Catwijck;fiscal
00858;van Lynden van Sandenburg;0;Successiewet 1911;1911-03-10;Tweede Kamer;Lynden van Sandenburg;fiscal
00601;van Hoogstrate;0;Successiewet 1911;1911-03-10;Tweede Kamer;Hoogstraten;fiscal
00822;Limburg;1;Successiewet 1916;1916-07-18;Tweede Kamer;Limburg;fiscal
00369;Eerdmans;1;Successiewet 1916;1916-07-18;Tweede Kamer;Eerdmans;fiscal
00410;Fock;1;Successiewet 1916;1916-07-18;Tweede Kamer;Fock;fiscal
00111;Bichon van IJsselmonde;1;Successiewet 1916;1916-07-18;Tweede Kamer;Bichon van IJsselmonde;fiscal
00029;Ankerman;1;Successiewet 1916;1916-07-18;Tweede Kamer;Ankerman;fiscal
00875;Marchant;1;Successiewet 1916;1916-07-18;Tweede Kamer;Marchant;fiscal
01288;Spiekman;1;Successiewet 1916;1916-07-18;Tweede Kamer;Spiekman;fiscal
01075;van Raalte;1;Successiewet 1916;1916-07-18;Tweede Kamer;Raalte;fiscal
00071;de Beaufort;1;Successiewet 1916;1916-07-18;Tweede Kamer;Beaufort 2;fiscal
01344;Teenstra;1;Successiewet 1916;1916-07-18;Tweede Kamer;Teenstra;fiscal
00796;van Leeuwen;1;Successiewet 1916;1916-07-18;Tweede Kamer;Leeuwen;fiscal
00544;Heeres;1;Successiewet 1916;1916-07-18;Tweede Kamer;Heeres;fiscal
00152;Boissevain;1;Successiewet 1916;1916-07-18;Tweede Kamer;Boissevain;fiscal
00892;de Meester;1;Successiewet 1916;1916-07-18;Tweede Kamer;Meester;fiscal
00517;van Hamel;1;Successiewet 1916;1916-07-18;Tweede Kamer;Hamel;fiscal
00815;Lieftinck;1;Successiewet 1916;1916-07-18;Tweede Kamer;Lieftinck;fiscal
01189;Schaper;1;Successiewet 1916;1916-07-18;Tweede Kamer;Schaper;fiscal
01347;van den Tempel;1;Successiewet 1916;1916-07-18;Tweede Kamer;Tempel;fiscal
01170;Sannes;1;Successiewet 1916;1916-07-18;Tweede Kamer;Sannes;fiscal
00949;de Muralt;1;Successiewet 1916;1916-07-18;Tweede Kamer;Muralt;fiscal
00344;Drion;1;Successiewet 1916;1916-07-18;Tweede Kamer;Drion;fiscal
00702;Kleerekoper;1;Successiewet 1916;1916-07-18;Tweede Kamer;Kleerekoper;fiscal
00357;Duijs;1;Successiewet 1916;1916-07-18;Tweede Kamer;Duijs;fiscal
00655;de Jong;1;Successiewet 1916;1916-07-18;Tweede Kamer;Jong;fiscal
00337;van Doorn;1;Successiewet 1916;1916-07-18;Tweede Kamer;Doorn;fiscal
00635;Jansen;1;Successiewet 1916;1916-07-18;Tweede Kamer;Jansen;fiscal
00634;Jannink;1;Successiewet 1916;1916-07-18;Tweede Kamer;Jannink;fiscal
00613;Hubrecht;1;Successiewet 1916;1916-07-18;Tweede Kamer;Hubrecht;fiscal
01124;Roodenburg;1;Successiewet 1916;1916-07-18;Tweede Kamer;Roodenburg;fiscal
01289;ter Spill;1;Successiewet 1916;1916-07-18;Tweede Kamer;Spill;fiscal
01269;Smeenge;1;Successiewet 1916;1916-07-18;Tweede Kamer;Smeenge;fiscal
01113;Rink;1;Successiewet 1916;1916-07-18;Tweede Kamer;Rink;fiscal
00417;van Foreest;1;Successiewet 1916;1916-07-18;Tweede Kamer;Foreest;fiscal
01147;Rutgers;1;Successiewet 1916;1916-07-18;Tweede Kamer;Rutgers;fiscal
00772;J. ter Laan;1;Successiewet 1916;1916-07-18;Tweede Kamer;Laan;fiscal
00432;de Geer;1;Successiewet 1916;1916-07-18;Tweede Kamer;Geer;fiscal
00090;van Beresteyn;1;Successiewet 1916;1916-07-18;Tweede Kamer;Beresteyn;fiscal
00742;Koster;1;Successiewet 1916;1916-07-18;Tweede Kamer;Koster;fiscal
01198;Schim van der Loeff;1;Successiewet 1916;1916-07-18;Tweede Kamer;Schim van der Loeff;fiscal
00967;Nierstrasz;1;Successiewet 1916;1916-07-18;Tweede Kamer;Nierstrasz;fiscal
00709;Knobel;1;Successiewet 1916;1916-07-18;Tweede Kamer;Knobel;fiscal
01023;Patijn;1;Successiewet 1916;1916-07-18;Tweede Kamer;Patijn;fiscal
01283;Snoeck Henkemans;1;Successiewet 1916;1916-07-18;Tweede Kamer;Snoeck Henkemans;fiscal
00374;Eland;1;Successiewet 1916;1916-07-18;Tweede Kamer;Eland;fiscal
01384;Tydeman;1;Successiewet 1916;1916-07-18;Tweede Kamer;Tydeman;fiscal
00011;Albarda;1;Successiewet 1916;1916-07-18;Tweede Kamer;Albarda;fiscal
00773;K. ter Laan;1;Successiewet 1916;1916-07-18;Tweede Kamer;Laan;fiscal
00469;Goeman Borgesius;1;Successiewet 1916;1916-07-18;Tweede Kamer;Goeman Borgesius;fiscal
00448;Gerretson;0;Successiewet 1916;1916-07-18;Tweede Kamer;Gerretson;fiscal
00104;van Best;0;Successiewet 1916;1916-07-18;Tweede Kamer;Best;fiscal
01152;Ruys de Beerenbrouck;0;Successiewet 1916;1916-07-18;Tweede Kamer;Ruijs de Beerenbrouck;fiscal
00150;Bogaardt;0;Successiewet 1916;1916-07-18;Tweede Kamer;Bogaardt;fiscal
00034;Arts;0;Successiewet 1916;1916-07-18;Tweede Kamer;Arts;fiscal
00940;de Monté ver Loren;0;Successiewet 1916;1916-07-18;Tweede Kamer;Monté VerLoren;fiscal
01470;van der Voort van Zijp;0;Successiewet 1916;1916-07-18;Tweede Kamer;Voort van Zijp;fiscal
01583;van Wijnbergen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Wijnbergen;fiscal
00635;Janssen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Jansen;fiscal
01172;van Sasse van Ysselt;0;Successiewet 1916;1916-07-18;Tweede Kamer;Sasse van Ysselt;fiscal
01446;de Visser;0;Successiewet 1916;1916-07-18;Tweede Kamer;Visser;fiscal
01194;Scheurer;0;Successiewet 1916;1916-07-18;Tweede Kamer;Scheurer;fiscal
01454;van Vliet;0;Successiewet 1916;1916-07-18;Tweede Kamer;Vliet;fiscal
00430;Fruytier;0;Successiewet 1916;1916-07-18;Tweede Kamer;Fruytier;fiscal
00665;Juten;0;Successiewet 1916;1916-07-18;Tweede Kamer;Juten;fiscal
00975;van Nispen tot Sevenaer;0;Successiewet 1916;1916-07-18;Tweede Kamer;Nispen tot Sevenaer;fiscal
00228;Brummelkamp;0;Successiewet 1916;1916-07-18;Tweede Kamer;Brummelkamp;fiscal
00157;Bongaerts;0;Successiewet 1916;1916-07-18;Tweede Kamer;Bongaerts;fiscal
01494;van Vuuren;0;Successiewet 1916;1916-07-18;Tweede Kamer;Vuuren;fiscal
00733;D.A.P.N. Koolen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Koolen;fiscal
01201;Schimmelpenninck;0;Successiewet 1916;1916-07-18;Tweede Kamer;Schimmelpenninck;fiscal
01177;de Savornin Lohman;0;Successiewet 1916;1916-07-18;Tweede Kamer;Savornin Lohman;fiscal
00727;Kolkman;0;Successiewet 1916;1916-07-18;Tweede Kamer;Kolkman;fiscal
00354;Duymaer van Twist;0;Successiewet 1916;1916-07-18;Tweede Kamer;Duymaer van Twist;fiscal
01392;van Veen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Veen;fiscal
00408;Fleskens;0;Successiewet 1916;1916-07-18;Tweede Kamer;Fleskens;fiscal
01580;de Wijkerslooth de Weerdesteyn;0;Successiewet 1916;1916-07-18;Tweede Kamer;Wijkerslooth de Weerdesteyn;fiscal
01538;van Wichen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Wichen;fiscal
01400;van de Velde;0;Successiewet 1916;1916-07-18;Tweede Kamer;Velde;fiscal
00491;de Groot;1;Successiewet 1921;1921-04-14;Tweede Kamer;Groot;fiscal
00408;Fleskens;1;Successiewet 1921;1921-04-14;Tweede Kamer;Fleskens;fiscal
00565;L.M. Hermans;1;Successiewet 1921;1921-04-14;Tweede Kamer;Hermans;fiscal
01215;Schokking;1;Successiewet 1921;1921-04-14;Tweede Kamer;Schokking;fiscal
01375;Treub;1;Successiewet 1921;1921-04-14;Tweede Kamer;Treub;fiscal
01007;Ossendorp;1;Successiewet 1921;1921-04-14;Tweede Kamer;Ossendorp;fiscal
00154;Bomans;1;Successiewet 1921;1921-04-14;Tweede Kamer;Bomans;fiscal
01105;P.J. Reymer;1;Successiewet 1921;1921-04-14;Tweede Kamer;Reymer;fiscal
00702;Kleerekoper;1;Successiewet 1921;1921-04-14;Tweede Kamer;Kleerekoper;fiscal
01592;van Zadelhoff;1;Successiewet 1921;1921-04-14;Tweede Kamer;Zadelhoff;fiscal
00506;Haazevoet;1;Successiewet 1921;1921-04-14;Tweede Kamer;Haazevoet;fiscal
00292;Deckers;1;Successiewet 1921;1921-04-14;Tweede Kamer;Deckers;fiscal
00514;Ter Hall;1;Successiewet 1921;1921-04-14;Tweede Kamer;Hall;fiscal
00563;H. Hermans;1;Successiewet 1921;1921-04-14;Tweede Kamer;Hermans;fiscal
00981;Nolens;1;Successiewet 1921;1921-04-14;Tweede Kamer;Nolens;fiscal
00157;Bongaerts;1;Successiewet 1921;1921-04-14;Tweede Kamer;Bongaerts;fiscal
01293;A.P. Staalman;1;Successiewet 1921;1921-04-14;Tweede Kamer;Staalman;fiscal
00357;J.E.W. Duijs;1;Successiewet 1921;1921-04-14;Tweede Kamer;Duijs;fiscal
01610;Zijlstra;1;Successiewet 1921;1921-04-14;Tweede Kamer;Zijlstra;fiscal
00727;Kolkman;1;Successiewet 1921;1921-04-14;Tweede Kamer;Kolkman;fiscal
01322;Stulemeijer;1;Successiewet 1921;1921-04-14;Tweede Kamer;Stulemeijer;fiscal
01548;de Wilde;1;Successiewet 1921;1921-04-14;Tweede Kamer;Wilde;fiscal
01295;van Stapele;1;Successiewet 1921;1921-04-14;Tweede Kamer;Stapele;fiscal
00949;de Muralt;1;Successiewet 1921;1921-04-14;Tweede Kamer;Muralt;fiscal
01184;van Schaik;1;Successiewet 1921;1921-04-14;Tweede Kamer;Schaik;fiscal
01157;van Rijckevorsel;1;Successiewet 1921;1921-04-14;Tweede Kamer;Rijckevorsel;fiscal
00354;Duymaer van Twist;1;Successiewet 1921;1921-04-14;Tweede Kamer;Duymaer van Twist;fiscal
01010;Oud;1;Successiewet 1921;1921-04-14;Tweede Kamer;Oud;fiscal
01147;Rutgers;1;Successiewet 1921;1921-04-14;Tweede Kamer;Rutgers;fiscal
01194;Scheurer;1;Successiewet 1921;1921-04-14;Tweede Kamer;Scheurer;fiscal
00121;van de Bilt;1;Successiewet 1921;1921-04-14;Tweede Kamer;Bilt;fiscal
01140;Rugge;1;Successiewet 1921;1921-04-14;Tweede Kamer;Rugge;fiscal
01555;Wintermans;1;Successiewet 1921;1921-04-14;Tweede Kamer;Wintermans;fiscal
01043;Poels;1;Successiewet 1921;1921-04-14;Tweede Kamer;Poels;fiscal
00934;van der Molen;1;Successiewet 1921;1921-04-14;Tweede Kamer;Molen;fiscal
01270;Smeenk;1;Successiewet 1921;1921-04-14;Tweede Kamer;Smeenk;fiscal
00657;de Jonge;1;Successiewet 1921;1921-04-14;Tweede Kamer;Jonge;fiscal
01494;van Vuuren;1;Successiewet 1921;1921-04-14;Tweede Kamer;Vuuren;fiscal
00772;G.J. ter Laan;1;Successiewet 1921;1921-04-14;Tweede Kamer;Laan;fiscal
01189;Schaper;1;Successiewet 1921;1921-04-14;Tweede Kamer;Schaper;fiscal
01376;Troelstra;1;Successiewet 1921;1921-04-14;Tweede Kamer;Troelstra;fiscal
00488;Groeneweg;1;Successiewet 1921;1921-04-14;Tweede Kamer;Groeneweg;fiscal
01347;van den Tempel;1;Successiewet 1921;1921-04-14;Tweede Kamer;Tempel;fiscal
00773;K. ter Laan;1;Successiewet 1921;1921-04-14;Tweede Kamer;Laan;fiscal
00689;Ketelaar;1;Successiewet 1921;1921-04-14;Tweede Kamer;Ketelaar;fiscal
01344;Teenstra;1;Successiewet 1921;1921-04-14;Tweede Kamer;Teenstra;fiscal
00385;Engels;1;Successiewet 1921;1921-04-14;Tweede Kamer;Engels;fiscal
00237;Bulten;1;Successiewet 1921;1921-04-14;Tweede Kamer;Bulten;fiscal
01583;van Wijnbergen;1;Successiewet 1921;1921-04-14;Tweede Kamer;Wijnbergen;fiscal
00059;Bakker;1;Successiewet 1921;1921-04-14;Tweede Kamer;Bakker;fiscal
00090;van Beresteyn;1;Successiewet 1921;1921-04-14;Tweede Kamer;Beresteyn;fiscal
00875;Marchant;1;Successiewet 1921;1921-04-14;Tweede Kamer;Marchant;fiscal
00615;Hugenholtz;1;Successiewet 1921;1921-04-14;Tweede Kamer;Hugenholtz;fiscal
01225;Schouten;1;Successiewet 1921;1921-04-14;Tweede Kamer;Schouten;fiscal
00363;van Dijk;1;Successiewet 1921;1921-04-14;Tweede Kamer;Dijk;fiscal
00011;Albarda;1;Successiewet 1921;1921-04-14;Tweede Kamer;Albarda;fiscal
00344;Drion;0;Successiewet 1921;1921-04-14;Tweede Kamer;Drion;fiscal
00448;Gerretson;0;Successiewet 1921;1921-04-14;Tweede Kamer;Gerretson;fiscal
01113;Rink;0;Successiewet 1921;1921-04-14;Tweede Kamer;Rink;fiscal
00341;Dresselhuys;0;Successiewet 1921;1921-04-14;Tweede Kamer;Dresselhuys;fiscal
01292;A. Staalman;0;Successiewet 1921;1921-04-14;Tweede Kamer;Staalman;fiscal
00940;de Monté ver Loren;0;Successiewet 1921;1921-04-14;Tweede Kamer;Monté VerLoren;fiscal
00672;de Kanter;0;Successiewet 1921;1921-04-14;Tweede Kamer;Kanter;fiscal
00540;Heemskerk;0;Successiewet 1921;1921-04-14;Tweede Kamer;Heemskerk;fiscal
01082;A.G.Æ. ridder van Rappard;0;Successiewet 1921;1921-04-14;Tweede Kamer;Rappard;fiscal
00430;Fruytier;0;Successiewet 1921;1921-04-14;Tweede Kamer;Fruytier;fiscal
