b1_nummer;politician;vote;law;date;house;pdc_naam;category
01603;van Zuylen van Nyevelt;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Zuylen van Nijevelt;fiscal
00350;Dumbar;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dumbar;fiscal
00631;'s Jacob;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jacob;fiscal
00202;Bredius;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bredius;fiscal
00998;Oldenhuis Gratama;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Oldenhuis Gratama;fiscal
00625;Idzerda;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Idzerda;fiscal
00583;Hingst;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hingst;fiscal
00607;van Houten;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Houten;fiscal
00930;Mirandolle;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mirandolle;fiscal
00130;Blom;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Blom;fiscal
00650;de Jong;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jong;fiscal
00280;Cremers;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Cremers;fiscal
01123;de Roo van Alderwerelt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Roo van Alderwerelt;fiscal
00110;van Beyma thoe Kingma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Beyma thoe Kingma;fiscal
00455;Gevers Deynoot;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Gevers Deynoot;fiscal
01142;de Ruiter Zylker;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Ruiter Zijlker;fiscal
00285;Dam;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dam;fiscal
00299;van Delden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Delden;fiscal
00878;du Marchie van Voorthuysen;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Marchie van Voorthuysen;fiscal
00808;Lenting;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lenting;fiscal
01572;Wybenga;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wybenga;fiscal
00421;Fransen van de Putte;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Fransen van de Putte;fiscal
00102;Bergsma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bergsma;fiscal
01272;Smidt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Smidt;fiscal
00784;de Lange;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lange;fiscal
00828;van der Linden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Linden;fiscal
00931;Moens;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Moens;fiscal
00538;Heemskerk Bzn.;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Bzn.;fiscal
01303;Stieltjes;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Stieltjes;fiscal
00349;Dullert;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dullert;fiscal
01036;Plate;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Plate;fiscal
01273;Smit;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smit;fiscal
00468;Goekoop;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Goekoop;fiscal
01120;Roessingh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Roessingh;fiscal
00404;Ferf;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Ferf;fiscal
00607;van Houten;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Houten;fiscal
00400;van der Feltz;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Feltz;fiscal
00500;van Gijn;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gijn;fiscal
00071;W.H. de Beaufort;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beaufort 2;fiscal
00849;Lucasse;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lucasse;fiscal
01067;Pijnacker Hordijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Pijnacker Hordijk;fiscal
01148;Rutgers van Rozenburg;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Rutgers van Rozenburg;fiscal
