b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct
00168;Borret;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Borret;fiscal;Tilburg;16723;6463;4186;0,610952798480199;0,2361119299560002;0,15292526897554304;113881;5179;8643;85114;547;14099;0,853187650360866079;5,48315958299920e-03;0,14132919005613473
01166;Saaymans Vader;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Saaymans Vader;fiscal;Goes;1511;1672;826;0,376901970566226;0,4170224054461504;0,20599562361014317;89821;9968;10292;12234;4130;37006;0,229229904440697019;7,73842982949222e-02;0,69338579726438077
00863;Mackay;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mackay;fiscal;Tiel;1364;2122;246;0,365487674169346;0,5685402480029704;0,06589990558631133;63235;5441;6377;18076;1046;32709;0,348748818274777661;2,01809727769096e-02;0,63107020894831278
00464;Godefroi;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Godefroi;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,301983758821628478;9,99176474267427e-03;0,68802447643569720
00974;van Nispen van Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nispen van Sevenaer;fiscal;Nijmegen;13594;8636;7991;0,449819661824559;0,2857573032244631;0,26441234586443557;150547;5276;7162;84760;121;18061;0,823376270132696098;1,17541916807523e-03;0,17544831069922870
01414;Verheijen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Verheijen;fiscal;Tilburg;16723;6463;4186;0,610952798480199;0,2361119299560002;0,15292526897554304;113881;5179;8643;85114;547;14099;0,853187650360866079;5,48315958299920e-03;0,14132919005613473
00519;van Hardenbroek van Lockhorst;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hardenbroek van Lockhorst;fiscal;Amersfoort;18404;11383;9241;0,471558880803526;0,2916588722370768;0,23677409269778091;158124;8936;18668;31843;1723;68008;0,313495579577450945;1,69630023431193e-02;0,66954141807942980
00537;Heemskerk Azn.;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Azn.;fiscal;Gorinchem;1494;2852;326;0,319777397260274;0,6104034261089726;0,06976350756059421;99736;8448;11173;10445;3556;38674;0,198291409587090656;6,75083056478405e-02;0,73420028476506882
00573;van den Heuvel;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heuvel;fiscal;Boxmeer;1566;492;1186;0,482737361282367;0,1516420458443063;0,36552654669729256;38208;7522;6419;41165;43;3662;0,917428125696456376;9,58324047247604e-04;0,08161355025629596
00954;van Naamen van Eemnes;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Naamen van Eemnes;fiscal;Zwolle;22111;11555;13210;0,471691270586228;0,2464989275665086;0,28180300392193813;159177;5418;6856;21138;6237;72810;0,210989669112142536;6,22548285671508e-02;0,72675550232070674
