politician;vote;law;date;house
van Wijnbergen;1;Successiewet 1911;1911-03-10;Tweede Kamer
Drucker;1;Successiewet 1911;1911-03-10;Tweede Kamer
Fleskens;1;Successiewet 1911;1911-03-10;Tweede Kamer
Jannink;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Sasse van Ysselt;1;Successiewet 1911;1911-03-10;Tweede Kamer
Teenstra;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Foresst;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Lennep;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Wijkorslooth de Weerdesteyn;1;Successiewet 1911;1911-03-10;Tweede Kamer
Eland;1;Successiewet 1911;1911-03-10;Tweede Kamer
Middelberg;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Jongh;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Savornin Lohman;1;Successiewet 1911;1911-03-10;Tweede Kamer
Helsdingen;1;Successiewet 1911;1911-03-10;Tweede Kamer
Koolen;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Vliet;1;Successiewet 1911;1911-03-10;Tweede Kamer
vau Veen;1;Successiewet 1911;1911-03-10;Tweede Kamer
Duynstee;1;Successiewet 1911;1911-03-10;Tweede Kamer
Roessingh;1;Successiewet 1911;1911-03-10;Tweede Kamer
Verheij;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Beaufort;1;Successiewet 1911;1911-03-10;Tweede Kamer
Loeff;1;Successiewet 1911;1911-03-10;Tweede Kamer
Nolens;1;Successiewet 1911;1911-03-10;Tweede Kamer
Treub;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Bylandt;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Idsinga;0;Successiewet 1911;1911-03-10;Tweede Kamer
van Dedem;0;Successiewet 1911;1911-03-10;Tweede Kamer
van Wassenaer van Catwijck;0;Successiewet 1911;1911-03-10;Tweede Kamer
van Lynden van Sandenburg;0;Successiewet 1911;1911-03-10;Tweede Kamer
van Hoogstrate;0;Successiewet 1911;1911-03-10;Tweede Kamer
Limburg;1;Successiewet 1916;1916-07-18;Tweede Kamer
Eerdmans;1;Successiewet 1916;1916-07-18;Tweede Kamer
Fock;1;Successiewet 1916;1916-07-18;Tweede Kamer
Bichon van IJsselmonde;1;Successiewet 1916;1916-07-18;Tweede Kamer
Ankerman;1;Successiewet 1916;1916-07-18;Tweede Kamer
Marchant;1;Successiewet 1916;1916-07-18;Tweede Kamer
Spiekman;1;Successiewet 1916;1916-07-18;Tweede Kamer
van Raalte;1;Successiewet 1916;1916-07-18;Tweede Kamer
de Beaufort;1;Successiewet 1916;1916-07-18;Tweede Kamer
Teenstra;1;Successiewet 1916;1916-07-18;Tweede Kamer
van Leeuwen;1;Successiewet 1916;1916-07-18;Tweede Kamer
Heeres;1;Successiewet 1916;1916-07-18;Tweede Kamer
Boissevain;1;Successiewet 1916;1916-07-18;Tweede Kamer
de Meester;1;Successiewet 1916;1916-07-18;Tweede Kamer
van Hamel;1;Successiewet 1916;1916-07-18;Tweede Kamer
Lieftinck;1;Successiewet 1916;1916-07-18;Tweede Kamer
Schaper;1;Successiewet 1916;1916-07-18;Tweede Kamer
van den Tempel;1;Successiewet 1916;1916-07-18;Tweede Kamer
Sannes;1;Successiewet 1916;1916-07-18;Tweede Kamer
de Muralt;1;Successiewet 1916;1916-07-18;Tweede Kamer
Drion;1;Successiewet 1916;1916-07-18;Tweede Kamer
Kleerekoper;1;Successiewet 1916;1916-07-18;Tweede Kamer
Duijs;1;Successiewet 1916;1916-07-18;Tweede Kamer
de Jong;1;Successiewet 1916;1916-07-18;Tweede Kamer
van Doorn;1;Successiewet 1916;1916-07-18;Tweede Kamer
Jansen;1;Successiewet 1916;1916-07-18;Tweede Kamer
Jannink;1;Successiewet 1916;1916-07-18;Tweede Kamer
Hubrecht;1;Successiewet 1916;1916-07-18;Tweede Kamer
Roodenburg;1;Successiewet 1916;1916-07-18;Tweede Kamer
ter Spill;1;Successiewet 1916;1916-07-18;Tweede Kamer
Smeenge;1;Successiewet 1916;1916-07-18;Tweede Kamer
Rink;1;Successiewet 1916;1916-07-18;Tweede Kamer
van Foreest;1;Successiewet 1916;1916-07-18;Tweede Kamer
Rutgers;1;Successiewet 1916;1916-07-18;Tweede Kamer
J. ter Laan;1;Successiewet 1916;1916-07-18;Tweede Kamer
de Geer;1;Successiewet 1916;1916-07-18;Tweede Kamer
van Beresteyn;1;Successiewet 1916;1916-07-18;Tweede Kamer
Koster;1;Successiewet 1916;1916-07-18;Tweede Kamer
Schim van der Loeff;1;Successiewet 1916;1916-07-18;Tweede Kamer
Nierstrasz;1;Successiewet 1916;1916-07-18;Tweede Kamer
Knobel;1;Successiewet 1916;1916-07-18;Tweede Kamer
Patijn;1;Successiewet 1916;1916-07-18;Tweede Kamer
Snoeck Henkemans;1;Successiewet 1916;1916-07-18;Tweede Kamer
Eland;1;Successiewet 1916;1916-07-18;Tweede Kamer
Tydeman;1;Successiewet 1916;1916-07-18;Tweede Kamer
Albarda;1;Successiewet 1916;1916-07-18;Tweede Kamer
K. ter Laan;1;Successiewet 1916;1916-07-18;Tweede Kamer
Goeman Borgesius;1;Successiewet 1916;1916-07-18;Tweede Kamer
Gerretson;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Best;0;Successiewet 1916;1916-07-18;Tweede Kamer
Ruys de Beerenbrouck;0;Successiewet 1916;1916-07-18;Tweede Kamer
Bogaardt;0;Successiewet 1916;1916-07-18;Tweede Kamer
Arts;0;Successiewet 1916;1916-07-18;Tweede Kamer
de Monté ver Loren;0;Successiewet 1916;1916-07-18;Tweede Kamer
van der Voort van Zijp;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Wijnbergen;0;Successiewet 1916;1916-07-18;Tweede Kamer
Janssen;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Sasse van Ysselt;0;Successiewet 1916;1916-07-18;Tweede Kamer
de Visser;0;Successiewet 1916;1916-07-18;Tweede Kamer
Scheurer;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Vliet;0;Successiewet 1916;1916-07-18;Tweede Kamer
Fruytier;0;Successiewet 1916;1916-07-18;Tweede Kamer
Juten;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Nispen tot Sevenaer;0;Successiewet 1916;1916-07-18;Tweede Kamer
Brummelkamp;0;Successiewet 1916;1916-07-18;Tweede Kamer
Bongaerts;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Vuuren;0;Successiewet 1916;1916-07-18;Tweede Kamer
D.A.P.N. Koolen;0;Successiewet 1916;1916-07-18;Tweede Kamer
Schimmelpenninck;0;Successiewet 1916;1916-07-18;Tweede Kamer
de Savornin Lohman;0;Successiewet 1916;1916-07-18;Tweede Kamer
Kolkman;0;Successiewet 1916;1916-07-18;Tweede Kamer
Duymaer van Twist;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Veen;0;Successiewet 1916;1916-07-18;Tweede Kamer
Fleskens;0;Successiewet 1916;1916-07-18;Tweede Kamer
de Wijkerslooth de Weerdesteyn;0;Successiewet 1916;1916-07-18;Tweede Kamer
van Wichen;0;Successiewet 1916;1916-07-18;Tweede Kamer
van de Velde;0;Successiewet 1916;1916-07-18;Tweede Kamer
de Groot;1;Successiewet 1921;1921-04-14;Tweede Kamer
Fleskens;1;Successiewet 1921;1921-04-14;Tweede Kamer
L.M. Hermans;1;Successiewet 1921;1921-04-14;Tweede Kamer
Schokking;1;Successiewet 1921;1921-04-14;Tweede Kamer
Treub;1;Successiewet 1921;1921-04-14;Tweede Kamer
Ossendorp;1;Successiewet 1921;1921-04-14;Tweede Kamer
Bomans;1;Successiewet 1921;1921-04-14;Tweede Kamer
P.J. Reymer;1;Successiewet 1921;1921-04-14;Tweede Kamer
Kleerekoper;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Zadelhoff;1;Successiewet 1921;1921-04-14;Tweede Kamer
Haazevoet;1;Successiewet 1921;1921-04-14;Tweede Kamer
Deckers;1;Successiewet 1921;1921-04-14;Tweede Kamer
Ter Hall;1;Successiewet 1921;1921-04-14;Tweede Kamer
H. Hermans;1;Successiewet 1921;1921-04-14;Tweede Kamer
Nolens;1;Successiewet 1921;1921-04-14;Tweede Kamer
Bongaerts;1;Successiewet 1921;1921-04-14;Tweede Kamer
A.P. Staalman;1;Successiewet 1921;1921-04-14;Tweede Kamer
J.E.W. Duijs;1;Successiewet 1921;1921-04-14;Tweede Kamer
Zijlstra;1;Successiewet 1921;1921-04-14;Tweede Kamer
Kolkman;1;Successiewet 1921;1921-04-14;Tweede Kamer
Stulemeijer;1;Successiewet 1921;1921-04-14;Tweede Kamer
de Wilde;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Stapele;1;Successiewet 1921;1921-04-14;Tweede Kamer
de Muralt;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Schaik;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Rijckevorsel;1;Successiewet 1921;1921-04-14;Tweede Kamer
Duymaer van Twist;1;Successiewet 1921;1921-04-14;Tweede Kamer
Oud;1;Successiewet 1921;1921-04-14;Tweede Kamer
Rutgers;1;Successiewet 1921;1921-04-14;Tweede Kamer
Scheurer;1;Successiewet 1921;1921-04-14;Tweede Kamer
van de Bilt;1;Successiewet 1921;1921-04-14;Tweede Kamer
Rugge;1;Successiewet 1921;1921-04-14;Tweede Kamer
Wintermans;1;Successiewet 1921;1921-04-14;Tweede Kamer
Poels;1;Successiewet 1921;1921-04-14;Tweede Kamer
van der Molen;1;Successiewet 1921;1921-04-14;Tweede Kamer
Smeenk;1;Successiewet 1921;1921-04-14;Tweede Kamer
de Jonge;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Vuuren;1;Successiewet 1921;1921-04-14;Tweede Kamer
G.J. ter Laan;1;Successiewet 1921;1921-04-14;Tweede Kamer
Schaper;1;Successiewet 1921;1921-04-14;Tweede Kamer
Troelstra;1;Successiewet 1921;1921-04-14;Tweede Kamer
Groeneweg;1;Successiewet 1921;1921-04-14;Tweede Kamer
van den Tempel;1;Successiewet 1921;1921-04-14;Tweede Kamer
K. ter Laan;1;Successiewet 1921;1921-04-14;Tweede Kamer
Ketelaar;1;Successiewet 1921;1921-04-14;Tweede Kamer
Teenstra;1;Successiewet 1921;1921-04-14;Tweede Kamer
Engels;1;Successiewet 1921;1921-04-14;Tweede Kamer
Bulten;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Wijnbergen;1;Successiewet 1921;1921-04-14;Tweede Kamer
Bakker;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Beresteyn;1;Successiewet 1921;1921-04-14;Tweede Kamer
Marchant;1;Successiewet 1921;1921-04-14;Tweede Kamer
Hugenholtz;1;Successiewet 1921;1921-04-14;Tweede Kamer
Schouten;1;Successiewet 1921;1921-04-14;Tweede Kamer
van Dijk;1;Successiewet 1921;1921-04-14;Tweede Kamer
Albarda;1;Successiewet 1921;1921-04-14;Tweede Kamer
Drion;0;Successiewet 1921;1921-04-14;Tweede Kamer
Gerretson;0;Successiewet 1921;1921-04-14;Tweede Kamer
Rink;0;Successiewet 1921;1921-04-14;Tweede Kamer
Dresselhuys;0;Successiewet 1921;1921-04-14;Tweede Kamer
A. Staalman;0;Successiewet 1921;1921-04-14;Tweede Kamer
de Monté ver Loren;0;Successiewet 1921;1921-04-14;Tweede Kamer
de Kanter;0;Successiewet 1921;1921-04-14;Tweede Kamer
Heemskerk;0;Successiewet 1921;1921-04-14;Tweede Kamer
A.G.Æ. ridder van Rappard;0;Successiewet 1921;1921-04-14;Tweede Kamer
Fruytier;0;Successiewet 1921;1921-04-14;Tweede Kamer
de Wijkerslooth de Weerdesteyn;0;Successiewet 1921;1921-04-14;Tweede Kamer
van Sasse van Ysselt;0;Successiewet 1921;1921-04-14;Tweede Kamer
Swane;0;Successiewet 1921;1921-04-14;Tweede Kamer
Braat;0;Successiewet 1921;1921-04-14;Tweede Kamer
Beumer;0;Successiewet 1921;1921-04-14;Tweede Kamer
Weitkamp;0;Successiewet 1921;1921-04-14;Tweede Kamer
Snoeck Henkemans;0;Successiewet 1921;1921-04-14;Tweede Kamer
Koolen;0;Successiewet 1921;1921-04-14;Tweede Kamer
