politician;vote;law;house;date
van Dedem;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Fock;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Limburg Stirum;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
de Vries;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Hennequin;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van de Velde;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Goekoop;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
de Ram;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Travaglino;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Talma;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Vliet;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Schokking;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Asch van Wjjck;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Rink;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Fruytier;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Tydeman;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Dolk;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Pompe van Meerdervoort;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Brants;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Cremer;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Veen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Wijck;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Willinge;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Wassenaer van Catwijck;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Seret;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Bnunmelkamp;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Röell;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Sasse van Ysselt;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
