politician;vote;law;house;date
Mees;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Fock;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Schokking;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Vliet;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Nolens;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Brummmelkamp;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Krap;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Travaglino;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Lucasse;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van de Berch van Heemstede;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Kolkman;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Waal Malefijt;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Byleveld;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Sasse van Ysselt;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Duymaer van Twist;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
vau ldsinga;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Ridder;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Wassenaer van Catwtjck;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Michiels van Verduynen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Ram;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van der Kun;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Vries;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Aalberse;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Limburg Stirum;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Sluis;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Stuers;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Staalman;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Beckers;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van den Heuvel;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Mutsaers;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Janssen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Raymakers;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van der Borch van Verwolde;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Friesen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Merckelbach;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Asch van Wyek;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Löben Sels;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Nispen tot Sevenaer;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Wichen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Talma;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Dedem;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Pompe van Meerdervoort;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Savornin Lohman;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Veen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Vlijmen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Arts;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Okma;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Bolsius;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Brants;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Heemskerk;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Bylandt;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van de Velde;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Heemstra;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Alphen;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Fruytier;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Passtoors;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Seret;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Mackay;0;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
C. van Nispen tot Sevenaer;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Schimmelpenninck van der Oye;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Sandberg;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Kerkwijk;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Brouwer;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Bredius;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Baar;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
de Jong;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Cremer van den Berch van Heemstede;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Hingst;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Loon;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Rombach;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Heydenryck;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Bichon van IJsselmonde;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Houten;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Lenting;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Oldenhuis Gratama;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Jonckbloet;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Lynden van Sandenburg;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Insinger;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Eck;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Zuijlen van Nyevelt;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Mirandolle;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Blom;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Cremers;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Godefroi;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Wintgens;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Borret;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Blussé van Oud-Alblas;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Fabius;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
G.C.J. van Reenen;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
G.E.F.X.M. Kerens de Wylré;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Dam;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Haffmans;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Arnoldts;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van den Heuvel;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Lambrechts;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Teding van Berkhout;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Foreest;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Gevers Deynoot;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van der Does de Willebois;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Kien;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Nispen van Sevenaer;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Wybenga;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Naamen van Eemnes;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Wasseneer van Catwijck;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Nierstrasz;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Bergsma;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Rutgers van Rozenburg;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Stieltjes;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Moens;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
's Jacob;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Kappeyne van de Coppollo;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
de Bruyn Kops;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Mees;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Smitz;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
de Ruiter Zylker;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Mackay;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
de Bieberstein Rogalla Zawadsky;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Smidt;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Kuyk;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Schimmelpenninck;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
van Zinnicq Bergmann;1;Kinderwetje 1874;Tweede Kamer;1874-05-05
Verheijen;0;Kinderwetje 1874;Tweede Kamer;1874-05-05
Begram;0;Kinderwetje 1874;Tweede Kamer;1874-05-05
Idzerda;0;Kinderwetje 1874;Tweede Kamer;1874-05-05
Kuyper;0;Kinderwetje 1874;Tweede Kamer;1874-05-05
Luyben;0;Kinderwetje 1874;Tweede Kamer;1874-05-05
Saaymans Vader;0;Kinderwetje 1874;Tweede Kamer;1874-05-05
Lieftinck;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Gijn;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Groen van Waarder;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Smeenge;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Hennequin;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Beaufort;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Kerdijk;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Bouman;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Fokker;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Pijnacker Hordijk;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Hartogh;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
van Raalte;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Schepel;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Kolkman;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Lely;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Goeman Borgesius;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Klerk;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Heldt;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Veegens;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Tijdeman;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Rink;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Tak van Poortvliet;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Conrad;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Goekoop;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
van Kerkwijk;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Zijlma;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Tijdens;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Schaafsma;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Houwing;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Drucker;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Schaepman;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Kool;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Ferf;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
de Boer;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Willinge;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Pyttersen;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Mees;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Knijff;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
van Deinse;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
C.J.E. Van Bylandt;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Geertsema;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Rethaan Macaré;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Gilse;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Roessingh;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Verhey;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Ketelaar;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Nolting;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Meesters;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Hesselink van Suchtelen;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Gleichman;1;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Basten Batenburg;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van der Borch van Verwolde;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van der Kun;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
't Hooft;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Brummelkamp;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Schaper;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
H.M.J. Van Asch van Wijck;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Merkelbach;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Heemstra;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Krap;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Ram;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Dobbelmann;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Truijen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Ras;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van den Berch van Heemstede;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Limburg Stirum;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Harte van Tecklenburg;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Kempen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Karnebeek;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Bieberstein Rogalla Zawadsky;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Michiels van Verduynen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Seret;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Vermeulen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Troelsta;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van der Zwaag;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Visser;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Dedem;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Loeff;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Jansen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Lucasse;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
W.K.F.P. van Bylandt;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
L.H.J.M. Van Asch van Wijck;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Kol;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Pijnappel;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Kuyper;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Bastert;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Waal Malefijt;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Mutsaers;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Travaglino;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Mackay;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van de Velde;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
De Savornin Lohman;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Vlijmen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van den Heuvel;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Everts;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Donner;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Staalman;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Van Alphen;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Nolens;0;Leerplichtwet 1901;Tweede Kamer;1900-03-30
Zijlma;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Deinse;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Donner;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Kol;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Schaper;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
C.J.E. van Bylandt;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Dobbelmann;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Meesters;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Trujjen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Fokker;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Rethaan Macaré;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Kempen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Nolting;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Gijn;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Pijnappel;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Heldt;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Merckelbach;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van der Zwaag;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Nolens;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Goeman Borgesius;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Bouman;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Troelstra;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Gilse;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Michiels van Verduynen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Groen van Waarder;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Hennequin;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Klerk;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Heemstra;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Ras;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Tydeman;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Lely;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Kolkman;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Beaufort;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Verhey;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Raalte;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Tak van Poortvliet;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Brummelkamp;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Roessingh;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Goekoop;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Kam;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
L.H.J.M. van Asch van Wijck;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Loeff;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van der Kun;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
H.M.J. van Asch van Wijck;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Basten Batenburg;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Rink;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Kuyper;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Lieftinck;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Veegens;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Conrad;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Harte van Tecklenburg;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
't Hooft;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Smeenge;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Schaepman;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Ferf;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Bieberstein Rogalla Zawadsky;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Travaglino;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Pijnacker Hordijk;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Vlijmen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Krap;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Geertsema;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Pyttersen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Jansen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van de Velde;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Knijff̈;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Ketelaar;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Hesselink van Suchtelen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Boer;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Staalman;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Houwing;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Kool;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Drucker;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Waal Malefijt;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Alphen;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Lucasse;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Mees;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Schaafsma;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Seret;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Gleichman;1;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Kerkwijk;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Visser;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van den Berch van Heemstede;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Savornin Lohman;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Schimmelpenninck;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Bastert;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Mackay;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Karnebeek;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Vermeulen;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van den Heuvel;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Mutsaers;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Dedem;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
W.K.F.P. van Bylandt;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Everts;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Jannink;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van den Tempel;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Duys;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Fock;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Beaufort;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Jong;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
J. ter Laan;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Schaper;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Albarda;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
ter Spill;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Otto;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Nierstrasz;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Doorn;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Roodenburg;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Tydeman;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Kleerekoper;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Hubrecht;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Troelstra;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Muralt;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Eerdmans;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Smeenge;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Lieftinck;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Hugenkoltz;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
J.C. Jansen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Foreest;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Knobel;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Leeuwen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Heeres;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Gerkard;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Visser van IJzendoorn;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
K. ter Laan;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Patijn;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Helsdingen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Eland;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Drion;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Limburg;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Schim van der Loeff;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Boissevain;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Hamel;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Koster;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Marchant;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Meester;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Teenstra;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Roodkuyzen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Rink;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Ketelaar;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Mendels;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Sannes;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Raalte;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Spiekman;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Goeman Borgesius;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Schimmelpenninck;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Monté ver Loren;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Geer;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Savornin Lokman;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
