b1_nummer;politician;vote;law;date;house;pdc_naam;category;district
00508;Haffmans;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Haffmans;fiscal;Boxmeer
00851;Luyben;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Luyben;fiscal;Breda
00201;de Brauw;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Brauw;fiscal;Gouda
00973;C. van Nispen tot Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nispen tot Sevenaer;fiscal;Breda
00870;van der Maesen de Sombreff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Maesen de Sombreff;fiscal;Maastricht
01603;van Zuylen van Nyevelt;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Zuylen van Nijevelt;fiscal;Arnhem
00350;Dumbar;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dumbar;fiscal;Deventer
00631;'s Jacob;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jacob;fiscal;Amsterdam
00202;Bredius;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bredius;fiscal;Dordrecht
00998;Oldenhuis Gratama;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Oldenhuis Gratama;fiscal;Assen
00625;Idzerda;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Idzerda;fiscal;Sneek
00583;Hingst;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hingst;fiscal;Leeuwarden
00607;van Houten;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Houten;fiscal;Groningen
00930;Mirandolle;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mirandolle;fiscal;Haarlem
00130;Blom;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Blom;fiscal;Rotterdam
00650;de Jong;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jong;fiscal;Hoorn
00280;Cremers;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Cremers;fiscal;Zuidhorn
01123;de Roo van Alderwerelt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Roo van Alderwerelt;fiscal;Leeuwarden
00110;van Beyma thoe Kingma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Beyma thoe Kingma;fiscal;Dokkum
00455;Gevers Deynoot;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Gevers Deynoot;fiscal;Dordrecht
01142;de Ruiter Zylker;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Ruiter Zijlker;fiscal;Appingedam
00285;Dam;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dam;fiscal;Zutphen
00299;van Delden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Delden;fiscal;Deventer
00878;du Marchie van Voorthuysen;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Marchie van Voorthuysen;fiscal;Utrecht
