b1_nummer;politician;vote;law;date;house;pdc_naam;category;district
00245;W.K.F.P. graaf van Bylandt;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bylandt;fiscal;Apeldoorn
01170;Sannes;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Sannes;fiscal;Veendam
00709;Knobel;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Knobel;fiscal;Zwolle
00111;Bichon van IJsselmonde;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bichon van IJsselmonde;fiscal;Ommen
00733;D.A.P.N. Koolen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Koolen;fiscal;Grave
01003;Oosterbaan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Oosterbaan;fiscal;Enkhuizen
01288;Spiekman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Spiekman;fiscal;Rotterdam II
00469;Goeman Borgesius;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Goeman Borgesius;fiscal;Emmen
00228;Brummelkamp;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Brummelkamp;fiscal;Loosduinen
00157;Bongaerts;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bongaerts;fiscal;Roermond
00940;de Monte verLoren;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Monté VerLoren;fiscal;Breukelen
01494;van Vuuren;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vuuren;fiscal;Zevenbergen
01580;de Wijkerslooth de Weerdesteyn;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Wijkerslooth de Weerdesteyn;fiscal;Wijk bij Duurstede
00354;Duymaer van Twist;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Duymaer van Twist;fiscal;Steenwijk
00072;Beckers;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Beckers;fiscal;Sittard
00150;Bogaardt;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bogaardt;fiscal;Breda
00034;Arts;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Arts;fiscal;Tilburg
01470;van der Voort van Zijp;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Voort van Zijp;fiscal;Tietjerksteradeel
01194;Scheurer;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Scheurer;fiscal;Sneek
01458;van Vlijmen;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vlijmen;fiscal;Veghel
00650;K.H. de Jong;1;Successiewet 1878;1878-05-24;Tweede Kamer;Jong;fiscal;Hoorn
00071;de Beaufort;1;Successiewet 1878;1878-05-24;Tweede Kamer;Beaufort 2;fiscal;Tiel
00625;Idzerda;1;Successiewet 1878;1878-05-24;Tweede Kamer;Idzerda;fiscal;Sneek
01424;Verniers van der Loeff;1;Successiewet 1878;1878-05-24;Tweede Kamer;Verniers van der Loeff;fiscal;Rotterdam
00203;Bredius jr;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bredius jr.;fiscal;Goes
01022;Patijn;1;Successiewet 1878;1878-05-24;Tweede Kamer;Patijn;fiscal;Gouda
01121;Rombach;1;Successiewet 1878;1878-05-24;Tweede Kamer;Rombach;fiscal;Brielle
00583;Hingst;1;Successiewet 1878;1878-05-24;Tweede Kamer;Hingst;fiscal;Leeuwarden
01479;de Vos van Steenwijk;1;Successiewet 1878;1878-05-24;Tweede Kamer;Vos van Steenwijk;fiscal;Winschoten
00138;Blussé van oud Alblas;1;Successiewet 1878;1878-05-24;Tweede Kamer;Blussé van Oud-Alblas;fiscal;Deventer
00666;van der Kaay;1;Successiewet 1878;1878-05-24;Tweede Kamer;Kaay;fiscal;Alkmaar
01168;Sandberg;1;Successiewet 1878;1878-05-24;Tweede Kamer;Sandberg;fiscal;Zwolle
01303;Stieltjes;1;Successiewet 1878;1878-05-24;Tweede Kamer;Stieltjes;fiscal;Amsterdam
00889;Mees;1;Successiewet 1878;1878-05-24;Tweede Kamer;Mees;fiscal;Rotterdam
01437;Viruly Verbrugge;1;Successiewet 1878;1878-05-24;Tweede Kamer;Viruly Verbrugge;fiscal;Rotterdam
01522;van de Werk;1;Successiewet 1878;1878-05-24;Tweede Kamer;Werk;fiscal;Zevenbergen
01311;van Stolk;1;Successiewet 1878;1878-05-24;Tweede Kamer;Stolk;fiscal;Rotterdam
00400;van der Feltz;1;Successiewet 1878;1878-05-24;Tweede Kamer;Feltz;fiscal;Assen
00520;van Harinxma thoe Slooten;1;Successiewet 1878;1878-05-24;Tweede Kamer;Harinxma thoe Slooten;fiscal;Dokkum
00998;Oldenhuis gratama;1;Successiewet 1878;1878-05-24;Tweede Kamer;Oldenhuis Gratama;fiscal;Assen
01246;Sickesz;1;Successiewet 1878;1878-05-24;Tweede Kamer;Sickesz;fiscal;Zutphen
00066;Bastert;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bastert;fiscal;Utrecht
00455;Gevers Deynoot;1;Successiewet 1878;1878-05-24;Tweede Kamer;Gevers Deynoot;fiscal;Dordrecht
00851;Luyben;1;Successiewet 1878;1878-05-24;Tweede Kamer;Luyben;fiscal;Breda
00931;Moens;1;Successiewet 1878;1878-05-24;Tweede Kamer;Moens;fiscal;Sneek
00202;Bredius;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bredius;fiscal;Dordrecht
00299;van Delden;1;Successiewet 1878;1878-05-24;Tweede Kamer;Delden;fiscal;Deventer
01191;Schepel;1;Successiewet 1878;1878-05-24;Tweede Kamer;Schepel;fiscal;Appingedam
00808;Lenting;1;Successiewet 1878;1878-05-24;Tweede Kamer;Lenting;fiscal;Zutphen
00464;Godefroi;1;Successiewet 1878;1878-05-24;Tweede Kamer;Godefroi;fiscal;Amsterdam
00917;de Meijier;1;Successiewet 1878;1878-05-24;Tweede Kamer;Meijier;fiscal;Haarlem
00469;Goeman Borgesius;1;Successiewet 1878;1878-05-24;Tweede Kamer;Goeman Borgesius;fiscal;Winschoten
00102;Bergsma;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bergsma;fiscal;Dokkum
01142;de Ruiter Zylker;1;Successiewet 1878;1878-05-24;Tweede Kamer;Ruiter Zijlker;fiscal;Appingedam
01365;van Tienlioven;1;Successiewet 1878;1878-05-24;Tweede Kamer;Tienhoven;fiscal;Amsterdam
00360;Dijckmeester;1;Successiewet 1878;1878-05-24;Tweede Kamer;Dijckmeester;fiscal;Tiel
01118;Roell;1;Successiewet 1878;1878-05-24;Tweede Kamer;Röell;fiscal;Utrecht
01405;Vening Meinesz;1;Successiewet 1878;1878-05-24;Tweede Kamer;Vening Meinesz;fiscal;Amsterdam
00607;van Houten;1;Successiewet 1878;1878-05-24;Tweede Kamer;Houten;fiscal;Groningen
00280;Cremers;1;Successiewet 1878;1878-05-24;Tweede Kamer;Cremers;fiscal;Zuidhorn
00930;Mirandolle;1;Successiewet 1878;1878-05-24;Tweede Kamer;Mirandolle;fiscal;Haarlem
00421;Fransen van de Putte;1;Successiewet 1878;1878-05-24;Tweede Kamer;Fransen van de Putte;fiscal;Hoorn
00232;de Bruyn Kops;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bruijn Kops;fiscal;Alkmaar
01572;Wybenga;1;Successiewet 1878;1878-05-24;Tweede Kamer;Wybenga;fiscal;Sneek
00569;van Heukelom;1;Successiewet 1878;1878-05-24;Tweede Kamer;Heukelom;fiscal;Amsterdam
00594;Holtzman;1;Successiewet 1878;1878-05-24;Tweede Kamer;Holtzman;fiscal;Amsterdam
00368;D. van Eck;1;Successiewet 1878;1878-05-24;Tweede Kamer;Eck;fiscal;Middelburg
00349;Dullert;1;Successiewet 1878;1878-05-24;Tweede Kamer;Dullert;fiscal;Arnhem
00088;Cremer van den Berch van Heemstede;0;Successiewet 1878;1878-05-24;Tweede Kamer;Cremer van den Berch van Heemstede;fiscal;Leiden
01203;Schimmelpenninck van der Oye;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schimmelpenninck van der Oye;fiscal;Hilversum
00112;Bichon van IJsselmonde;0;Successiewet 1878;1878-05-24;Tweede Kamer;Bichon van IJsselmonde;fiscal;Gouda
01091;Reekers;0;Successiewet 1878;1878-05-24;Tweede Kamer;Reekers;fiscal;Haarlemmermeer
00041;van Asch van Wijck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Asch van Wijck;fiscal;Amersfoort
00578;Heydenrijck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Heydenrijck;fiscal;Nijmegen
00255;de Casembroot;0;Successiewet 1878;1878-05-24;Tweede Kamer;Casembroot;fiscal;Delft
00683;G.E.F.X.M. Kerens de Wylré;0;Successiewet 1878;1878-05-24;Tweede Kamer;Kerens de Wylré;fiscal;Maastricht
00684;van Kerkwijk;0;Successiewet 1878;1878-05-24;Tweede Kamer;Kerkwijk;fiscal;Zierikzee
00113;de Bieberstein Rogalla Zawadsky;0;Successiewet 1878;1878-05-24;Tweede Kamer;Bieberstein Rogalla Zawadsky;fiscal;Maastricht
00973;van Nispen tot Sevenaer;0;Successiewet 1878;1878-05-24;Tweede Kamer;Nispen tot Sevenaer;fiscal;Nijmegen
00273;Corver Hooft;0;Successiewet 1878;1878-05-24;Tweede Kamer;Corver Hooft;fiscal;Almelo
00082;Begram;0;Successiewet 1878;1878-05-24;Tweede Kamer;Begram;fiscal;Gorinchem
01229;van der Schrieck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schrieck;fiscal;'s-Hertogenbosch
01343;Teding van Berkhout;0;Successiewet 1878;1878-05-24;Tweede Kamer;Teding van Berkhout;fiscal;Gorinchem
00508;Haffmans;0;Successiewet 1878;1878-05-24;Tweede Kamer;Haffmans;fiscal;Boxmeer
00049;van Baar;0;Successiewet 1878;1878-05-24;Tweede Kamer;Baar;fiscal;Eindhoven
00168;Borret;0;Successiewet 1878;1878-05-24;Tweede Kamer;Borret;fiscal;Tilburg
01414;Verheijen;0;Successiewet 1878;1878-05-24;Tweede Kamer;Verheijen;fiscal;Tilburg
00862;Mackay;0;Successiewet 1878;1878-05-24;Tweede Kamer;Mackay;fiscal;Amersfoort
00778;Lambrechts;0;Successiewet 1878;1878-05-24;Tweede Kamer;Lambrechts;fiscal;Roermond
01601;van Zinnicq Bergmann;0;Successiewet 1878;1878-05-24;Tweede Kamer;Zinnicq Bergmann;fiscal;'s-Hertogenbosch
01166;Saaymans Vader;0;Successiewet 1878;1878-05-24;Tweede Kamer;Saaymans Vader;fiscal;Goes
00628;Insinger;0;Successiewet 1878;1878-05-24;Tweede Kamer;Insinger;fiscal;Almelo
01183;Schagen van Leeuwen;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schagen van Leeuwen;fiscal;Delft
00656;de Jonge;0;Successiewet 1878;1878-05-24;Tweede Kamer;Jonge;fiscal;Middelburg
01203;Schimmelpenninck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Schimmelpenninck van der Oye;fiscal;Hilversum
00022;H.A. Amorie Hoeven;0;Successiewet 1878;1878-05-24;Tweede Kamer;Amorie van der Hoeven;fiscal;Breda
00031;Arnoldts;0;Successiewet 1878;1878-05-24;Tweede Kamer;Arnoldts;fiscal;Roermond
00217;Brouwers;0;Successiewet 1878;1878-05-24;Tweede Kamer;Brouwers;fiscal;Boxmeer
01509;van Wassenaer van Catwijck;0;Successiewet 1878;1878-05-24;Tweede Kamer;Wassenaer van Catwijck;fiscal;Leiden
01557;Wintgens;0;Successiewet 1878;1878-05-24;Tweede Kamer;Wintgens;fiscal;'s-Gravenhage
00376;Elhorst;1;Successiewet 1911;1911-03-10;Tweede Kamer;Elhorst;fiscal;Enschede
00977;O.F.A.M. van Nispen tot Sevenaer;1;Successiewet 1911;1911-03-10;Tweede Kamer;Nispen tot Sevenaer;fiscal;Nijmegen
00773;ter Laan;1;Successiewet 1911;1911-03-10;Tweede Kamer;Laan;fiscal;'s-Gravenhage I
01023;Patijn;1;Successiewet 1911;1911-03-10;Tweede Kamer;Patijn;fiscal;Zierikzee
00940;de Monte verLoren;1;Successiewet 1911;1911-03-10;Tweede Kamer;Monté VerLoren;fiscal;Breukelen
00689;Ketelaar;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ketelaar;fiscal;Amsterdam V
00517;van Hamel;1;Successiewet 1911;1911-03-10;Tweede Kamer;Hamel;fiscal;Amsterdam IV
00404;Ferf;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ferf;fiscal;Hoorn
00325;Dolk;1;Successiewet 1911;1911-03-10;Tweede Kamer;Dolk;fiscal;'s-Gravenhage II
01189;Schaper;1;Successiewet 1911;1911-03-10;Tweede Kamer;Schaper;fiscal;Appingedam
00001;Aalberse;1;Successiewet 1911;1911-03-10;Tweede Kamer;Aalberse;fiscal;Almelo
01113;Rink;1;Successiewet 1911;1911-03-10;Tweede Kamer;Rink;fiscal;Hoogezand
01451;Vliegen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vliegen;fiscal;Amsterdam IX
01283;Snoeck Henkemans;1;Successiewet 1911;1911-03-10;Tweede Kamer;Snoeck Henkemans;fiscal;Amsterdam II
01125;Roodkuyzen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Roodhuyzen;fiscal;Brielle
01271;Smidt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Smidt;fiscal;Veendam
00704;de Klerk;1;Successiewet 1911;1911-03-10;Tweede Kamer;Klerk;fiscal;Rotterdam II
00540;Heemskerk;1;Successiewet 1911;1911-03-10;Tweede Kamer;Heemskerk;fiscal;
00432;de Geer;1;Successiewet 1911;1911-03-10;Tweede Kamer;Geer;fiscal;Schiedam
00676;van Karnebeek;1;Successiewet 1911;1911-03-10;Tweede Kamer;Karnebeek;fiscal;Utrecht I
01470;van der Voort van Zijp;1;Successiewet 1911;1911-03-10;Tweede Kamer;Voort van Zijp;fiscal;Tietjerksteradeel
00975;J.W.J.C.M. van Nispen tot Sevenaer;1;Successiewet 1911;1911-03-10;Tweede Kamer;Nispen tot Sevenaer;fiscal;Rheden
00822;Limburg;1;Successiewet 1911;1911-03-10;Tweede Kamer;Limburg;fiscal;Schoterland
01079;de Ram;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ram;fiscal;Bergen op Zoom
00029;Ankerman;1;Successiewet 1911;1911-03-10;Tweede Kamer;Ankerman;fiscal;Harlingen
00175;D. Bos;1;Successiewet 1911;1911-03-10;Tweede Kamer;Bos;fiscal;Winschoten
01269;Smeenge;1;Successiewet 1911;1911-03-10;Tweede Kamer;Smeenge;fiscal;Meppel
00613;Hubrecht;1;Successiewet 1911;1911-03-10;Tweede Kamer;Hubrecht;fiscal;Amsterdam I
01359;Thomson;1;Successiewet 1911;1911-03-10;Tweede Kamer;Thomson;fiscal;Leeuwarden
00815;Lieftinck;1;Successiewet 1911;1911-03-10;Tweede Kamer;Lieftinck;fiscal;Zutphen
00469;Goeman Borgesius;1;Successiewet 1911;1911-03-10;Tweede Kamer;Goeman Borgesius;fiscal;Rotterdam I
01446;de Visser;1;Successiewet 1911;1911-03-10;Tweede Kamer;Visser;fiscal;Leiden
01456;de Vlugt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vlugt;fiscal;Amsterdam VIII
00672;de Kanter;1;Successiewet 1911;1911-03-10;Tweede Kamer;Kanter;fiscal;Dordrecht
00766;Kuyper;1;Successiewet 1911;1911-03-10;Tweede Kamer;Kuyper;fiscal;Ommen
00357;J.E.W. Duijs;1;Successiewet 1911;1911-03-10;Tweede Kamer;Duijs;fiscal;Zaandam
00104;van Best;1;Successiewet 1911;1911-03-10;Tweede Kamer;Best;fiscal;Eindhoven
00354;Duymaer van Twist;1;Successiewet 1911;1911-03-10;Tweede Kamer;Duymaer van Twist;fiscal;Steenwijk
01494;van Vuuren;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vuuren;fiscal;Zevenbergen
01583;van Wijnbergen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Wijnbergen;fiscal;Elst
00348;Drucker;1;Successiewet 1911;1911-03-10;Tweede Kamer;Drucker;fiscal;Groningen
00408;Fleskens;1;Successiewet 1911;1911-03-10;Tweede Kamer;Fleskens;fiscal;Helmond
00634;Jannink;1;Successiewet 1911;1911-03-10;Tweede Kamer;Jannink;fiscal;Lochem
01172;van Sasse van Ysselt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Sasse van Ysselt;fiscal;'s-Hertogenbosch
01344;Teenstra;1;Successiewet 1911;1911-03-10;Tweede Kamer;Teenstra;fiscal;Zuidhorn
00417;van Foresst;1;Successiewet 1911;1911-03-10;Tweede Kamer;Foreest;fiscal;Alkmaar
00806;van Lennep;1;Successiewet 1911;1911-03-10;Tweede Kamer;Lennep;fiscal;Haarlem
01580;de Wijkorslooth de Weerdesteyn;1;Successiewet 1911;1911-03-10;Tweede Kamer;Wijkerslooth de Weerdesteyn;fiscal;Wijk bij Duurstede
00374;Eland;1;Successiewet 1911;1911-03-10;Tweede Kamer;Eland;fiscal;Arnhem
00925;Middelberg;1;Successiewet 1911;1911-03-10;Tweede Kamer;Middelberg;fiscal;Amsterdam VII
00662;de Jongh;1;Successiewet 1911;1911-03-10;Tweede Kamer;Jongh;fiscal;Rotterdam V
01177;de Savornin Lohman;1;Successiewet 1911;1911-03-10;Tweede Kamer;Savornin Lohman;fiscal;Goes
00557;Helsdingen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Helsdingen;fiscal;Franeker
00733;Koolen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Koolen;fiscal;Grave
01454;van Vliet;1;Successiewet 1911;1911-03-10;Tweede Kamer;Vliet;fiscal;Doetinchem
01392;vau Veen;1;Successiewet 1911;1911-03-10;Tweede Kamer;Veen;fiscal;Dokkum
00356;Duynstee;1;Successiewet 1911;1911-03-10;Tweede Kamer;Duynstee;fiscal;Druten
01120;Roessingh;1;Successiewet 1911;1911-03-10;Tweede Kamer;Roessingh;fiscal;Emmen
01411;Verheij;1;Successiewet 1911;1911-03-10;Tweede Kamer;Verheij;fiscal;Rotterdam III
00071;de Beaufort;1;Successiewet 1911;1911-03-10;Tweede Kamer;Beaufort 2;fiscal;Amsterdam VI
00835;Loeff;1;Successiewet 1911;1911-03-10;Tweede Kamer;Loeff;fiscal;Waalwijk
00981;Nolens;1;Successiewet 1911;1911-03-10;Tweede Kamer;Nolens;fiscal;Venlo
01375;Treub;1;Successiewet 1911;1911-03-10;Tweede Kamer;Treub;fiscal;Assen
00245;van Bylandt;1;Successiewet 1911;1911-03-10;Tweede Kamer;Bylandt;fiscal;Apeldoorn
00624;van Idsinga;0;Successiewet 1911;1911-03-10;Tweede Kamer;Idsinga;fiscal;Bodegraven
00293;van Dedem;0;Successiewet 1911;1911-03-10;Tweede Kamer;Dedem;fiscal;Zwolle
01510;van Wassenaer van Catwijck;0;Successiewet 1911;1911-03-10;Tweede Kamer;Wassenaer van Catwijck;fiscal;Katwijk
00858;van Lynden van Sandenburg;0;Successiewet 1911;1911-03-10;Tweede Kamer;Lynden van Sandenburg;fiscal;Kampen
00601;van Hoogstrate;0;Successiewet 1911;1911-03-10;Tweede Kamer;Hoogstraten;fiscal;Utrecht II
00822;Limburg;1;Successiewet 1916;1916-07-18;Tweede Kamer;Limburg;fiscal;Groningen
00369;Eerdmans;1;Successiewet 1916;1916-07-18;Tweede Kamer;Eerdmans;fiscal;Rotterdam III
00410;Fock;1;Successiewet 1916;1916-07-18;Tweede Kamer;Fock;fiscal;Haarlem
00111;Bichon van IJsselmonde;1;Successiewet 1916;1916-07-18;Tweede Kamer;Bichon van IJsselmonde;fiscal;Ommen
00029;Ankerman;1;Successiewet 1916;1916-07-18;Tweede Kamer;Ankerman;fiscal;Harlingen
00875;Marchant;1;Successiewet 1916;1916-07-18;Tweede Kamer;Marchant;fiscal;Deventer
01288;Spiekman;1;Successiewet 1916;1916-07-18;Tweede Kamer;Spiekman;fiscal;Rotterdam II
01075;van Raalte;1;Successiewet 1916;1916-07-18;Tweede Kamer;Raalte;fiscal;Middelburg
00071;de Beaufort;1;Successiewet 1916;1916-07-18;Tweede Kamer;Beaufort 2;fiscal;Amersfoort
01344;Teenstra;1;Successiewet 1916;1916-07-18;Tweede Kamer;Teenstra;fiscal;Zuidhorn
00796;van Leeuwen;1;Successiewet 1916;1916-07-18;Tweede Kamer;Leeuwen;fiscal;Utrecht II
00544;Heeres;1;Successiewet 1916;1916-07-18;Tweede Kamer;Heeres;fiscal;Leiden
00152;Boissevain;1;Successiewet 1916;1916-07-18;Tweede Kamer;Boissevain;fiscal;Amsterdam VII
00892;de Meester;1;Successiewet 1916;1916-07-18;Tweede Kamer;Meester;fiscal;Den Helder
00517;van Hamel;1;Successiewet 1916;1916-07-18;Tweede Kamer;Hamel;fiscal;Amsterdam IV
00815;Lieftinck;1;Successiewet 1916;1916-07-18;Tweede Kamer;Lieftinck;fiscal;Zutphen
01189;Schaper;1;Successiewet 1916;1916-07-18;Tweede Kamer;Schaper;fiscal;Appingedam
01347;van den Tempel;1;Successiewet 1916;1916-07-18;Tweede Kamer;Tempel;fiscal;Amsterdam IX
01170;Sannes;1;Successiewet 1916;1916-07-18;Tweede Kamer;Sannes;fiscal;Veendam
00949;de Muralt;1;Successiewet 1916;1916-07-18;Tweede Kamer;Muralt;fiscal;Oostburg
00344;Drion;1;Successiewet 1916;1916-07-18;Tweede Kamer;Drion;fiscal;Ridderkerk
00702;Kleerekoper;1;Successiewet 1916;1916-07-18;Tweede Kamer;Kleerekoper;fiscal;Amsterdam VIII
00357;Duijs;1;Successiewet 1916;1916-07-18;Tweede Kamer;Duijs;fiscal;Zaandam
00655;de Jong;1;Successiewet 1916;1916-07-18;Tweede Kamer;Jong;fiscal;Hoorn
00337;van Doorn;1;Successiewet 1916;1916-07-18;Tweede Kamer;Doorn;fiscal;Gouda
00635;Jansen;1;Successiewet 1916;1916-07-18;Tweede Kamer;Jansen;fiscal;'s-Gravenhage III
00634;Jannink;1;Successiewet 1916;1916-07-18;Tweede Kamer;Jannink;fiscal;Lochem
00613;Hubrecht;1;Successiewet 1916;1916-07-18;Tweede Kamer;Hubrecht;fiscal;Amsterdam I
01124;Roodenburg;1;Successiewet 1916;1916-07-18;Tweede Kamer;Roodenburg;fiscal;Beverwijk
01289;ter Spill;1;Successiewet 1916;1916-07-18;Tweede Kamer;Spill;fiscal;Utrecht I
01269;Smeenge;1;Successiewet 1916;1916-07-18;Tweede Kamer;Smeenge;fiscal;Meppel
01113;Rink;1;Successiewet 1916;1916-07-18;Tweede Kamer;Rink;fiscal;Hoogezand
00417;van Foreest;1;Successiewet 1916;1916-07-18;Tweede Kamer;Foreest;fiscal;Alkmaar
01147;Rutgers;1;Successiewet 1916;1916-07-18;Tweede Kamer;Rutgers;fiscal;Hilversum
00772;J. ter Laan;1;Successiewet 1916;1916-07-18;Tweede Kamer;Laan;fiscal;Rotterdam V
00432;de Geer;1;Successiewet 1916;1916-07-18;Tweede Kamer;Geer;fiscal;Schiedam
00090;van Beresteyn;1;Successiewet 1916;1916-07-18;Tweede Kamer;Beresteyn;fiscal;Winschoten
00742;Koster;1;Successiewet 1916;1916-07-18;Tweede Kamer;Koster;fiscal;Assen
01198;Schim van der Loeff;1;Successiewet 1916;1916-07-18;Tweede Kamer;Schim van der Loeff;fiscal;Dordrecht
00967;Nierstrasz;1;Successiewet 1916;1916-07-18;Tweede Kamer;Nierstrasz;fiscal;Amsterdam VI
00709;Knobel;1;Successiewet 1916;1916-07-18;Tweede Kamer;Knobel;fiscal;Zwolle
01023;Patijn;1;Successiewet 1916;1916-07-18;Tweede Kamer;Patijn;fiscal;Zierikzee
01283;Snoeck Henkemans;1;Successiewet 1916;1916-07-18;Tweede Kamer;Snoeck Henkemans;fiscal;Apeldoorn
00374;Eland;1;Successiewet 1916;1916-07-18;Tweede Kamer;Eland;fiscal;Arnhem
01384;Tydeman;1;Successiewet 1916;1916-07-18;Tweede Kamer;Tydeman;fiscal;Tiel
00011;Albarda;1;Successiewet 1916;1916-07-18;Tweede Kamer;Albarda;fiscal;Enschede
00773;K. ter Laan;1;Successiewet 1916;1916-07-18;Tweede Kamer;Laan;fiscal;'s-Gravenhage I
00469;Goeman Borgesius;1;Successiewet 1916;1916-07-18;Tweede Kamer;Goeman Borgesius;fiscal;Emmen
00448;Gerretson;0;Successiewet 1916;1916-07-18;Tweede Kamer;Gerretson;fiscal;Rotterdam I
00104;van Best;0;Successiewet 1916;1916-07-18;Tweede Kamer;Best;fiscal;Eindhoven
01152;Ruys de Beerenbrouck;0;Successiewet 1916;1916-07-18;Tweede Kamer;Ruijs de Beerenbrouck;fiscal;Gulpen
00150;Bogaardt;0;Successiewet 1916;1916-07-18;Tweede Kamer;Bogaardt;fiscal;Breda
00034;Arts;0;Successiewet 1916;1916-07-18;Tweede Kamer;Arts;fiscal;Tilburg
00940;de Monté ver Loren;0;Successiewet 1916;1916-07-18;Tweede Kamer;Monté VerLoren;fiscal;Breukelen
01470;van der Voort van Zijp;0;Successiewet 1916;1916-07-18;Tweede Kamer;Voort van Zijp;fiscal;Tietjerksteradeel
01583;van Wijnbergen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Wijnbergen;fiscal;Elst
00635;Janssen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Jansen;fiscal;'s-Gravenhage III
01172;van Sasse van Ysselt;0;Successiewet 1916;1916-07-18;Tweede Kamer;Sasse van Ysselt;fiscal;'s-Hertogenbosch
01446;de Visser;0;Successiewet 1916;1916-07-18;Tweede Kamer;Visser;fiscal;Katwijk
01194;Scheurer;0;Successiewet 1916;1916-07-18;Tweede Kamer;Scheurer;fiscal;Sneek
01454;van Vliet;0;Successiewet 1916;1916-07-18;Tweede Kamer;Vliet;fiscal;Doetinchem
00430;Fruytier;0;Successiewet 1916;1916-07-18;Tweede Kamer;Fruytier;fiscal;Hontenisse
00665;Juten;0;Successiewet 1916;1916-07-18;Tweede Kamer;Juten;fiscal;Bergen op Zoom
00975;van Nispen tot Sevenaer;0;Successiewet 1916;1916-07-18;Tweede Kamer;Nispen tot Sevenaer;fiscal;Rheden
00228;Brummelkamp;0;Successiewet 1916;1916-07-18;Tweede Kamer;Brummelkamp;fiscal;Loosduinen
00157;Bongaerts;0;Successiewet 1916;1916-07-18;Tweede Kamer;Bongaerts;fiscal;Roermond
01494;van Vuuren;0;Successiewet 1916;1916-07-18;Tweede Kamer;Vuuren;fiscal;Zevenbergen
00733;D.A.P.N. Koolen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Koolen;fiscal;Grave
01201;Schimmelpenninck;0;Successiewet 1916;1916-07-18;Tweede Kamer;Schimmelpenninck;fiscal;Ede
01177;de Savornin Lohman;0;Successiewet 1916;1916-07-18;Tweede Kamer;Savornin Lohman;fiscal;Goes
00727;Kolkman;0;Successiewet 1916;1916-07-18;Tweede Kamer;Kolkman;fiscal;Nijmegen
00354;Duymaer van Twist;0;Successiewet 1916;1916-07-18;Tweede Kamer;Duymaer van Twist;fiscal;Steenwijk
01392;van Veen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Veen;fiscal;Dokkum
00408;Fleskens;0;Successiewet 1916;1916-07-18;Tweede Kamer;Fleskens;fiscal;Helmond
01580;de Wijkerslooth de Weerdesteyn;0;Successiewet 1916;1916-07-18;Tweede Kamer;Wijkerslooth de Weerdesteyn;fiscal;Wijk bij Duurstede
01538;van Wichen;0;Successiewet 1916;1916-07-18;Tweede Kamer;Wichen;fiscal;Haarlemmermeer
01400;van de Velde;0;Successiewet 1916;1916-07-18;Tweede Kamer;Velde;fiscal;Delft
00491;de Groot;1;Successiewet 1921;1921-04-14;Tweede Kamer;Groot;fiscal;
