politician;vote;law;date;house
A.P. Staalman;0;Kieswet 1918;1919-05-09;Tweede Kamer
Schokking;0;Kieswet 1918;1919-05-09;Tweede Kamer
Duymaer van Twist;0;Kieswet 1918;1919-05-09;Tweede Kamer
Zijlstra;0;Kieswet 1918;1919-05-09;Tweede Kamer
de Monté verLoren;0;Kieswet 1918;1919-05-09;Tweede Kamer
de Wilde;0;Kieswet 1918;1919-05-09;Tweede Kamer
Snoeck Henkemans;0;Kieswet 1918;1919-05-09;Tweede Kamer
Beumer;0;Kieswet 1918;1919-05-09;Tweede Kamer
van der Voort van Zijp;0;Kieswet 1918;1919-05-09;Tweede Kamer
 Heemskerk;0;Kieswet 1918;1919-05-09;Tweede Kamer
