Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
118,Geuchien Zijlma,1894-1897,01609,Zijlma,G.,Geuchien,NA,NA,m,liberaal;vooruitstrevende kamerclub;'club-Pyttersen';Liberale Unie,1891-03-03,1909-09-20
119,Jan Zijp Kzn.,1894-1897,01613,Zijp,J.,Jan,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen',1890-11-11,1897-09-16
0,Klaas de Boer Czn.,1897-1901,00144,Boer,K.,Klaas,NA,de,m,Radicale Bond;vrijzinnig-democratische kamerclub;Liberale Unie,1894-05-16,1909-09-20
1,Hendrik Lodewijk Drucker,1897-1901,00348,Drucker,H.L.,Hendrik Lodewijk,NA,NA,m,vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1894-05-16,1913-06-30
2,Eduard Fokker,1897-1901,00413,Fokker,E.,Eduard,NA,NA,m,vrijzinnig-democratische kamerclub;VDB,1897-09-21,1903-02-28
3,Jan Albert van Gilse,1897-1901,00461,Gilse,J.A.,Jan Albert,NA,van,m,vrijzinnig-democratische kamerclub,1897-11-16,1901-09-16
4,Hendrik Goeman Borgesius,1897-1901,00469,Goeman Borgesius,H.,Hendrik,Hendrik,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1877-11-19,1917-01-17
5,Abraham Frans Karel Hartogh,1897-1901,00525,Hartogh,A.F.K.,Abraham Frans Karel,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1886-07-14,1901-02-12
6,Bernardus Hermanus Heldt,1897-1901,00553,Heldt,B.H.,Bernardus Hermanus,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1885-11-24,1901-09-16
7,Wesselius Marcus Houwing,1897-1901,00609,Houwing,W.M.,Wesselius Marcus,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1891-09-15,1901-09-16
8,Arnold Kerdijk,1897-1901,00682,Kerdijk,A.,Arnold,Nol,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1887-09-19,1901-09-16
9,Dirk de Klerk,1897-1901,00704,Klerk,D.,Dirk,NA,de,m,vrijzinnig-democratische kamerclub;Liberale Unie,1897-09-21,1913-09-15
