Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
0,Dirk van Akerlaken,1871-1875,00009,Akerlaken,D.,Dirk,NA,van,m,'pragmatisch' liberaal;liberaal,1850-10-07,1874-09-20
1,Willem Adriaan Bergsma,1871-1875,00102,Bergsma,W.A.,Willem Adriaan,NA,NA,m,liberaal;Kappeynianen,1871-09-18,1884-10-10
2,Sybrand van Beyma thoe Kingma,1871-1875,00110,Beyma thoe Kingma,S.W.H.A.,Sybrand Willem Hendrik Adriaan,NA,van,m,'pragmatisch' liberaal;liberaal,1863-11-13,1873-09-14
3,Charles Antoine de Bieberstein Rogalla Zawadsky,1871-1875,00113,Bieberstein Rogalla Zawadsky,Ch.A.,Charles Antoine,NA,baron de,m,Thorbeckiaan;liberaal;conservatief (katholiek),1858-09-20,1880-10-30
4,François Willem Cornelis Blom,1871-1875,00130,Blom,F.W.C.,François Willem Cornelis,NA,NA,m,Puttianen;liberaal,1862-04-24,1876-02-09
5,Barend Brouwer,1871-1875,00215,Brouwer,B.,Barend,NA,NA,m,liberaal,1871-06-24,1875-09-19
6,Jacob Leonard de Bruyn Kops,1871-1875,00232,Bruijn Kops,J.L.,Jacob Leonard,NA,de,m,liberaal;Kappeynianen;Liberale Unie,1868-02-25,1887-08-16
7,Eppo Cremers,1871-1875,00280,Cremers,E.J.J.B.,Epimachus Jacobus Johannes Baptista,Eppo,NA,m,liberaal;Liberale Unie,1869-12-13,1891-01-17
8,Albertus van Delden,1871-1875,00299,Delden,A.,Albertus,NA,van,m,Thorbeckiaan;liberaal;Liberale Unie;oud- of vrije liberalen,1864-09-19,1898-11-07
9,Cornelis Fock,1871-1875,00409,Fock,C.,Cornelis,NA,NA,m,liberaal,1871-09-18,1871-11-29
10,Isaäc Dignus Fransen van de Putte,1871-1875,00421,Fransen van de Putte,I.D.,Isaäc Dignus,NA,NA,m,Puttianen;liberaal,1862-04-24,1880-08-02
11,Willem Theodore Gevers Deynoot,1871-1875,00455,Gevers Deynoot,W.Th.,Willem Theodore,NA,NA,m,Thorbeckiaan;liberaal,1852-09-20,1879-03-24
12,Sybrand Hingst,1871-1875,00583,Hingst,S.,Sybrand,NA,NA,m,liberaal;Kappeynianen,1866-11-19,1886-05-17
13,Samuel van Houten,1871-1875,00607,Houten,S.,Samuel,Sam,van,m,liberaal,1869-02-24,1894-03-19
14,Willem Jonckbloet,1871-1875,00646,Jonckbloet,W.J.A.,Willem Jozef Andreas,NA,NA,m,Puttianen;liberaal,1864-09-19,1877-09-24
15,Klaas Harshoorn de Jong,1871-1875,00650,Jong,K.H.,Klaas Harshoorn,Klaas,de,m,liberaal;Kappeynianen,1871-09-18,1886-05-17
16,Jan Kappeyne van de Coppello,1871-1875,00674,Kappeyne van de Coppello,J.,Johannes,Jan,NA,m,Puttianen;liberaal,1862-09-15,1877-11-02
17,Michiel Johan de Lange,1871-1875,00784,Lange,M.J.,Michiel Johan,NA,de,m,liberaal,1869-09-20,1877-09-16
18,Donald Jacob Mackay,1871-1875,00863,Mackay,D.J.,Donald Jacob,Donald,baron,m,liberaal,1871-09-18,1877-03-21
19,Charles Jean François Mirandolle,1871-1875,00930,Mirandolle,Ch.J.F.,Charles Jean François,NA,NA,m,liberaal;Kappeynianen,1869-02-20,1884-06-20
20,Antony Moens,1871-1875,00931,Moens,A.,Antony,NA,NA,m,liberaal;Kappeynianen,1866-09-20,1880-10-30
21,Albertus van Naamen van Eemnes,1871-1875,00954,Naamen van Eemnes,A.,Albertus,NA,van,m,liberaal,1866-11-19,1879-09-14
22,Lucas Oldenhuis Gratama,1871-1875,00998,Oldenhuis Gratama,L.,Lucas,NA,NA,m,liberaal,1867-10-14,1886-02-19
23,Willem Hubert Pyls,1871-1875,01065,Pyls,W.H.,Willem Hubert,Hubert,NA,m,liberaal,1869-09-21,1873-09-14
24,Karel Anton Rombach,1871-1875,01121,Rombach,K.A.,Karel Anton,NA,NA,m,Thorbeckiaan;liberaal;Kappeynianen,1869-09-21,1884-10-10
25,Jan Karel Hendrik de Roo van Alderwerelt,1871-1875,01123,Roo van Alderwerelt,J.K.H.,Jan Karel Hendrik,NA,de,m,liberaal,1866-11-19,1878-12-28
26,Derk de Ruiter Zijlker,1871-1875,01142,Ruiter Zijlker,D.,Derk,NA,de,m,liberaal;Liberale Unie,1868-04-21,1891-09-14
27,Jan Willem Hendrik Rutgers van Rozenburg,1871-1875,01148,Rutgers van Rozenburg,J.W.H.,Jan Willem Hendrik,NA,NA,m,liberaal;oud- of vrije liberalen,1869-09-21,1897-09-20
28,Johannes Albertus Sandberg,1871-1875,01168,Sandberg,J.A.,Johannes Albertus,NA,NA,m,liberaal,1869-09-20,1881-09-18
29,Hendrik Jan Smidt,1871-1875,01272,Smidt,H.J.,Hendrik Jan,NA,NA,m,liberaal;Liberale Unie,1871-03-03,1891-08-20
30,Thomas Joannes Stieltjes,1871-1875,01303,Stieltjes,Th.J.,Thomas Johannes,NA,NA,m,liberaal,1866-11-22,1878-06-22
31,Johannes Tak van Poortvliet,1871-1875,01339,Tak van Poortvliet,J.P.R.,Johannes Pieter Roetert,NA,NA,m,liberaal;Kappeynianen;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1870-10-21,1901-01-23
32,Schelte Wybenga,1871-1875,01572,Wybenga,S.,Schelte,NA,NA,m,conservatief;'pragmatisch' liberaal;liberaal,1855-06-28,1886-09-08
33,Johannes Baptista Bots,1871-1875,00186,Bots,J.B.,Johannes Baptista,NA,NA,m,liberaal;Thorbeckiaan,1847-10-18,1873-09-14
34,Jan Pieter Bredius,1871-1875,00202,Bredius,J.P.,Jan Pieter,NA,NA,m,Thorbeckiaan;liberaal,1871-02-28,1878-09-12
35,Jacob Dam,1871-1875,00285,Dam,J.,Jacob,NA,NA,m,Thorbeckiaan,1866-04-24,1875-06-28
36,Willem Hendrik Dullert,1871-1875,00349,Dullert,W.H.,Willem Hendrik,NA,NA,m,Thorbeckiaan;liberaal,1849-02-13,1881-02-23
37,Gerard Dumbar,1871-1875,00350,Dumbar,G.,Gerard,NA,NA,m,Thorbeckiaan,1862-05-08,1873-09-14
38,Daniël van Eck,1871-1875,00368,Eck,D.,Daniël,NA,van,m,Thorbeckiaan;liberaal,1849-02-13,1884-10-10
39,Jan Heemskerk Bzn.,1871-1875,00538,Heemskerk,J.,Jan,NA,NA,m,Thorbeckiaan,1849-02-13,1872-09-28
40,Wieger Hendrikus Idzerda,1871-1875,00625,Idzerda,W.H.,Wieger Hendrikus,NA,NA,m,Thorbeckiaan;liberaal,1858-09-20,1881-09-17
41,Jacob Johan van Kerkwijk,1871-1875,00684,Kerkwijk,J.J.,Jacob Johan,NA,van,m,Thorbeckiaan;liberaal,1863-03-04,1901-05-20
42,Lambertus Eduard Lenting,1871-1875,00808,Lenting,L.E.,Lambertus Eduard,NA,NA,m,Thorbeckiaan;liberaal;Kappeynianen,1868-03-02,1881-11-19
43,Gijsbertus Martinus van der Linden,1871-1875,00828,Linden,G.M.,Gijsbertus Martinus,NA,van der,m,Thorbeckiaan;liberaal;Liberale Unie,1849-02-13,1888-03-26
44,Paul Therèse van der Maesen de Sombreff,1871-1875,00870,Maesen de Sombreff,P.Th.,Paul Theresia,NA,van der,m,Thorbeckiaan,1864-09-20,1873-09-14
45,Willem Adriaan Viruly Verbrugge,1871-1875,01437,Viruly Verbrugge,W.A.,Willem Adriaan,NA,NA,m,Thorbeckiaan;liberaal;oud- of vrije liberalen,1863-03-09,1897-09-20
46,Rembertus Westerhoff,1871-1875,01527,Westerhoff,R.,Rembertus,NA,NA,m,Thorbeckiaan;liberaal,1849-02-13,1874-03-24
47,Warnardus Cornelis Mathildus Begram,1871-1875,00082,Begram,W.C.M.,Warnardus Cornelis Mathildus,NA,NA,m,conservatief,1859-02-15,1879-09-14
48,Ernest Louis van Hardenbroek van Lockhorst,1871-1875,00519,Hardenbroek van Lockhorst,E.L.,Ernest Louis,NA,baron van,m,conservatief,1866-11-19,1874-05-31
49,Jan Heemskerk Azn.,1871-1875,00538,Heemskerk,J.,Jan,NA,NA,m,Thorbeckiaan,1849-02-13,1872-09-28
50,Eduard Herman s' Jacob,1871-1875,00631,Jacob,E.H.,Eduard Herman,NA,s',m,conservatief,1866-11-19,1875-09-19
51,Nicolaas Pieter Jacob Kien,1871-1875,00697,Kien,N.P.J.,Nicolaas Pieter Jacob,NA,NA,m,regeringsgezinden ten tijde van Willem II;conservatief,1845-11-12,1875-09-19
52,Johannes van Kuijk,1871-1875,00765,Kuyk,J.,Johannes,NA,van,m,conservatief,1868-02-25,1875-05-12
53,Evert du Marchie van Voorthuysen,1871-1875,00878,Marchie van Voorthuysen,E.,Evert,NA,du,m,conservatief,1858-04-13,1873-09-14
54,Johannes Leonardus Nierstrasz C.Jzn.,1871-1875,00968,Nierstrasz,J.L.,Johannes Leonardus,NA,NA,m,conservatief,1868-02-25,1877-09-16
55,Gerlach Cornelis Johannes van Reenen,1871-1875,01092,Reenen,G.C.J.,Gerlach Cornelis Joannes,NA,van,m,conservatief,1858-05-03,1875-09-19
56,Cornelis Ascanius van Sypesteyn,1871-1875,01334,Sypesteyn,C.A.,Cornelis Ascanius,NA,van,m,conservatief,1867-09-19,1873-05-17
57,Pieter Hendrik Taets van Amerongen tot Natewisch,1871-1875,01337,Taets van Amerongen tot Natewisch,P.H.,Pieter Hendrik,NA,baron,m,conservatief,1850-10-07,1873-02-22
58,Willem Wintgens,1871-1875,01557,Wintgens,W.,Willem,NA,NA,m,'pragmatisch' liberaal;conservatief,1849-02-13,1885-03-13
59,Julius van Zuylen van Nijevelt,1871-1875,01603,Zuylen van Nijevelt,J.Ph.J.A.,Julius Philip Jacob Adriaan,Jules,graaf van,m,antirevolutionair;conservatief,1861-05-01,1875-09-19
60,Jan Hendrik Arnoldts,1871-1875,00031,Arnoldts,J.H.,Jan Hendrik,NA,NA,m,conservatief (katholiek),1871-04-18,1881-12-18
61,Ferdinand Hendrik Hubert Borret,1871-1875,00168,Borret,F.H.H.,Ferdinandus Hendricus Hubertus,NA,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1868-02-25,1888-03-26
62,Johannes Maria Benedictus Josephus van der Does de Willebois,1871-1875,00322,Does de Willebois,J.M.B.J.,Johannes Maria Benedictus Josephus,NA,van der,m,conservatief (katholiek),1868-02-25,1875-12-11
63,Leopold Haffmans,1871-1875,00508,Haffmans,J.H.L.,Johannes Hendrik Leopold,Leopold,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1866-11-24,1896-09-15
64,Petrus van den Heuvel,1871-1875,00573,Heuvel,P.,Petrus,NA,van den,m,'pragmatisch' liberaal;conservatief (katholiek),1853-06-14,1877-09-30
65,Christianus Joannes Antonius Heydenrijck,1871-1875,00578,Heydenrijck,Ch.J.A.,Christianus Joannes Antonius,NA,NA,m,'pragmatisch' liberaal;liberaal;conservatief (katholiek);Bahlmanniaan ('Centrum'),1862-07-09,1883-05-10
66,Aloysius Franciscus Xaverius Luyben,1871-1875,00851,Luyben,A.F.X.,Aloysius Franciscus Xaverius,NA,NA,m,conservatief (katholiek),1859-10-31,1880-06-06
67,Carel van Nispen,1871-1875,00268,Cornelis,K.L.J.,Karel Lodewijk Joseph,NA,NA,m,Thorbeckiaan,1861-09-20,1871-03-17
68,Joannes Antonius Christianus Arnoldus van Nispen van Sevenaer,1871-1875,00974,Nispen van Sevenaer,J.A.Ch.A.,Joannes Antonius Christianus Arnoldus,NA,van,m,liberaal (katholiek);'pragmatisch' liberaal;conservatief (katholiek),1848-09-21,1875-05-04
69,Petrus Johannes Antonius Smitz,1871-1875,01281,Smitz,P.J.A.,Petrus Johannes Antonius,NA,NA,m,conservatief (katholiek),1868-02-26,1877-09-16
70,Johannes Baptista Arnoldus Josephus Maria Verheyen,1871-1875,01414,Verheijen,J.B.A.J.M.,Johannes Baptista Arnoldus Josephus Maria,NA,NA,m,conservatief (katholiek),1866-11-24,1880-10-30
71,Franciscus Johannes Emilius van Zinnicq Bergmann,1871-1875,01601,Zinnicq Bergmann,F.J.E.,Franciscus Joannes Emilius,NA,van,m,conservatief (katholiek),1866-11-19,1879-02-24
72,Willem Maurits de Brauw,1871-1875,00201,Brauw,W.M.,Willem Maurits,NA,de,m,conservatief (protestants),1853-06-14,1874-01-16
73,Cornelis van Foreest,1871-1875,00416,Foreest,C.,Cornelis,NA,van,m,regeringsgezinden ten tijde van Willem II;conservatief (protestants),1848-09-18,1875-05-21
74,Mari Aert Frederic Henri Hoffmann,1871-1875,00589,Hoffmann,M.A.F.H.,Mari Aert Frederic Henri,NA,NA,m,ultraconservatief (vóór 1848);conservatief (protestants),1844-10-22,1873-12-07
75,Theo van Lynden van Sandenburg,1871-1875,00857,Lynden van Sandenburg,C.Th.,Constantijn Theodoor,Theo,graaf van,m,conservatief (protestants),1866-08-07,1874-08-26
76,Jan Willem van Loon,1871-1875,00841,Loon,J.W.,Jan Willem,NA,van,m,antirevolutionair,1869-09-20,1876-03-06
77,Pieter Hendrik Saaymans Vader,1871-1875,01166,Saaymans Vader,P.H.,Pieter Hendrik,NA,NA,m,antirevolutionair,1866-11-20,1879-09-13
78,Otto van Wassenaer van Catwijck,1871-1875,01509,Wassenaer van Catwijck,O.,Otto,NA,baron van,m,antirevolutionair,1866-09-21,1887-11-18
79,Carel Marius Storm van 's-Gravesande,1871-1875,01316,Storm van 's-Gravesande,C.M.,Carel Marius,NA,NA,m,moderaat of gematigd liberaal;'pragmatisch' liberaal;conservatief-liberaal,1847-11-09,1879-09-14
80,Michel Henry Godefroi,1871-1875,00464,Godefroi,M.H.,Michel Henry,NA,NA,m,'pragmatisch' liberaal;liberaal,1849-02-13,1881-09-22
81,Otto van Rees,1871-1875,01093,Rees,O.,Otto,Otto,van,m,liberaal,1872-09-17,1884-01-19
82,Jolle Albertus Jolles,1871-1875,00645,Jolles,J.A.,Jolle Albertus,NA,NA,m,liberaal,1872-11-18,1873-07-31
83,Binnert Philip van Harinxma thoe Slooten,1871-1875,00520,Harinxma thoe Slooten,B.Ph.,Binnert Philip,NA,baron van,m,liberaal,1873-09-15,1878-08-21
84,Rudolf Pieter Mees R.Azn.,1871-1875,00889,Mees,R.P.,Rudolf Pieter,NA,NA,m,liberaal;oud- of vrije liberalen,1873-10-04,1905-09-18
85,Jan Schepel,1871-1875,01191,Schepel,J.,Jan,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1874-04-29,1901-09-16
86,Willem van der Kaay,1871-1875,00666,Kaay,W.,Willem,NA,van der,m,liberaal;Kappeynianen;Liberale Unie,1875-08-10,1894-03-19
87,Pieter Blussé van Oud-Alblas,1871-1875,00138,Blussé van Oud-Alblas,P.,Pieter,NA,NA,m,Thorbeckiaan;liberaal;Liberale Unie,1850-10-07,1887-05-18
88,Rutger Jan Schimmelpenninck van Nijenhuis,1871-1875,01202,Schimmelpenninck van Nijenhuis,R.J.,Rutger Jan,NA,graaf,m,conservatief,1857-09-22,1891-09-14
89,Herman Albrecht Insinger,1871-1875,00628,Insinger,H.A.,Herman Albrecht,NA,NA,m,conservatief,1866-11-19,1884-04-06
90,Gerhardus Fabius,1871-1875,00395,Fabius,G.,Gerhardus,NA,NA,m,conservatief,1873-09-16,1877-09-16
91,Jan Messchert van Vollenhoven,1871-1875,00909,Messchert van Vollenhoven,J.,Jan,NA,NA,m,conservatief,1873-09-16,1877-09-15
92,Hendrik Anthon van Rappard,1871-1875,01083,Rappard,H.A.,Hendrik Anthon,NA,ridder van,m,conservatief,1866-11-19,1877-09-16
93,François de Casembroot,1871-1875,00255,Casembroot,F.,François,NA,de,m,conservatief,1866-09-19,1883-09-16
94,Antonius van Baar,1871-1875,00049,Baar,A.J.H.,Antonius Johannes Hubertus,NA,van,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1889-01-25
95,Guillaume Eugène François Xavier Mathias Kerens de Wylré,1871-1875,00683,Kerens de Wylré,G.E.F.X.M.,Guillaume Eugène François Xavier Mathias,NA,NA,m,conservatief (katholiek),1873-09-15,1880-01-04
96,Jerôme Lambrechts,1871-1875,00778,Lambrechts,H.F.,Hieronymus Franciscus,Jérôme,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1896-11-24
97,Raphaël Alexander Johannes Boudewinus Maria van Nispen van Sevenaer,1871-1875,00978,Nispen van Sevenaer,R.A.J.B.M.,Raphaël Alexander Johannes Boudewinus Maria,NA,van,m,conservatief (katholiek),1875-08-10,1875-09-19
98,Isaäc Lambertus Cremer van den Berch van Heemstede,1871-1875,00088,Cremer van den Berch van Heemstede,I.L.,Isaäc Lambertus,NA,NA,m,antirevolutionair,1873-04-22,1879-07-01
99,Alex Schimmelpenninck van der Oye,1871-1875,01203,Schimmelpenninck van der Oye,A.,Alexander,Alex,baron,m,antirevolutionair,1873-09-15,1888-09-30
100,James John Teding van Berkhout,1871-1875,01343,Teding van Berkhout,J.J.,James John,NA,NA,m,antirevolutionair,1873-09-15,1880-07-24
101,Marinus Bichon van IJsselmonde,1871-1875,00112,Bichon van IJsselmonde,M.,Marinus,NA,NA,m,antirevolutionair,1866-11-19,1883-09-29
102,Abraham Kuyper,1871-1875,00766,Kuyper,A.,Abraham,Abraham,NA,m,antirevolutionair;ARP,1874-03-20,1912-09-17
103,Matthias Margarethus van Asch van Wijck,1871-1875,00041,Asch van Wijck,M.M.,Matthias Margarethus,NA,van,m,antirevolutionair,1874-09-24,1882-09-19
0,Willem Adriaan Bergsma,1875-1879,00102,Bergsma,W.A.,Willem Adriaan,NA,NA,m,liberaal;Kappeynianen,1871-09-18,1884-10-10
1,Charles Antoine de Bieberstein Rogalla Zawadsky,1875-1879,00113,Bieberstein Rogalla Zawadsky,Ch.A.,Charles Antoine,NA,baron de,m,Thorbeckiaan;liberaal;conservatief (katholiek),1858-09-20,1880-10-30
2,François Willem Cornelis Blom,1875-1879,00130,Blom,F.W.C.,François Willem Cornelis,NA,NA,m,Puttianen;liberaal,1862-04-24,1876-02-09
3,Pieter Blussé van Oud-Alblas,1875-1879,00138,Blussé van Oud-Alblas,P.,Pieter,NA,NA,m,Thorbeckiaan;liberaal;Liberale Unie,1850-10-07,1887-05-18
4,Jan Pieter Bredius,1875-1879,00202,Bredius,J.P.,Jan Pieter,NA,NA,m,Thorbeckiaan;liberaal,1871-02-28,1878-09-12
5,Jacob Leonard de Bruyn Kops,1875-1879,00232,Bruijn Kops,J.L.,Jacob Leonard,NA,de,m,liberaal;Kappeynianen;Liberale Unie,1868-02-25,1887-08-16
6,Eppo Cremers,1875-1879,00280,Cremers,E.J.J.B.,Epimachus Jacobus Johannes Baptista,Eppo,NA,m,liberaal;Liberale Unie,1869-12-13,1891-01-17
7,Willem Hendrik Dullert,1875-1879,00349,Dullert,W.H.,Willem Hendrik,NA,NA,m,Thorbeckiaan;liberaal,1849-02-13,1881-02-23
8,Daniël van Eck,1875-1879,00368,Eck,D.,Daniël,NA,van,m,Thorbeckiaan;liberaal,1849-02-13,1884-10-10
9,Isaäc Dignus Fransen van de Putte,1875-1879,00421,Fransen van de Putte,I.D.,Isaäc Dignus,NA,NA,m,Puttianen;liberaal,1862-04-24,1880-08-02
10,Johan Herman Geertsema Czn.,1875-1879,00437,Geertsema,J.H.,Johan Herman,NA,NA,m,Puttianen;liberaal,1863-09-25,1878-05-01
11,Willem Theodore Gevers Deynoot,1875-1879,00455,Gevers Deynoot,W.Th.,Willem Theodore,NA,NA,m,Thorbeckiaan;liberaal,1852-09-20,1879-03-24
12,Michel Henry Godefroi,1875-1879,00464,Godefroi,M.H.,Michel Henry,NA,NA,m,'pragmatisch' liberaal;liberaal,1849-02-13,1881-09-22
13,Binnert Philip van Harinxma thoe Slooten,1875-1879,00520,Harinxma thoe Slooten,B.Ph.,Binnert Philip,NA,baron van,m,liberaal,1873-09-15,1878-08-21
14,Sybrand Hingst,1875-1879,00583,Hingst,S.,Sybrand,NA,NA,m,liberaal;Kappeynianen,1866-11-19,1886-05-17
15,Samuel van Houten,1875-1879,00607,Houten,S.,Samuel,Sam,van,m,liberaal,1869-02-24,1894-03-19
16,Wieger Hendrikus Idzerda,1875-1879,00625,Idzerda,W.H.,Wieger Hendrikus,NA,NA,m,Thorbeckiaan;liberaal,1858-09-20,1881-09-17
17,Willem Jonckbloet,1875-1879,00646,Jonckbloet,W.J.A.,Willem Jozef Andreas,NA,NA,m,Puttianen;liberaal,1864-09-19,1877-09-24
18,Klaas Harshoorn de Jong,1875-1879,00650,Jong,K.H.,Klaas Harshoorn,Klaas,de,m,liberaal;Kappeynianen,1871-09-18,1886-05-17
19,Willem van der Kaay,1875-1879,00666,Kaay,W.,Willem,NA,van der,m,liberaal;Kappeynianen;Liberale Unie,1875-08-10,1894-03-19
20,Jan Kappeyne van de Coppello,1875-1879,00674,Kappeyne van de Coppello,J.,Johannes,Jan,NA,m,Puttianen;liberaal,1862-09-15,1877-11-02
21,Jacob Johan van Kerkwijk,1875-1879,00684,Kerkwijk,J.J.,Jacob Johan,NA,van,m,Thorbeckiaan;liberaal,1863-03-04,1901-05-20
22,Michiel Johan de Lange,1875-1879,00784,Lange,M.J.,Michiel Johan,NA,de,m,liberaal,1869-09-20,1877-09-16
23,Lambertus Eduard Lenting,1875-1879,00808,Lenting,L.E.,Lambertus Eduard,NA,NA,m,Thorbeckiaan;liberaal;Kappeynianen,1868-03-02,1881-11-19
24,Donald Jacob Mackay,1875-1879,00863,Mackay,D.J.,Donald Jacob,Donald,baron,m,liberaal,1871-09-18,1877-03-21
25,Rudolf Pieter Mees R.Azn.,1875-1879,00889,Mees,R.P.,Rudolf Pieter,NA,NA,m,liberaal;oud- of vrije liberalen,1873-10-04,1905-09-18
26,Charles Jean François Mirandolle,1875-1879,00930,Mirandolle,Ch.J.F.,Charles Jean François,NA,NA,m,liberaal;Kappeynianen,1869-02-20,1884-06-20
27,Antony Moens,1875-1879,00931,Moens,A.,Antony,NA,NA,m,liberaal;Kappeynianen,1866-09-20,1880-10-30
28,Albertus van Naamen van Eemnes,1875-1879,00954,Naamen van Eemnes,A.,Albertus,NA,van,m,liberaal,1866-11-19,1879-09-14
29,Lucas Oldenhuis Gratama,1875-1879,00998,Oldenhuis Gratama,L.,Lucas,NA,NA,m,liberaal,1867-10-14,1886-02-19
30,Karel Anton Rombach,1875-1879,01121,Rombach,K.A.,Karel Anton,NA,NA,m,Thorbeckiaan;liberaal;Kappeynianen,1869-09-21,1884-10-10
31,Jan Karel Hendrik de Roo van Alderwerelt,1875-1879,01123,Roo van Alderwerelt,J.K.H.,Jan Karel Hendrik,NA,de,m,liberaal,1866-11-19,1878-12-28
32,Derk de Ruiter Zijlker,1875-1879,01142,Ruiter Zijlker,D.,Derk,NA,de,m,liberaal;Liberale Unie,1868-04-21,1891-09-14
33,Johannes Albertus Sandberg,1875-1879,01168,Sandberg,J.A.,Johannes Albertus,NA,NA,m,liberaal,1869-09-20,1881-09-18
34,Jan Schepel,1875-1879,01191,Schepel,J.,Jan,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1874-04-29,1901-09-16
35,Hendrik Jan Smidt,1875-1879,01272,Smidt,H.J.,Hendrik Jan,NA,NA,m,liberaal;Liberale Unie,1871-03-03,1891-08-20
36,Thomas Joannes Stieltjes,1875-1879,01303,Stieltjes,Th.J.,Thomas Johannes,NA,NA,m,liberaal,1866-11-22,1878-06-22
37,Johannes Tak van Poortvliet,1875-1879,01339,Tak van Poortvliet,J.P.R.,Johannes Pieter Roetert,NA,NA,m,liberaal;Kappeynianen;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1870-10-21,1901-01-23
38,Sjoerd Vening Meinesz,1875-1879,01405,Vening Meinesz,S.A.,Sjoerd Anne,NA,NA,m,liberaal,1875-09-20,1881-01-20
39,Willem Adriaan Viruly Verbrugge,1875-1879,01437,Viruly Verbrugge,W.A.,Willem Adriaan,NA,NA,m,Thorbeckiaan;liberaal;oud- of vrije liberalen,1863-03-09,1897-09-20
40,Gerrit de Vries Azn.,1875-1879,01487,Vries,G.,Gerrit,NA,de,m,liberaal,1875-09-20,1877-03-31
41,Schelte Wybenga,1875-1879,01572,Wybenga,S.,Schelte,NA,NA,m,conservatief;'pragmatisch' liberaal;liberaal,1855-06-28,1886-09-08
42,Jan Hendrik Arnoldts,1875-1879,00031,Arnoldts,J.H.,Jan Hendrik,NA,NA,m,conservatief (katholiek),1871-04-18,1881-12-18
43,Antonius van Baar,1875-1879,00049,Baar,A.J.H.,Antonius Johannes Hubertus,NA,van,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1889-01-25
44,Ferdinand Hendrik Hubert Borret,1875-1879,00168,Borret,F.H.H.,Ferdinandus Hendricus Hubertus,NA,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1868-02-25,1888-03-26
45,Johannes Maria Benedictus Josephus van der Does de Willebois,1875-1879,00322,Does de Willebois,J.M.B.J.,Johannes Maria Benedictus Josephus,NA,van der,m,conservatief (katholiek),1868-02-25,1875-12-11
46,Leopold Haffmans,1875-1879,00508,Haffmans,J.H.L.,Johannes Hendrik Leopold,Leopold,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1866-11-24,1896-09-15
47,Petrus van den Heuvel,1875-1879,00573,Heuvel,P.,Petrus,NA,van den,m,'pragmatisch' liberaal;conservatief (katholiek),1853-06-14,1877-09-30
48,Christianus Joannes Antonius Heydenrijck,1875-1879,00578,Heydenrijck,Ch.J.A.,Christianus Joannes Antonius,NA,NA,m,'pragmatisch' liberaal;liberaal;conservatief (katholiek);Bahlmanniaan ('Centrum'),1862-07-09,1883-05-10
49,Guillaume Eugène François Xavier Mathias Kerens de Wylré,1875-1879,00683,Kerens de Wylré,G.E.F.X.M.,Guillaume Eugène François Xavier Mathias,NA,NA,m,conservatief (katholiek),1873-09-15,1880-01-04
50,Jerôme Lambrechts,1875-1879,00778,Lambrechts,H.F.,Hieronymus Franciscus,Jérôme,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1896-11-24
51,Aloysius Franciscus Xaverius Luyben,1875-1879,00851,Luyben,A.F.X.,Aloysius Franciscus Xaverius,NA,NA,m,conservatief (katholiek),1859-10-31,1880-06-06
52,Carel van Nispen,1875-1879,00697,Kien,N.P.J.,Nicolaas Pieter Jacob,NA,NA,m,regeringsgezinden ten tijde van Willem II;conservatief,1845-11-12,1875-09-19
53,Petrus Johannes Antonius Smitz,1875-1879,01281,Smitz,P.J.A.,Petrus Johannes Antonius,NA,NA,m,conservatief (katholiek),1868-02-26,1877-09-16
54,Johannes Baptista Arnoldus Josephus Maria Verheyen,1875-1879,01414,Verheijen,J.B.A.J.M.,Johannes Baptista Arnoldus Josephus Maria,NA,NA,m,conservatief (katholiek),1866-11-24,1880-10-30
55,Franciscus Johannes Emilius van Zinnicq Bergmann,1875-1879,01601,Zinnicq Bergmann,F.J.E.,Franciscus Joannes Emilius,NA,van,m,conservatief (katholiek),1866-11-19,1879-02-24
56,Matthias Margarethus van Asch van Wijck,1875-1879,00041,Asch van Wijck,M.M.,Matthias Margarethus,NA,van,m,antirevolutionair,1874-09-24,1882-09-19
57,Isaäc Lambertus Cremer van den Berch van Heemstede,1875-1879,00088,Cremer van den Berch van Heemstede,I.L.,Isaäc Lambertus,NA,NA,m,antirevolutionair,1873-04-22,1879-07-01
