"achternaam","voornaam","tussenvoegsel","jaar","maand","dag","type verkiezing","districtsnaam","aantal stemmen","omvang_electoraat","zetels","drempel"
"Asch van Wijck","L.H.J.M. van",,"1897","6","15","algemeen","Ede","2744","5769","1.0","2261.0"
"Asch van Wijck","H.M.J. van",,"1897","6","15","algemeen","Wijk bij Duurstede","3517","6936","1.0","2974.0"
"Asch van Wijck","T.A.J. van",,"1897","6","25","herstemming","Rotterdam II","1194","3394","1.0","1122.0"
"Asch van Wijck","H.M.J. van",,"1901","6","14","algemeen","Wijk bij Duurstede","3091","6509","1.0","2237.0"
"Asch van Wijck","T.A.J. van",,"1901","6","14","algemeen","Amersfoort","2632","7046","1.0","2197.0"
"Asch van Wijck","H.W. van",,"1901","8","20","tussentijds","Amersfoort","2410","7046","1.0","2250.0"
"Asch van Wijck","H.W. van",,"1905","6","16","algemeen","Amersfoort","4485","9416","1.0","4258.0"
"Asch van Wijck","H.W. van",,"1909","6","11","algemeen","Amersfoort","4725","10300","1.0","3912.0"
"Attema","E.J. ",,"1884","10","28","algemeen","Dokkum","1197","2673","2.0","1048.0"
"Aylva van Pallandt","F.W.J. baron van",,"1884","10","28","algemeen","Tiel","1429","3266","2.0","1400.0"
"Aylva van Pallandt","F.W.J. baron van",,"1886","6","15","algemeen","Tiel","1602","3401","2.0","1577.0"
"Aylva van Pallandt","F.W.J. baron van",,"1887","9","1","algemeen","Tiel","1606","3377","2.0","1370.0"
"Baar","A.J.H. van",,"1873","6","10","periodiek","Eindhoven","827","2319","1.0","773.0"
"Baar","A.J.H. van",,"1876","3","23","tussentijds","Eindhoven","881","2392","1.0","452.0"
"Baar","A.J.H. van",,"1877","6","12","periodiek","Eindhoven","1093","2624","1.0","597.0"
"Baar","A.J.H. van",,"1881","6","14","periodiek","Eindhoven","1087","2558","1.0","564.0"
"Baar","A.J.H. van",,"1884","10","28","algemeen","Eindhoven","1185","2682","2.0","610.0"
"Baar","A.J.H. van",,"1886","6","15","algemeen","Eindhoven","1619","2886","2.0","888.0"
"Baar","A.J.H. van",,"1887","9","1","algemeen","Eindhoven","1263","2914","2.0","651.0"
"Baar","A.J.H. van",,"1888","3","6","algemeen","Eindhoven","1329","3014","1.0","712.0"
"Bachiene","P.J. ",,"1848","12","9","herstemming","Goes","324","739","1.0","275.0"
"Bachiene","P.J. ",,"1850","9","11","herstemming","Goes","379","1166","1.0","329.0"
"Backer","C. ",,"1848","11","30","algemeen","Amsterdam II","269","483","1.0","182.0"
"Backer","C. ",,"1850","8","27","algemeen","Amsterdam","2254","3525","5.0","1148.0"
"Bahlmann","B.M. ",,"1880","12","7","herstemming","Tilburg","1486","3299","1.0","1263.0"
"Bahlmann","B.M. ",,"1881","6","14","periodiek","Tilburg","1353","3361","1.0","727.0"
"Bahlmann","B.M. ",,"1884","10","28","algemeen","Tilburg","1471","3452","2.0","756.0"
"Bahlmann","B.M. ",,"1886","6","15","algemeen","Tilburg","1540","3648","2.0","823.0"
"Bahlmann","B.M. ",,"1887","9","1","algemeen","Tilburg","1346","3657","2.0","695.0"
"Bahlmann","B.M. ",,"1888","3","6","algemeen","Tilburg","1268","2842","1.0","707.0"
"Bahlmann","B.M. ",,"1891","6","9","algemeen","Tilburg","888","2651","1.0","594.0"
"Bahlmann","B.M. ",,"1894","4","10","algemeen","Tilburg","729","2657","1.0","392.0"
"Bahlmann","B.M. ",,"1897","6","15","algemeen","Tilburg","2594","5203","1.0","2139.0"
"Barge","C.A.H. ",,"1877","9","25","tussentijds","Eindhoven","722","2624","1.0","612.0"
"Barge","C.A.H. ",,"1879","6","10","periodiek","Eindhoven","867","2424","1.0","812.0"
"Basten van Batenburg","W.H.J.T. van",,"1894","6","26","herstemming","Elst","1435","3007","1.0","1424.0"
"Basten van Batenburg","W.H.J.T. van",,"1897","6","15","algemeen","Elst","3486","7053","1.0","3180.0"
"Bastert","J.N. ",,"1875","6","22","herstemming","Utrecht","1136","3110","1.0","1119.0"
