"achternaam","voornaam","tussenvoegsel","jaar","maand","dag","type verkiezing","districtsnaam","aantal stemmen","omvang_electoraat","zetels","drempel"
"Diggelen","B.P.G. van",,"1860","6","12","periodiek","Goes","569","1305","1.0","423.0"
"Diggelen","P.J.G. van",,"1886","10","19","herstemming","Sneek","2086","5015","1.0","2032.0"
"Diggelen","P.J.G. van",,"1887","9","1","algemeen","Sneek","1983","4816","2.0","1832.0"
"Dijckmeester","H.J. ",,"1877","6","12","periodiek","Tiel","1001","3164","1.0","988.0"
"Dijckmeester","H.J. ",,"1881","6","14","periodiek","Tiel","1354","3192","1.0","1321.0"
"Dijckmeester","H.J. ",,"1887","6","14","tussentijds","Deventer","1466","3438","1.0","1137.0"
"Dijckmeester","H.J. ",,"1887","9","1","algemeen","Deventer","1331","3438","2.0","697.0"
"Dijckmeester","H.J. ",,"1888","3","6","algemeen","Tiel","1416","2874","1.0","1274.0"
"Dijckmeester","H.J. ",,"1891","6","9","algemeen","Tiel","1354","2894","1.0","1160.0"
"Dirks","J. ",,"1848","12","29","herstemming","Franeker","393","1158","1.0","345.0"
"Dirks","J. ",,"1850","8","27","algemeen","Leeuwarden","925","2884","2.0","766.0"
"Dirks","J. ",,"1853","5","17","algemeen","Leeuwarden","1293","2971","2.0","877.0"
"Dirks","J. ",,"1856","6","10","periodiek","Leeuwarden","551","3127","1.0","513.0"
"Dirks","J. ",,"1860","10","30","tussentijds","Leeuwarden","839","2946","1.0","828.0"
"Dirks","J. ",,"1864","6","28","herstemming","Leeuwarden","935","3020","1.0","810.0"
"Dirks","J. ",,"1881","2","15","tussentijds","Amsterdam","779","4888","1.0","511.0"
"Dirks","J. ",,"1883","4","10","herstemming","Amsterdam","997","5192","1.0","820.0"
"Dirks","J. ",,"1883","6","12","periodiek","Amsterdam","1174","5299","3.0","896.0"
"Dirks","J. ",,"1884","10","28","algemeen","Amsterdam","2470","5595","7.0","1684.0"
"Dobbelman","F.T.J.H. ",,"1889","5","21","tussentijds","Nijmegen","1157","2715","1.0","755.0"
"Dobbelman","F.T.J.H. ",,"1891","6","9","algemeen","Nijmegen","960","2678","1.0","661.0"
"Dobbelman","F.T.J.H. ",,"1894","4","10","algemeen","Nijmegen","781","2635","1.0","426.0"
"Dobbelman","F.T.J.H. ",,"1897","6","15","algemeen","Nijmegen","2778","4904","1.0","1948.0"
"Does de Willebois","J.M.B.J. van der",,"1868","1","22","algemeen","Den Bosch","1385","2964","2.0","1040.0"
"Does de Willebois","J.M.B.J. van der",,"1871","6","13","periodiek","Den Bosch","1308","2760","1.0","673.0"
"Does de Willebois","J.M.B.J. van der",,"1875","6","8","periodiek","Den Bosch","1343","2833","1.0","684.0"
"Dolk","W. ",,"1902","9","11","tussentijds","Den Haag II","1916","7037","1.0","1908.0"
"Dolk","W. ",,"1905","6","28","herstemming","Den Haag II","4529","9444","1.0","3976.0"
"Dolk","W. ",,"1909","6","23","herstemming","Den Haag II","4719","11494","1.0","4567.0"
"Dolk","W. ",,"1913","6","25","herstemming","Den Haag II","6496","13635","1.0","5553.0"
"Domela Nieuwenhuis","F. ",,"1888","3","20","herstemming","Schoterland","1167","2959","1.0","1102.0"
"Dommer van Poldersveldt","G.E.G.C.K. ",,"1848","11","30","algemeen","Nijmegen","500","864","1.0","392.0"
"Dommer van Poldersveldt","G.E.G.C.K. ",,"1850","8","27","algemeen","Nijmegen","1292","2308","2.0","915.0"
"Dommer van Poldersveldt","G.E.G.C.K. ",,"1852","6","8","periodiek","Nijmegen","1215","2502","1.0","701.0"
"Dommer van Poldersveldt","G.E.G.C.K. ",,"1853","5","17","algemeen","Nijmegen","1430","2552","2.0","1093.0"
"Dommer van Poldersveldt","G.E.G.C.K. ",,"1856","6","10","periodiek","Nijmegen","1120","2595","1.0","630.0"
"Dommer van Poldersveldt","G.E.G.C.K. ",,"1860","6","12","periodiek","Nijmegen","1072","2506","1.0","577.0"
"Donker Curtius","D. ",,"1849","1","2","herstemming","Almelo","267","547","1.0","240.0"
"Donker Hzn.","J. ",,"1853","5","31","herstemming","Hoorn","1199","3425","2.0","1139.0"
"Donner","J.H. ",,"1880","1","13","tussentijds","Leiden","1021","2794","1.0","833.0"
"Donner","J.H. ",,"1881","6","14","periodiek","Leiden","1189","3019","1.0","716.0"
"Donner","J.H. ",,"1884","10","28","algemeen","Leiden","1512","3141","2.0","1192.0"
"Donner","J.H. ",,"1887","9","14","herstemming","Leiden","1393","3244","4.0","1061.0"
"Donner","J.H. ",,"1888","3","20","herstemming","Katwijk","1715","3861","1.0","1589.0"
"Donner","J.H. ",,"1891","6","23","herstemming","Katwijk","1942","4138","1.0","1685.0"
"Donner","J.H. ",,"1894","5","25","herstemming","Katwijk","1859","4160","1.0","1777.0"
"Donner","J.H. ",,"1897","6","25","herstemming","Katwijk","2723","5728","1.0","2541.0"
"Doorn","E.C.U. van",,"1848","12","7","herstemming","Ysselstein","618","1174","1.0","507.0"
"Doorn","E.C.U. van",,"1850","8","27","algemeen","Utrecht","1185","2519","2.0","961.0"
"Doorn","W.T.C. van",,"1905","6","28","herstemming","Gouda","4213","8663","1.0","4088.0"
"Doorn","W.T.C. van",,"1909","6","23","herstemming","Gouda","4526","9453","1.0","4387.0"
"Doorn","W.T.C. van",,"1913","6","25","herstemming","Gouda","5411","10711","1.0","4893.0"
"Dresselhuys","H.C. ",,"1916","12","8","tussentijds","Tiel","2800","7454","1.0","2763.0"
"Drion","F.J.W. ",,"1913","6","25","herstemming","Ridderkerk","4407","9083","1.0","4370.0"
"Drion","F.J.W. ",,"1917","6","15","algemeen","Ridderkerk","3014","9846","1.0","2010.0"
"Drucker","H.L. ",,"1894","4","10","algemeen","Groningen","1841","6026","2.0","1662.0"
"Drucker","H.L. ",,"1897","6","25","herstemming","Groningen","2651","5630","1.0","2212.0"
"Drucker","H.L. ",,"1901","6","27","herstemming","Groningen","3176","6424","1.0","2457.0"
"Drucker","H.L. ",,"1905","6","28","herstemming","Groningen","4405","7849","1.0","3278.0"
"Drucker","H.L. ",,"1909","6","11","algemeen","Groningen","3501","9096","1.0","3419.0"
"Duijnstee","T.J.A. ",,"1905","6","16","algemeen","Druten","2576","6067","1.0","1979.0"
"Duijnstee","T.J.A. ",,"1909","6","11","algemeen","Druten","3404","6343","1.0","1857.0"
"Duijnstee","T.J.A. ",,"1913","6","17","algemeen","Druten","3248","6668","1.0","2699.0"
"Duijs","J.E.W. ",,"1909","6","23","herstemming","Zaandam","4158","10269","1.0","4086.0"
"Duijs","J.E.W. ",,"1913","6","25","herstemming","Zaandam","5495","12441","1.0","4575.0"
"Duijs","J.E.W. ",,"1917","6","15","algemeen","Zaandam","4011","13608","1.0","2528.0"
"Dullert","W.H. ",,"1849","1","3","tussentijds","Zutphen","337","791","1.0","311.0"
"Dullert","W.H. ",,"1850","8","27","algemeen","Zutphen","1435","2170","2.0","791.0"
"Dullert","W.H. ",,"1850","8","27","algemeen","Arnhem","950","2361","2.0","886.0"
"Dullert","W.H. ",,"1854","6","13","periodiek","Zutphen","915","2369","1.0","854.0"
"Dullert","W.H. ",,"1858","6","8","periodiek","Zutphen","985","2484","1.0","618.0"
"Dullert","W.H. ",,"1862","6","10","periodiek","Zutphen","821","2657","1.0","567.0"
"Dullert","W.H. ",,"1866","6","12","periodiek","Zutphen","965","2763","1.0","631.0"
"Dullert","W.H. ",,"1866","12","4","tussentijds","Groningen","361","1463","1.0","307.0"
"Dullert","W.H. ",,"1868","1","22","algemeen","Arnhem","880","3022","2.0","879.0"
"Dullert","W.H. ",,"1868","1","22","algemeen","Groningen","543","1507","1.0","417.0"
"Dullert","W.H. ",,"1868","2","4","herstemming","Arnhem","1261","3022","2.0","1241.0"
"Dullert","W.H. ",,"1869","6","8","periodiek","Arnhem","1181","2745","1.0","1086.0"
"Dullert","W.H. ",,"1873","6","10","periodiek","Deventer","903","2937","1.0","798.0"
"Dullert","W.H. ",,"1873","6","10","periodiek","Arnhem","1185","2980","1.0","1112.0"
"Dullert","W.H. ",,"1877","6","12","periodiek","Arnhem","1382","3338","1.0","938.0"
"Dumbar","G. ",,"1862","2","25","tussentijds","Deventer","537","1467","1.0","285.0"
"Dumbar","G. ",,"1864","6","14","periodiek","Deventer","1323","2598","1.0","802.0"
"Dumbar","G. ",,"1866","11","13","herstemming","Deventer","1084","2631","1.0","789.0"
"Dumbar","G. ",,"1868","1","22","algemeen","Deventer","1055","2719","2.0","914.0"
"Dumbar","G. ",,"1869","6","8","periodiek","Deventer","1242","2725","1.0","908.0"
"Duymaer van Twist","A.J. ",,"1848","11","30","algemeen","Kampen","388","671","1.0","275.0"
"Duymaer van Twist","A.J. ",,"1850","8","27","algemeen","Steenwijk","706","1503","1.0","437.0"
"Duymaer van Twist","A.J. ",,"1856","6","10","periodiek","Steenwijk","307","1522","1.0","279.0"
"Duymaer van Twist","A.J. ",,"1858","6","8","periodiek","Amsterdam","1169","4033","3.0","606.0"
"Duymaer van Twist","L.F. ",,"1901","6","14","algemeen","Steenwijk","2545","5701","1.0","2180.0"
"Duymaer van Twist","L.F. ",,"1905","6","16","algemeen","Steenwijk","3231","7007","1.0","3217.0"
"Duymaer van Twist","L.F. ",,"1909","6","11","algemeen","Steenwijk","3826","7550","1.0","3388.0"
"Duymaer van Twist","L.F. ",,"1913","6","17","algemeen","Steenwijk","3721","7976","1.0","3634.0"
"Duyvis","J. ",,"1884","7","29","herstemming","Haarlem","1023","3111","1.0","832.0"
"Duyvis","J. ",,"1884","10","28","algemeen","Haarlem","1218","3111","2.0","1005.0"
"Eck","D. van",,"1848","11","30","algemeen","Sluis","495","757","1.0","315.0"
"Eck","D. van",,"1850","8","27","algemeen","Middelburg","843","2362","2.0","678.0"
"Eck","D. van",,"1853","5","31","herstemming","Middelburg","918","2377","1.0","877.0"
"Eck","D. van",,"1856","6","10","periodiek","Middelburg","778","2462","1.0","602.0"
"Eck","D. van",,"1860","6","12","periodiek","Middelburg","651","2496","1.0","524.0"
"Eck","D. van",,"1864","6","14","periodiek","Middelburg","901","2711","1.0","684.0"
"Eck","D. van",,"1866","10","30","algemeen","Middelburg","1328","2693","2.0","993.0"
"Eck","D. van",,"1868","1","22","algemeen","Middelburg","1138","2716","2.0","983.0"
"Eck","D. van",,"1869","6","8","periodiek","Middelburg","1204","2733","1.0","965.0"
"Eck","D. van",,"1873","6","10","periodiek","Middelburg","1029","2815","1.0","882.0"
"Eck","D. van",,"1877","6","12","periodiek","Middelburg","1214","2920","1.0","1038.0"
"Eck","D. van",,"1881","6","14","periodiek","Middelburg","1018","2697","1.0","982.0"
"Eerdmans","B.D. ",,"1914","1","14","herstemming","Rotterdam III","2393","5734","1.0","2089.0"
"Eerdmans","B.D. ",,"1917","6","15","algemeen","Rotterdam III","1242","6715","1.0","887.0"
"Eland","K. ",,"1905","9","14","herstemming","Arnhem","2935","6754","1.0","2670.0"
"Eland","K. ",,"1909","6","23","herstemming","Arnhem","3638","8069","1.0","3411.0"
"Eland","K. ",,"1913","6","25","herstemming","Arnhem","4852","9044","1.0","3945.0"
"Eland","K. ",,"1917","6","15","algemeen","Arnhem","3088","9626","1.0","1869.0"
"Elhorst","G. ",,"1909","6","11","algemeen","Enschede","7163","15251","1.0","7039.0"
"Elout van Soeterwoude","P.J. ",,"1853","5","31","herstemming","Gorinchem","636","1543","1.0","582.0"
"Elout van Soeterwoude","P.J. ",,"1856","6","10","periodiek","Gorinchem","558","1510","1.0","476.0"
"Elout van Soeterwoude","P.J. ",,"1860","6","26","herstemming","Gorinchem","885","2868","1.0","845.0"
"Elout van Soeterwoude","P.J. ",,"1879","7","29","tussentijds","Leiden","1223","2794","1.0","935.0"
"Engelberts","D. ",,"1888","3","6","algemeen","Zutphen","1733","3612","1.0","1615.0"
"Engelen","A.W. ",,"1848","11","30","algemeen","Elst","478","913","1.0","417.0"
"Engelen","A.W. ",,"1850","8","27","algemeen","Amersfoort","1335","2935","2.0","1163.0"
"Engelen","A.W. ",,"1852","6","8","periodiek","Amersfoort","990","2955","1.0","849.0"
"Engelen","W.E. ",,"1853","5","17","algemeen","Sneek","1163","2741","2.0","889.0"
"Engels","A.H.J. ",,"1916","8","2","tussentijds","Almelo","4310","10737","1.0","2686.0"
"Everts","W. ",,"1893","10","31","tussentijds","Roermond","882","1971","1.0","484.0"
"Everts","W. ",,"1894","4","10","algemeen","Roermond","960","1971","1.0","523.0"
"Fabius","G. ",,"1873","6","24","herstemming","Amsterdam","672","4019","1.0","659.0"
"Fabius","J.C. ",,"1881","6","14","periodiek","Delft","1675","3263","1.0","1279.0"
"Fabius","J.C. ",,"1884","11","11","herstemming","Delft","1932","3383","2.0","1486.0"
"Fabius","J.C. ",,"1886","6","15","algemeen","Delft","1960","3622","2.0","1600.0"
"Fabius","J.C. ",,"1887","4","12","tussentijds","Delft","1185","3622","1.0","601.0"
"Fabius","J.C. ",,"1887","9","1","algemeen","Delft","1568","3583","2.0","1136.0"
"Fabius","J.C. ",,"1888","3","6","algemeen","Delft","1403","3006","1.0","1334.0"
"Farncombe Sanders","A.J.W. ",,"1886","6","15","algemeen","Haarlem","1344","3392","2.0","1131.0"
"Farncombe Sanders","A.J.W. ",,"1887","9","1","algemeen","Haarlem","721","3402","2.0","414.0"
"Farncombe Sanders","A.J.W. ",,"1888","3","6","algemeen","Haarlem","1289","2758","1.0","1052.0"
"Farncombe Sanders","A.J.W. ",,"1891","6","9","algemeen","Haarlem","1041","2917","1.0","977.0"
"Farncombe Sanders","A.J.W. ",,"1894","5","16","tussentijds","Haarlem","1221","2782","1.0","1044.0"
"Feltz","W.A. van der",,"1877","12","12","herstemming","Assen","825","2675","1.0","762.0"
"Feltz","W.A. van der",,"1879","6","10","periodiek","Assen","557","2528","1.0","389.0"
"Feltz","W.A. van der",,"1883","6","12","periodiek","Assen","963","2706","1.0","741.0"
"Feltz","W.A. van der",,"1884","10","28","algemeen","Assen","998","2700","2.0","722.0"
"Feltz","W.A. van der",,"1886","6","15","algemeen","Assen","1058","2806","2.0","766.0"
"Feltz","W.A. van der",,"1887","9","1","algemeen","Assen","756","2812","2.0","531.0"
"Feltz","W.A. van der",,"1888","3","6","algemeen","Assen","1018","2859","1.0","719.0"
"Feltz","W.A. van der",,"1891","6","9","algemeen","Assen","781","3013","1.0","570.0"
"Ferf","P.B.J. ",,"1891","9","24","herstemming","Hoorn","1811","4108","1.0","1664.0"
"Ferf","P.B.J. ",,"1894","4","10","algemeen","Hoorn","1231","4093","1.0","667.0"
"Ferf","P.B.J. ",,"1897","6","15","algemeen","Hoorn","3876","6621","1.0","2906.0"
"Ferf","P.B.J. ",,"1901","6","14","algemeen","Hoorn","2580","6481","1.0","2189.0"
"Ferf","P.B.J. ",,"1905","6","16","algemeen","Hoorn","3431","7578","1.0","3238.0"
"Ferf","P.B.J. ",,"1909","6","23","herstemming","Hoorn","4561","8145","1.0","3478.0"
"Fleskens","A.N. ",,"1910","7","12","tussentijds","Helmond","3218","6939","1.0","2742.0"
"Fock","C. ",,"1871","6","13","periodiek","Haarlem","1015","2438","1.0","806.0"
"Fock","C. ",,"1871","6","13","periodiek","Amsterdam","1262","3959","3.0","1204.0"
"Fock","D. ",,"1901","6","27","herstemming","Rotterdam I","1569","3844","1.0","1482.0"
"Fock","D. ",,"1905","6","28","herstemming","Rotterdam I","3596","7357","1.0","3326.0"
"Fock","D. ",,"1913","6","25","herstemming","Haarlem","5788","10974","1.0","5021.0"
"Fock","D. ",,"1917","6","15","algemeen","Haarlem","3394","12132","1.0","2162.0"
"Fokker","G.A. ",,"1848","11","30","algemeen","Zierikzee","401","770","1.0","315.0"
"Fokker","G.A. ",,"1865","1","17","tussentijds","Middelburg","938","2711","1.0","742.0"
"Fokker","G.A. ",,"1866","6","12","periodiek","Middelburg","862","2693","1.0","631.0"
"Fokker","G.A. ",,"1866","10","30","algemeen","Middelburg","1327","2693","2.0","993.0"
"Fokker","G.A. ",,"1868","1","22","algemeen","Middelburg","1141","2716","2.0","983.0"
"Fokker","G.A. ",,"1875","8","3","tussentijds","Middelburg","1185","2903","1.0","748.0"
"Fokker","E. ",,"1897","4","20","tussentijds","Alkmaar","853","4865","1.0","842.0"
"Fokker","E. ",,"1897","6","25","herstemming","Alkmaar","3795","7236","1.0","3313.0"
"Fokker","E. ",,"1901","6","27","herstemming","Alkmaar","3888","7824","1.0","3400.0"
"Foreest","C. van",,"1853","5","17","algemeen","Alkmaar","1293","2848","2.0","974.0"
"Foreest","C. van",,"1856","6","24","herstemming","Alkmaar","1061","2908","1.0","1010.0"
"Foreest","C. van",,"1860","6","26","herstemming","Alkmaar","862","2871","1.0","773.0"
"Foreest","C. van",,"1864","6","14","periodiek","Alkmaar","643","2969","1.0","612.0"
"Foreest","C. van",,"1866","10","30","algemeen","Alkmaar","1387","3036","2.0","1125.0"
"Foreest","C. van",,"1868","2","4","herstemming","Alkmaar","1444","3232","1.0","1248.0"
"Foreest","C. van",,"1870","8","30","herstemming","Alkmaar","1191","3154","1.0","1167.0"
"Foreest","C. van",,"1870","10","25","tussentijds","Alkmaar","1083","3154","1.0","1006.0"
"Foreest","C. van",,"1873","6","10","periodiek","Alkmaar","1270","3330","1.0","1232.0"
"Foreest","P. van",,"1903","4","7","herstemming","Alkmaar","3666","8414","1.0","3331.0"
"Foreest","P. van",,"1905","6","28","herstemming","Alkmaar","5174","9543","1.0","4342.0"
"Foreest","P. van",,"1909","6","23","herstemming","Alkmaar","4953","10270","1.0","4356.0"
"Foreest","P. van",,"1913","6","25","herstemming","Alkmaar","6144","11523","1.0","5344.0"
"Franck","S.R. van",,"1853","5","17","algemeen","Amsterdam","1427","3873","5.0","1178.0"
"Franck","S.R. van",,"1854","6","13","periodiek","Amsterdam","974","3873","3.0","793.0"
"Franck","S.R. van",,"1858","6","8","periodiek","Amsterdam","706","4033","3.0","606.0"
"Fransen van de Putte","I.D. ",,"1862","2","25","tussentijds","Rotterdam","1115","3030","1.0","875.0"
"Fransen van de Putte","I.D. ",,"1862","6","10","periodiek","Rotterdam","802","3030","2.0","544.0"
"Fransen van de Putte","I.D. ",,"1866","6","12","periodiek","Rotterdam","1136","2935","1.0","833.0"
"Fransen van de Putte","I.D. ",,"1866","10","30","algemeen","Rotterdam","1426","2935","3.0","1109.0"
"Fransen van de Putte","I.D. ",,"1868","1","22","algemeen","Rotterdam","1331","2994","3.0","1153.0"
"Fransen van de Putte","I.D. ",,"1871","6","13","periodiek","Rotterdam","1025","2538","1.0","864.0"
"Fransen van de Putte","I.D. ",,"1874","10","27","herstemming","Hoorn","1660","3802","1.0","1528.0"
"Fransen van de Putte","I.D. ",,"1877","6","12","periodiek","Hoorn","1211","3963","1.0","696.0"
"Fremery","J.A. de",,"1849","12","14","herstemming","Leiden","210","468","1.0","208.0"
"Fremery","J.A. de",,"1851","3","5","herstemming","Steenwijk","424","1503","1.0","410.0"
"Froger","W.A. ",,"1878","7","23","tussentijds","Amsterdam","857","4602","1.0","506.0"
"Fruijtier","P.F. ",,"1901","6","27","herstemming","Hontenisse","2578","5814","1.0","2478.0"
"Fruijtier","P.F. ",,"1905","6","16","algemeen","Hontenisse","3341","7077","1.0","3045.0"
"Fruijtier","P.F. ",,"1909","6","11","algemeen","Hontenisse","3362","7604","1.0","3203.0"
"Fruijtier","P.F. ",,"1913","6","17","algemeen","Hontenisse","3794","8545","1.0","3694.0"
"Geer","D.J. de",,"1907","10","22","herstemming","Schiedam","3667","8083","1.0","3439.0"
"Geer","D.J. de",,"1909","6","11","algemeen","Schiedam","4134","8439","1.0","3211.0"
"Geer","D.J. de",,"1913","6","17","algemeen","Schiedam","4017","9215","1.0","3916.0"
"Geer","D.J. de",,"1917","6","15","algemeen","Schiedam","4798","10922","1.0","2746.0"
"Geer van Jutphaas","B.J.L. baron van",,"1884","11","28","tussentijds","Gorinchem","1930","3900","1.0","1464.0"
"Geer van Jutphaas","B.J.L. baron van",,"1886","6","15","algemeen","Gorinchem","2034","4088","2.0","1587.0"
"Geer van Jutphaas","B.J.L. baron van",,"1887","9","1","algemeen","Gorinchem","1491","4071","2.0","817.0"
"Geer van Jutphaas","B.J.L. baron van",,"1888","3","6","algemeen","Sliedrecht","1585","3344","1.0","1425.0"
"Geer van Jutphaas","B.J.L. baron van",,"1891","6","9","algemeen","Sliedrecht","1642","3384","1.0","1388.0"
"Geertsema","J.H. ",,"1863","9","15","tussentijds","Groningen","389","1564","1.0","262.0"
"Geertsema","J.H. ",,"1864","6","14","periodiek","Groningen","583","1493","1.0","352.0"
"Geertsema","J.H. ",,"1866","8","28","tussentijds","Haarlem","557","2507","1.0","459.0"
"Geertsema","J.H. ",,"1866","11","13","herstemming","Haarlem","1017","2507","2.0","949.0"
"Geertsema","J.H. ",,"1868","2","20","tussentijds","Groningen","740","1507","1.0","510.0"
"Geertsema","J.H. ",,"1875","6","22","herstemming","Arnhem","1426","3094","1.0","1364.0"
"Geertsema","W.J. ",,"1888","3","6","algemeen","Enschede","939","1996","1.0","935.0"
"Geertsema","W.J. ",,"1891","6","23","herstemming","Enschede","1138","2347","1.0","1108.0"
"Gefken","J.W. ",,"1868","1","22","algemeen","Zwolle","879","2739","2.0","844.0"
"Gennep","J. van",,"1878","10","8","tussentijds","Rotterdam","719","3360","1.0","601.0"
"Gennep","J. van",,"1881","6","14","periodiek","Rotterdam","1006","3642","1.0","969.0"
"Gennep","J. van",,"1884","10","28","algemeen","Rotterdam","1517","3715","4.0","1241.0"
"Gennep","J. van",,"1886","6","15","algemeen","Rotterdam","1469","3768","4.0","1127.0"
"Gennep","J. van",,"1887","9","1","algemeen","Rotterdam","1009","3755","4.0","810.0"
"Gennep","J. van",,"1894","5","11","tussentijds","Rotterdam","2864","8353","1.0","2014.0"
"Gerhard","A.H. ",,"1913","7","29","herstemming","Amsterdam II","1675","5041","1.0","1374.0"
"Gerhard","A.H. ",,"1917","6","22","herstemming","Amsterdam II","1292","5731","1.0","1095.0"
"Gerretson","B.J. ",,"1913","8","8","herstemming","Rotterdam I","4670","12248","1.0","4456.0"
"Gerretson","B.J. ",,"1917","6","15","algemeen","Rotterdam I","3764","14867","1.0","2337.0"
"Gerritsen","C.V. ",,"1893","2","7","herstemming","Leeuwarden","1332","3286","1.0","1306.0"
"Gerritsen","C.V. ",,"1894","4","10","algemeen","Leeuwarden","1136","3246","1.0","848.0"
"Gerritsen","C.V. ",,"1905","6","16","algemeen","Den Helder","3111","7641","1.0","3048.0"
"Gevers Deynoot","W.T. ",,"1852","6","8","periodiek","Rotterdam","577","1661","1.0","388.0"
"Gevers Deynoot","W.T. ",,"1856","6","24","herstemming","Den Haag","892","2164","1.0","817.0"
"Gevers Deynoot","W.T. ",,"1860","6","12","periodiek","Den Haag","588","2041","1.0","491.0"
"Gevers Deynoot","W.T. ",,"1871","6","13","periodiek","Dordrecht","892","2109","1.0","609.0"
"Gevers Deynoot","W.T. ",,"1875","6","8","periodiek","Dordrecht","788","2208","1.0","705.0"
"Gevers van Endegeest","D.T. ",,"1850","8","27","algemeen","Leiden","1102","2646","2.0","972.0"
"Gevers van Endegeest","D.T. ",,"1852","6","8","periodiek","Leiden","761","2407","1.0","542.0"
"Gevers van Endegeest","D.T. ",,"1853","5","17","algemeen","Leiden","1388","2693","1.0","1099.0"
"Gevers van Endegeest","D.T. ",,"1856","6","10","periodiek","Leiden","833","2824","1.0","575.0"
"Gijn","S.M.H. van",,"1889","3","26","tussentijds","Dordrecht","1402","2864","1.0","1304.0"
"Gijn","S.M.H. van",,"1891","6","9","algemeen","Dordrecht","1431","2934","1.0","1260.0"
"Gijn","S.M.H. van",,"1894","4","24","herstemming","Dordrecht","1342","2931","1.0","1288.0"
"Gijn","S.M.H. van",,"1897","6","25","herstemming","Dordrecht","2296","5012","1.0","2231.0"
"Gijn","S.M.H. van",,"1901","6","27","herstemming","Dordrecht","2565","6161","1.0","2490.0"
"Gijn","S.M.H. van",,"1905","6","28","herstemming","Dordrecht","3725","7805","1.0","3556.0"
"Gildemeester","A. ",,"1883","4","10","herstemming","Amsterdam","1006","5192","1.0","820.0"
"Gildemeester","A. ",,"1884","10","28","algemeen","Amsterdam","2398","5595","7.0","1684.0"
"Gildemeester","A. ",,"1886","6","15","algemeen","Amsterdam","2350","6059","7.0","1648.0"
"Gildemeester","A. ",,"1887","9","1","algemeen","Amsterdam","1195","6001","7.0","765.0"
"Gildemeester","A. ",,"1888","3","6","algemeen","Amsterdam","9237","20887","9.0","7788.0"
"Gleichman","J.G. ",,"1880","8","17","herstemming","Amsterdam","1025","4888","1.0","839.0"
"Gleichman","J.G. ",,"1883","6","12","periodiek","Amsterdam","1162","5299","3.0","896.0"
"Gleichman","J.G. ",,"1884","10","28","algemeen","Amsterdam","1890","5595","7.0","1684.0"
"Gleichman","J.G. ",,"1886","6","15","algemeen","Amsterdam","2347","6059","7.0","1648.0"
"Gleichman","J.G. ",,"1887","9","1","algemeen","Amsterdam","1198","6001","7.0","765.0"
"Gleichman","J.G. ",,"1888","3","6","algemeen","Amsterdam","9299","20887","9.0","7788.0"
"Gleichman","J.G. ",,"1891","6","9","algemeen","Amsterdam","6862","22531","9.0","6626.0"
"Gleichman","J.G. ",,"1894","4","10","algemeen","Den Haag","4127","8319","3.0","3012.0"
"Gleichman","J.G. ",,"1894","4","10","algemeen","Rotterdam","3441","8422","5.0","2487.0"
"Gleichman","J.G. ",,"1894","4","24","herstemming","Amsterdam","5535","23112","4.0","5187.0"
"Gleichman","J.G. ",,"1897","6","25","herstemming","Amsterdam IV","1234","3268","1.0","1181.0"
"Glinderman","N. ",,"1888","3","20","herstemming","Oostburg","1432","3040","1.0","1402.0"
"Godefroi","M.H. ",,"1848","11","30","algemeen","Amsterdam I","204","447","1.0","176.0"
"Godefroi","M.H. ",,"1850","8","27","algemeen","Amsterdam","1926","3525","5.0","1148.0"
"Godefroi","M.H. ",,"1852","6","8","periodiek","Amsterdam","1304","3533","3.0","713.0"
"Godefroi","M.H. ",,"1853","5","17","algemeen","Amsterdam","2143","3873","5.0","1178.0"
"Godefroi","M.H. ",,"1856","6","10","periodiek","Amsterdam","970","4086","2.0","723.0"
"Godefroi","M.H. ",,"1862","6","10","periodiek","Amsterdam","1198","4570","3.0","704.0"
"Godefroi","M.H. ",,"1866","6","12","periodiek","Amsterdam","1491","4249","3.0","819.0"
"Godefroi","M.H. ",,"1866","10","30","algemeen","Amsterdam","1881","4249","6.0","1656.0"
"Godefroi","M.H. ",,"1868","1","22","algemeen","Amsterdam","1490","4322","6.0","1454.0"
"Godefroi","M.H. ",,"1871","12","5","tussentijds","Amsterdam","1020","3959","1.0","899.0"
"Godefroi","M.H. ",,"1875","6","8","periodiek","Amsterdam","1880","4178","3.0","1210.0"
"Godefroi","M.H. ",,"1879","6","10","periodiek","Amsterdam","1092","4760","3.0","874.0"
"Godin de Beaufort","K.A. ",,"1882","11","7","tussentijds","Gouda","1690","3839","1.0","1298.0"
"Godin de Beaufort","K.A. ",,"1883","6","12","periodiek","Gouda","1646","3874","1.0","1325.0"
"Godin de Beaufort","K.A. ",,"1884","10","28","algemeen","Gouda","1766","3904","2.0","1463.0"
"Godin de Beaufort","K.A. ",,"1886","6","15","algemeen","Gouda","1969","4183","2.0","1796.0"
"Godin de Beaufort","K.A. ",,"1887","9","1","algemeen","Gouda","1659","4127","2.0","1434.0"
"Godin de Beaufort","K.A. ",,"1888","3","6","algemeen","Gouda","1328","2915","1.0","1287.0"
"Goekoop","G.J. ",,"1884","11","11","herstemming","Brielle","666","1333","1.0","539.0"
"Goekoop","G.J. ",,"1886","6","15","algemeen","Brielle","737","1389","1.0","566.0"
"Goekoop","G.J. ",,"1887","9","1","algemeen","Brielle","626","1369","1.0","334.0"
